run_dir,seed,treatment,friction_rate,matched_blocks,changing_write_attempts,scarcity_blocks,friction_blocks,successful_exit,max_conservation_residual,wall_time_s
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610000_fric0p01,202610000,friction,0.01,1056628,105496872,5565476,1056628,True,0,320.50798104400747
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610001_fric0p01,202610001,friction,0.01,1022069,102037100,5592667,1022069,True,0,340.66494146198966
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610002_fric0p01,202610002,friction,0.01,1000929,99925180,5696864,1000929,True,0,310.74461575300666
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610003_fric0p01,202610003,friction,0.01,991901,99035836,4691786,991901,True,0,324.2470472000423
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610004_fric0p01,202610004,friction,0.01,1042074,104042663,5666056,1042074,True,0,303.1743540909956
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610000_fric0p02,202610000,friction,0.02,2003563,100072454,4681650,2003563,True,0,328.1050310319988
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610001_fric0p02,202610001,friction,0.02,2018304,100812493,5330426,2018304,True,0,316.5550031789462
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610002_fric0p02,202610002,friction,0.02,2125818,106178425,5675532,2125818,True,0,305.0938564760145
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610003_fric0p02,202610003,friction,0.02,2023043,101053124,5266598,2023043,True,0,313.57641335303197
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610004_fric0p02,202610004,friction,0.02,1935771,96696067,4892036,1935771,True,0,293.9004084999906
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610000_fric0p03,202610000,friction,0.03,3087160,102763358,6649504,3087160,True,0,324.7013398730196
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610001_fric0p03,202610001,friction,0.03,3197377,106436094,5321850,3197377,True,0,324.78203772800043
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610002_fric0p03,202610002,friction,0.03,2904071,96678383,5258443,2904071,True,0,323.54527835099725
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610003_fric0p03,202610003,friction,0.03,2856653,95106239,4577106,2856653,True,0,309.9889784679981
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610004_fric0p03,202610004,friction,0.03,3015078,100361173,7224806,3015078,True,0,294.12763115303824
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610000_fric0p05,202610000,friction,0.05,4949265,98968073,6092764,4949265,True,0,330.1866833700333
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610001_fric0p05,202610001,friction,0.05,4953095,99044850,5295454,4953095,True,0,309.4271378199919
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610002_fric0p05,202610002,friction,0.05,4819482,96378621,4527037,4819482,True,0,318.10046329698525
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610003_fric0p05,202610003,friction,0.05,4849298,96976133,5317147,4849298,True,0,315.18339330202434
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610004_fric0p05,202610004,friction,0.05,4756197,95124009,4165610,4756197,True,0,296.3181346869678
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610000_fric0p08,202610000,friction,0.08,7691045,96113733,4906032,7691045,True,0,317.9619592379895
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610001_fric0p08,202610001,friction,0.08,7995703,99915506,4645981,7995703,True,0,331.88315108203096
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610002_fric0p08,202610002,friction,0.08,7461038,93241207,4337084,7461038,True,0,334.05338538903743
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610003_fric0p08,202610003,friction,0.08,7802302,97504611,4444133,7802302,True,0,310.55768761999207
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610004_fric0p08,202610004,friction,0.08,7353693,91896448,3820495,7353693,True,0,298.7276664689998
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610000_exlist6_4e46cb76,202610000,natural_six,0.0,32316498,105920634,32316498,0,True,0,262.2617125599645
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610001_exlist6_4e46cb76,202610001,natural_six,0.0,27474045,99706106,27474045,0,True,0,260.912581038021
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610002_exlist6_4e46cb76,202610002,natural_six,0.0,26487383,101934160,26487383,0,True,0,272.7566404689569
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610003_exlist6_4e46cb76,202610003,natural_six,0.0,31719110,102085584,31719110,0,True,0,258.5063830059953
sweeps/ac_i001_friction_calibration/runs/p1_m2_n32768_s202610004_exlist6_4e46cb76,202610004,natural_six,0.0,24891785,96437511,24891785,0,True,0,259.160091075988
