seed,control,natural_six,friction,control_blocks,natural_six_blocks,friction_blocks,friction_natural_ratio,block_match
202611000,False,False,False,161963605,338478666,547273543,1.6168627389946049,False
202611001,False,False,False,155910941,300858994,547533345,1.8199002054763236,False
202611002,False,False,False,161671411,333125938,545408958,1.6372455452568211,False
202611003,False,False,False,230457798,380139798,542801493,1.4278996723200237,True
202611004,False,False,False,161197067,305452579,568213005,1.8602331231257996,False
202611005,False,False,False,157627856,335704502,539499376,1.6070662525699462,False
202611006,False,False,False,165010609,372706377,563445345,1.5117673851875091,False
202611007,False,False,False,169216875,229984984,553734687,2.407699308751392,False
202611008,False,False,False,157892751,279302579,560191506,2.0056796754461761,False
202611009,False,False,False,162971101,269864295,556744601,2.0630539545811351,False
202611010,False,False,False,161674168,342372736,561086611,1.6388180249259099,False
202611011,False,False,False,157179205,323947079,564924093,1.7438777183726357,False
202611012,False,False,False,149147618,312739417,551502293,1.7634562930709818,False
202611013,False,False,False,162644161,305851509,554840928,1.8140859589481377,False
202611014,False,False,False,1289782262,325463759,571995562,1.7574785093046259,False
202611015,False,False,False,149202512,299328795,551439815,1.8422544847380955,False
202611016,False,False,False,168385269,256497823,561892652,2.1906332203061232,False
202611017,False,False,False,157521973,336333352,566414641,1.6840870452835732,False
202611018,False,False,False,473963400,329833349,578957994,1.755304597777346,False
202611019,False,False,False,162911825,335787227,569306662,1.6954387070833996,False
