run_id,seed,arm,integrity,origin,error,origin_epoch,total_blocks,first_block_epoch,changing_write_attempts,max_conservation_residual,max_functional_score,eligible_callbacks,max_entropy,final_entropy,final_composition,execution_scarcity_blocked,execution_friction_blocked,mutation_scarcity_blocked,mutation_friction_blocked
p1_m2_n32768_s202611000_exlist6_4e46cb76_funcv1,202611000,natural_six,True,False,,,338478666,1,2371804502,0,,0,0.66547842301741778,0.3141541238846654,"[8223,14060,11577,11093,10912,10579,9282,8689,7736,8674,7748,7648,7373,7585,7682,8281,8362,7727,8153,17170,7059,7391,7035,6649,7914,7120,8090,8317,7615,8462,7645,7477,7788,7231,7454,8965,7560,7734,8756,8010,7591,7882,7552,2872,8266,2756,14578,8867,6571,6143,6512,7422,7228,7767,7788,7043,8507,7730,7520,8399,8125,15318,24836,15403,9345,8559,8848,9508,7801,8869,8796,6451,6335,6728,7450,6973,6883,6672,6945,7503,7439,6785,6880,6915,6299,6927,6696,7280,6593,7244,6505,8085,5515,2357,5964,5883,6608,7346,6649,6286,6906,8342,6720,6978,8401,7008,8125,6980,7748,7762,8188,9859,8196,7457,8746,7674,7784,7576,9997,9994,11210,13426,15828,24514,20981,8143,13183,12503,8564,8176,8409,9092,11276,8081,7661,8532,7314,7993,7465,9266,7981,7891,8293,9280,7968,7810,7600,7921,7523,8173,7670,7462,7321,7287,7564,7047,7110,7258,7481,7398,7308,7127,7386,10344,9748,8128,8070,7337,7054,8120,6905,8175,7517,6742,6673,7767,6958,7865,7588,7992,8986,7583,8344,7293,7121,7979,7716,7791,7410,7803,6970,9871,7772,7093,7182,6603,7364,7084,6991,6757,6783,7305,8683,7556,8111,8488,7038,6911,6814,8625,7454,8708,7677,7339,7630,7352,7584,7896,7525,7486,8052,7868,7497,7835,6920,7563,7573,7054,7237,7457,7270,6980,7432,7704,7374,7142,7495,7814,8048,7799,8059,7663,7254,9216,7639,7167,7872,8093,8718,7460,7859,8968,9787,10431,11226,14624]",338293915,0,184751,0
p1_m2_n32768_s202611000_fric0p27555028_funcv1,202611000,friction,True,False,,,547273543,1,1609843674,0,,0,0.071182683950237094,0.056022628663598001,"[11149,24215,14297,10486,9846,8754,8814,7896,8213,8077,8536,7727,8344,7173,7391,7288,7372,7170,6967,7206,7298,7075,6933,7485,7577,7541,7660,7280,7130,7111,6990,6981,7238,7321,7916,8198,8200,7538,7430,7760,7707,7717,8365,6389,24259,6571,10203,9750,9057,8517,8331,9070,8542,9621,9339,9870,10008,11934,14752,21275,24402,24759,24455,19938,13135,10438,9055,9247,7870,7387,7271,6999,7102,6981,6433,6759,6714,6679,7596,6770,6935,6897,6777,6524,6565,6361,6134,6599,6561,7411,9769,24238,11049,13219,7271,6218,6094,6405,6356,6317,7407,6667,6268,6399,6759,6816,6493,7154,6932,6508,6927,7860,7273,6879,7588,7306,7544,7274,7130,8108,8561,8532,9805,11949,11796,11828,9963,8693,7451,7973,8213,7350,6949,6983,6939,7378,7002,6884,7272,6949,7331,6777,6792,6664,6808,6808,7345,6820,6583,7180,6942,6655,7219,6593,6682,6657,7033,7125,6773,6780,6743,7356,6437,6811,6674,6625,6637,6803,7266,7200,7001,7195,6432,7091,6820,6772,6999,6973,7040,6998,7010,6365,7214,6977,6795,6918,7083,6550,6682,6771,6777,6629,6844,6556,7404,8026,6734,6516,6750,6709,6946,6300,6659,7222,6498,6447,6435,8139,6374,6730,7099,6950,6547,6896,7151,7218,7183,7115,7397,6983,6658,7053,6933,7213,6844,7391,6933,6910,7588,7155,7393,8178,7331,7301,7064,7522,6868,7159,7727,7935,8027,7422,7668,7709,8432,7769,8184,7651,8221,9204,9547,8890,10528,11816,15402,24175]",103637303,429545862,43830,14046548
p1_m2_n32768_s202611000_funcv1,202611000,control,True,False,,,161963605,486,2018290789,0,,0,0.38105308122313097,0.31212736131846608,"[8783,21760,12609,10473,10294,8845,8115,7549,7433,7513,7179,7780,7724,6998,7161,7515,7754,7556,7084,7488,6962,6890,6670,7253,7387,7369,8672,7214,7402,8289,6660,7462,7316,7055,6969,7671,7846,7839,7409,7502,7444,6998,7983,6723,24767,6392,10081,8712,9145,9432,8951,8745,8944,8276,9329,9499,11885,13354,15752,22960,24402,24639,24340,22660,15333,11149,10170,8453,8158,8268,7331,7148,7355,6335,7016,7210,6740,7150,6785,6628,6350,6099,6871,7388,6276,6726,6039,6191,6690,8272,11004,23968,9452,9787,6308,5958,6470,6634,6310,6373,6508,7071,7457,6664,7338,6898,6478,6389,7114,6653,7202,6740,6944,7435,7188,7236,7691,8504,8232,8195,8927,9461,12310,14352,13288,12681,12005,8912,7793,7829,7057,7280,7221,7348,7434,7599,8259,6862,7388,7309,7251,6941,6601,7252,6720,6840,6485,6929,6341,7557,7716,7207,7096,6620,7388,6880,6859,7237,7369,6975,6966,6720,6729,6836,7257,6399,6926,7180,6808,6618,8574,7417,6636,6822,6952,7707,6338,6479,6099,7471,6311,6291,6739,7880,7014,7307,6535,7575,7163,6823,6540,6729,7053,6973,6483,7383,7113,6365,6870,6619,6585,6865,6542,7220,7133,6253,7133,6575,6682,6381,6175,6594,6924,6075,6430,6840,6972,6601,6484,6934,7434,6735,6650,6843,7141,7527,7502,6999,6779,6318,6512,6363,6484,6370,6859,6671,6932,7107,7303,6921,7200,8150,7618,7580,7747,8699,9292,7727,9746,9488,8924,8410,10438,11715,13270,20826]",161901090,0,62515,0
p1_m2_n32768_s202611001_exlist6_4e46cb76_funcv1,202611001,natural_six,True,False,,,300858994,1,2012023779,0,,0,0.87721024402602943,0.28644403266339591,"[8182,14538,11250,10168,9029,8801,8518,9160,8171,7454,7926,8408,7931,7582,7768,6689,8590,8204,7035,7115,8320,7244,7082,7693,8079,8170,7843,7899,9128,7778,8024,8377,8591,8587,8229,6752,8335,7588,9621,8429,7356,7661,5923,2964,8143,2868,14643,7449,7356,7900,7694,7294,7812,8364,9417,9341,8908,8447,10419,9666,8254,15995,25179,15631,10825,9655,9223,9100,7513,8945,8065,8414,7569,8441,7349,7072,7364,6736,7647,6929,6464,6752,6224,6560,7332,7060,6322,6303,7911,6180,6446,8059,6816,2369,5080,5473,6575,7235,6944,6435,6860,7743,6851,6847,8075,7400,7273,6868,7987,8865,7138,7689,7165,7845,7962,8648,8318,8431,9583,10432,11935,12740,16882,24838,19656,8301,13638,10426,9295,8000,7711,7772,7604,7736,8294,7217,7869,6903,9209,8001,7232,7048,7424,7096,6909,7699,7454,8081,7443,7211,7125,7943,7266,8237,7015,7713,7829,7619,7917,7626,7000,7642,7468,7087,7766,7111,8475,7422,7003,7237,7253,7256,6855,7413,7493,7212,6953,7887,6732,7773,8006,7337,8009,7540,8040,7511,7353,7657,9057,8016,6889,7166,6861,7126,8188,7893,8499,7253,7239,7959,8118,8204,7697,6968,7448,8322,8698,8243,8137,9201,9422,7585,8384,7448,8341,8704,7449,7514,8155,7354,7247,7885,7064,6707,7172,7757,8321,7873,7617,7590,8107,7887,8458,8458,8680,8564,8512,8372,7177,6918,7459,7666,7295,7503,7293,7375,7282,7913,7523,7993,7765,8471,9143,10051,11657,16115]",300656101,0,202893,0
p1_m2_n32768_s202611001_fric0p27555028_funcv1,202611001,friction,True,False,,,547533345,1,1621816055,0,,0,0.0709856613687396,0.0709856613687396,"[8475,20575,12910,10961,9216,7856,7772,7539,7429,7868,7490,7345,7469,8091,7605,7357,8826,8359,7499,7704,7319,7636,7897,7539,7376,7847,7950,7050,7571,8360,9195,7721,7860,7193,7403,8337,7728,7274,7568,7861,7594,7371,7287,5972,23364,6303,11112,9544,8765,8875,8723,9001,9252,9937,10111,10064,10334,12275,15223,19986,24786,24296,24788,20025,13625,10137,9137,10066,9245,8019,7494,7059,6938,7266,7860,6975,7014,7018,7519,6727,6777,6708,6427,6724,6960,6396,6442,6619,6737,6613,9513,24152,10450,13736,7147,6288,6237,6405,6413,6621,6192,6851,6693,6713,7189,6540,6935,7114,6790,6674,6807,6922,6881,7007,7168,6863,8139,7165,7485,7617,7888,9058,10736,12793,11576,12479,9504,8902,8167,8011,7145,6841,7190,7246,7321,7267,6589,6701,7098,6909,6878,6946,6370,6537,6688,6901,7797,7217,6844,7251,7006,7046,6702,6997,6937,7208,6945,6647,6804,7218,6725,7257,6655,6810,6874,7181,6850,7192,7058,6477,6531,6661,6619,6742,6641,6784,6514,6838,7815,7092,6493,6889,6305,6770,6709,6983,6858,7605,7699,7299,7383,6920,7048,6861,7098,6661,6737,7234,6960,7356,6500,6697,7181,6727,6780,6338,6830,6766,7090,7112,7036,7583,7244,6659,6707,6761,6686,6820,7663,6769,7269,7287,7279,6604,6802,7557,7907,7763,7360,7190,7564,7158,7314,6961,7443,7469,8329,7886,7986,7600,7673,7163,7206,8254,7375,7693,8881,7935,7930,8328,8777,9622,10136,10537,13169,21024]",100599326,432838498,43448,14052073
p1_m2_n32768_s202611001_funcv1,202611001,control,True,False,,,155910941,458,2093113336,0,,0,0.67746374252239683,0.3137558786211363,"[8502,19992,13564,12067,10206,9493,9680,7450,8030,7339,8234,7850,7441,8140,7251,7443,7647,7605,8019,8249,8306,8114,7899,7249,7075,7732,7303,6789,6923,7861,7692,7514,7788,7581,8069,8459,7605,7892,7578,7831,7696,7720,6939,6066,24384,6336,9407,9482,8414,8586,8017,8328,9588,8509,10043,10269,11060,13513,15420,20960,24784,24322,24801,21386,13161,10944,8991,9261,7745,8652,7492,8025,7061,7691,7139,6846,7478,7929,7309,6465,6606,6325,6495,6483,6645,6770,6209,6676,8071,7419,10601,23515,9899,9931,6537,6208,6204,6398,6650,6462,6407,6382,7099,6691,6726,6809,6554,6715,6743,6970,7374,6896,6345,7048,6667,7515,7398,8545,9390,8338,9087,9867,11815,16223,15321,14505,11286,10014,8629,7626,7420,7471,7283,7184,6980,6753,6550,6280,6039,6826,6635,6161,6587,6778,6052,6446,6639,6828,6668,6556,7168,7131,6745,6802,6846,6231,6509,6357,6895,6380,6782,6272,6967,6949,7272,6864,6604,6582,6557,6260,6358,6971,6479,6712,6692,7358,6696,6862,6584,6524,7537,6645,7399,7356,7675,7098,7627,6894,7203,6826,6382,6702,6736,6432,6651,6240,7182,6664,6464,6794,6693,6184,6355,7116,6963,6337,6778,6630,6464,6851,6718,6521,6357,6837,6969,7368,7292,7408,6974,6695,6912,7036,6726,6676,6950,7403,8111,6507,6895,7334,6490,7244,7392,7541,7531,8257,7153,7258,7709,7211,7267,7362,7182,7916,7158,7296,7515,8213,7648,8770,9062,8583,9788,10644,14752,21328]",155848694,0,62247,0
p1_m2_n32768_s202611002_exlist6_4e46cb76_funcv1,202611002,natural_six,True,False,,,333125938,1,2163367664,0,,0,0.70010443991846838,0.29836040205888897,"[8130,14072,11747,8675,8113,8395,7709,7506,7372,7531,7746,7395,8844,8377,8164,7240,8014,7786,7308,6786,6947,7591,7856,6939,9719,8386,7861,7543,7749,7984,8384,7928,7322,7797,7078,8481,8249,7418,7641,6922,7385,8597,6103,2795,8175,3308,16217,7546,8013,7737,8052,7608,6980,7532,8101,7260,7671,7698,8860,8592,8296,14468,23110,13800,9357,9000,7367,7975,7679,7724,7725,6967,6878,7539,7962,7396,7492,7088,6941,6150,6716,8286,6842,7096,7678,7014,7925,7126,6683,6695,7100,8204,5489,2378,5008,6047,5607,6871,7005,6423,6556,6658,6471,7622,7061,7962,7278,7859,7088,8807,7433,8144,7642,7060,7115,7264,9760,8216,9504,9886,11293,13151,17212,24896,19253,8187,15347,10869,12303,8984,8763,8398,7994,8349,8263,7886,9298,7845,8199,8666,9835,7124,8219,8262,8549,7627,8045,7628,7526,7556,7027,7716,8285,7458,6688,6902,6747,6311,7959,7022,6865,7245,7289,7759,7732,7095,9653,7995,8328,7629,8026,7646,9056,7777,7156,6755,6907,7278,7647,7821,7957,7540,7188,7515,7213,7195,7516,8015,7976,7621,7399,9395,8085,7514,7721,7264,8918,7289,6740,7546,9587,8153,6221,7491,9233,7184,8850,8099,7648,9012,8237,7163,7653,7432,8202,7357,7224,7375,7026,8023,8350,7500,7415,9544,9501,8456,7404,7809,7608,9401,8426,9716,9975,8017,8140,8151,7724,7489,7843,7740,7662,7840,7538,9142,7421,7403,8927,7538,8087,9228,8425,8778,9044,10302,12216,13886]",332932051,0,193887,0
p1_m2_n32768_s202611002_fric0p27555028_funcv1,202611002,friction,True,False,,,545408958,1,1622727178,0,,0,0.074858504941753098,0.06134951236056,"[9641,19884,13793,10784,9718,9084,8904,8025,8488,7542,7597,7365,7891,7806,7933,7783,7504,7431,7622,7510,7220,7300,7024,6987,7119,6805,7990,7301,7221,7162,7139,7951,7718,7200,7481,7842,7384,7917,7746,7661,7918,8100,8272,6732,24242,6733,10540,9667,10147,8866,8807,9205,8693,8926,9384,10104,10672,11853,15481,22374,24904,24505,24141,20101,12500,10841,9094,8371,7895,8770,7493,7335,6996,7108,7222,6987,7108,7659,7020,6299,6809,6345,6468,6305,6441,6776,7073,6651,6932,8303,9314,24517,10634,12927,6571,6182,6018,6091,6294,6533,6199,6256,6203,6301,6250,6212,6517,6677,6831,6645,6777,6856,6881,6871,7322,6927,6909,7257,7550,7875,8593,9111,10231,12682,12854,12163,10782,8467,7965,7380,6965,7043,6952,6889,6497,7125,6984,6719,7171,7035,6881,6991,6962,6866,6994,6978,7162,6663,6701,6946,6601,6520,6459,6507,6733,6950,7218,6717,6477,6647,6727,6385,6649,7804,6908,6789,6833,7132,6563,6629,6860,7094,7219,6708,6878,6802,6885,6893,6891,7042,6754,6684,6865,6669,7192,6707,6483,7220,7242,7400,7146,6826,6921,6617,7111,7167,8224,7431,7182,7588,7814,7188,7762,7133,7297,6677,6874,6769,6971,6910,7082,7078,6797,7237,7565,7043,7315,7221,6571,6464,6833,7234,7135,7199,6909,7658,7092,6949,7062,7154,7665,7725,7166,7487,7161,7510,7374,6945,7204,7858,7578,7233,7620,7841,7795,8807,8615,8062,8757,8951,9146,9700,10075,11136,13673,22336]",98222868,433087338,44103,14054649
p1_m2_n32768_s202611002_funcv1,202611002,control,True,False,,,161671411,497,2071785878,0,,0,0.68482794467614383,0.36209304692054989,"[8017,19788,13293,11430,9231,8889,7973,8338,8043,7046,7974,7856,7405,7048,6633,6787,7567,7407,6980,7023,7317,8929,7017,6890,7319,7438,6374,8033,7021,7587,7298,6839,6936,6660,6705,7261,6793,7455,7727,6981,7071,7541,7686,6195,24448,6260,10547,8491,8186,9421,8755,10283,9398,9764,10173,11032,11017,12578,17008,24417,24904,24455,24138,21188,14062,10490,10688,9124,8756,8763,8668,7414,8114,7462,7057,7388,6989,6731,6697,6988,6537,6284,6526,6958,6508,7401,6502,7606,6403,6950,9443,23779,9630,9870,6886,7289,6990,7487,6230,6794,6593,6092,6378,7082,6731,6746,6716,6382,6497,6386,6926,6866,7816,7008,7277,8258,8051,7716,8091,8395,10093,10974,13707,15834,14237,14167,11959,9377,7932,8346,8401,8589,6725,6842,7510,6910,6729,6997,6905,6991,7152,7347,6600,7045,6589,6908,6485,7181,6493,6567,7831,6635,6970,6881,7044,6949,7637,6575,6713,7779,6886,6959,6555,6949,7004,7087,7031,6197,7289,6564,7602,6815,6312,6749,6504,6404,6337,6850,6854,6670,7147,6527,6380,6985,6833,6946,7072,6301,6206,6545,6328,7382,6661,6880,6519,6750,6762,6660,7228,7180,6889,6691,6831,6767,6834,6695,6646,6392,6555,6871,6824,6239,6435,6498,6688,7256,7470,6592,6772,7100,6958,6466,6748,7074,6727,7642,7138,6494,7434,7232,7782,7330,7249,7440,6778,6950,6586,7141,7402,7177,6863,7919,7775,7725,7720,7041,8050,7385,9773,7620,9436,7737,8478,9608,13458,20520]",161608651,0,62760,0
p1_m2_n32768_s202611003_exlist6_4e46cb76_funcv1,202611003,natural_six,True,False,,,380139798,1,2474435722,0,,0,0.69814064908335283,0.27842244193002053,"[8239,14877,10849,10210,9149,8220,7961,8595,8027,7694,7374,8523,8072,7584,8118,8610,7786,7214,7899,7536,8075,7803,13743,8548,7680,7177,7261,7432,8414,7868,8023,7059,9426,7902,8016,7927,7620,8557,8859,7912,8026,7234,6503,2883,8017,2725,15583,7156,6209,6522,6958,8053,7733,7755,7163,7642,7612,8474,8072,8554,8136,16823,24765,15162,10525,9115,9097,7895,7350,7589,7254,7540,7824,6705,7773,7327,7177,7317,7049,6808,7209,6789,7526,6511,6330,7460,7053,7808,7124,6922,7872,8094,6331,2380,5435,6394,6835,6863,7068,6445,6789,7302,7071,7765,6663,7633,7402,7536,6674,7570,7841,7289,8233,7564,7764,7627,7697,9154,9565,10314,10904,13029,15852,24636,18293,8260,14409,9858,9469,8429,8253,8109,7390,8919,7614,7295,8504,9394,8605,8262,8359,8036,7607,7151,7704,8184,7946,7041,7188,7867,7362,8089,7762,8373,8134,7606,8269,7864,7691,7362,8009,6813,7297,9571,7495,8865,7570,7319,7632,7975,7673,7557,8059,7625,7329,7492,8984,8099,8933,8496,8880,7792,7368,8707,7892,7425,6963,7697,8788,8294,7428,7236,7513,8170,7627,7001,7082,7174,7103,6838,7116,7317,7569,6769,7020,7336,7332,6735,7111,6958,7741,7208,8028,7290,7194,7331,6905,7838,8042,7420,7622,8225,7858,8590,7302,8137,7472,9410,7797,7727,8140,7659,7699,7775,7037,7088,7344,7462,7437,7104,7188,7522,8003,7536,8616,7850,8986,8196,8242,8338,8653,9700,11246,10268,12271,14696]",379952807,0,186991,0
