run_id,seed,integrity,origin,error,wall_time_s,storage_bytes,origin_epoch,total_blocks,first_block_epoch,changing_write_attempts,max_conservation_residual,max_functional_score,eligible_callbacks,max_entropy,final_entropy,final_composition,execution_scarcity_blocked,execution_friction_blocked,mutation_scarcity_blocked,mutation_friction_blocked
p1_m16_n32768_s202612000_funcv1,202612000,True,False,,6436.3347085049609,23811184,,46597,6747,4991797440,0,,0,0.39330286200360559,0.11748252152339581,"[7445,9601,7365,6622,6685,6465,6529,6070,6437,6319,6314,6660,6211,6334,6030,6750,6161,5930,5815,6171,6481,6962,6292,5661,5708,6102,6021,6045,6928,6092,6195,6077,6707,6624,6802,6822,7059,7909,8408,9052,10005,10352,11384,7480,67399,7841,16232,14333,12897,12774,12759,12754,12626,13978,16545,19197,23231,28176,39707,59973,131956,64348,44458,31275,20913,15285,11439,10693,9553,9042,8740,8164,7888,7395,6952,6850,6503,6187,5818,6216,5943,5746,5598,5560,5469,5584,5527,5723,5562,5822,6714,14465,7554,4603,5287,4905,5029,4687,4983,4615,5096,5688,5498,5395,5833,5767,6158,6016,5994,5416,5221,5498,5148,5404,5530,5662,5604,5191,5647,5599,6176,6867,8120,12549,7914,7653,6928,6341,6262,6084,5509,6119,5823,5989,6103,5697,5311,5864,5295,5001,5305,5221,5278,5093,5334,4905,5254,5215,5034,5244,5137,4880,5496,5017,5852,5362,5145,5702,5399,5196,5724,5279,4768,4778,5325,5154,5611,5388,5202,5400,5690,5864,5836,6187,6031,5802,5472,5470,5540,5452,5184,5562,5172,5251,4975,4809,5376,5615,5487,5336,5464,5510,5405,5572,5331,5587,6041,5659,5750,5475,5887,5558,5054,5835,5756,5849,5089,5816,5289,5169,5666,5507,5176,5149,5488,5553,5399,5388,5612,5680,5472,5267,5560,5642,5680,5197,5116,5251,4796,5310,5111,5585,5100,5362,5467,5448,5423,5442,5523,5101,5246,5726,5691,5102,5563,5921,5777,6010,5883,6337,6241,6008,6065,6268,7455,9958]",46595,0,2,0
p1_m16_n32768_s202612001_funcv1,202612001,True,True,,58170.772352615953,38642050,40901,83197,4820,56315992006,0,64,592,6.5230200463012933,6.4328474497802688,"[65,29200,5765,11259,7772,3752,1715,3136,5235,4222,3991,23769,7019,3133,20445,11017,6596,5473,3952,2960,11822,5240,5787,2866,8692,6148,3049,800,8141,4520,8324,3686,6492,12716,6535,7131,3578,3576,17839,3533,8082,9529,3626,21577,82516,21719,24815,7869,3149,5235,18923,7974,11139,2650,1901,6920,490,5813,12339,10739,65607,9783,15,3347,35563,7717,2550,5310,7883,12035,10126,3325,2686,4020,21339,14697,4675,6666,4013,6933,1792,10094,8266,5778,6562,17767,14422,4886,7643,4502,5334,77080,10348,32756,778,10788,6578,2896,2826,15515,8759,2056,4609,4081,4845,4214,9271,2883,11978,6593,4295,9241,7522,4677,4757,9768,4661,10290,19630,21493,8184,3132,2167,26,15711,65427,4349,3627,4466,4698,7893,1710,5292,3597,3303,2944,3303,4506,6536,3668,25701,4407,4629,25637,6356,5989,3194,5004,15464,9001,8669,2915,4394,1535,11415,5806,6425,6305,2750,6068,2981,3205,2918,3428,12089,7296,1676,6180,6693,3842,8778,4190,5599,2714,8009,4163,8315,4751,6362,2384,2605,4058,6629,17796,3221,5973,8908,7872,1449,8399,7995,11637,3040,10101,11662,5753,1215,7454,3073,9900,3826,9838,2687,8076,6943,4693,13879,5991,3639,578,18570,7946,6548,12051,16139,4220,9207,400,8437,7595,3553,8098,2399,9375,1639,12316,6369,2451,1053,1297,4685,5376,4940,19824,3105,4479,7494,2492,7468,4373,6918,7896,4895,1411,9718,2704,1708,8386,4211,7030,2630,5898,2748,9653,5397,2904]",83190,0,7,0
p1_m16_n32768_s202612002_funcv1,202612002,True,False,,6496.1025247119833,23806415,,0,,5039008014,0,,0,0.38208423759107107,0.12082654609336881,"[6239,8600,7340,6257,6591,6098,5589,5879,5702,5624,5480,5325,6030,6028,5785,6116,5395,5697,5756,5813,5947,5305,5607,5803,5916,6183,6496,7112,6446,6358,6616,6419,6824,7117,6995,7682,8341,8045,8333,8819,9335,9503,11596,7553,65981,7852,15418,14233,12837,13297,12523,13826,14868,15788,17633,19821,23169,30086,37810,61047,123938,66201,45031,32536,21488,16500,13608,11340,9889,9358,9015,7927,7674,7514,6977,6780,6427,6111,5914,6375,5771,6176,5618,5436,5835,5526,5399,5673,5844,6508,6940,14437,7289,4298,5328,5146,5536,5574,5129,5303,5085,4675,5022,4986,5189,5463,5424,5977,6021,5303,5394,5383,5639,5496,5745,5373,5210,5800,6051,5812,6337,7833,7852,10895,8208,7270,6747,6042,6298,5722,5512,5589,5678,5353,5297,5276,5202,5594,5041,5189,6029,5417,5534,5376,5744,5173,5742,5441,5057,5121,5575,5256,5718,5646,5224,5195,5550,5739,5649,5010,5170,5235,5534,5391,5451,4929,5310,5348,5766,5538,5821,5282,5294,4905,5184,5037,5359,5503,5905,5412,5755,5876,5607,5627,5708,5753,5487,5692,5390,5524,5709,5646,5705,5143,5590,5445,5361,5394,5532,5722,5711,5408,4960,5659,5286,5516,5412,5076,5422,5610,5650,5633,5816,6085,5813,5514,5317,5580,5314,5302,5112,5447,5478,5939,5843,5439,5398,5450,4981,5475,5334,5508,5014,5083,4806,5143,4759,5202,5466,5458,5589,5991,6043,5879,6033,5696,6049,6214,5920,6080,6157,6224,6146,6469,7597,9174]",0,0,0,0
p1_m16_n32768_s202612003_funcv1,202612003,True,True,,6873.7805005350383,25311861,98001,165664,5112,5857512396,0,64,21,3.6522758868372791,3.1560313022466211,"[141,1288,1626,1247,7397,1324,1126,2593,1132,4114,4947,2553,14556,1931,2682,1919,569,1052,2228,906,1108,2895,46624,1747,10507,1794,15157,1441,8612,6934,750,2226,1281,3546,945,1476,2235,6750,7534,1265,2869,1253,4644,628,89128,1546,830,4384,1360,1393,1364,6387,1867,33894,6676,2193,38865,3021,2031,6561,120425,64770,26173,4131,7908,2237,1173,19700,1555,1524,5583,2791,1112,2202,5005,2042,2526,56901,2347,5761,1501,5924,1029,1426,1259,1912,2381,1173,1175,7311,22638,102294,5866,8712,3419,1321,1859,6227,6397,1434,1322,13962,4546,49968,2050,1148,8373,8896,8241,1235,4168,1267,1962,26890,2919,1970,1791,12447,2643,1249,14236,4741,2047,1724,5783,102624,3199,3830,22251,52525,3097,2898,2098,7437,1682,2785,10012,1472,1649,4628,963,893,1235,5125,1439,1651,1556,1095,1469,3337,2279,881,1506,5394,5548,16059,3806,3312,10058,1577,1314,981,1460,1831,9293,1536,2992,3581,3326,1237,2183,2493,12383,2331,1080,2322,13321,3138,1280,4629,3155,2865,3386,1537,14147,6088,1774,2611,13470,2452,10794,1079,6808,1056,1373,2955,1436,1199,1192,1874,80066,794,2073,880,4631,3156,9644,4990,22347,3465,7108,1408,4704,7190,1261,1708,4658,2118,1564,1584,1221,1528,20788,51560,1471,1273,42298,1940,1901,2723,2521,1715,1519,17491,4548,2734,1808,819,3630,26549,37370,2738,3740,3677,2652,2688,27965,2002,2280,65380,21203,8945,8943,3565,4459,1073]",165648,0,16,0
p1_m16_n32768_s202612004_funcv1,202612004,True,False,,6504.0521458699368,23831647,,26876,4149,5099620864,0,,0,0.39088097547802469,0.1184090645400077,"[8205,11133,8283,6946,6496,5890,5879,6342,6144,5915,6146,6030,6103,5623,5762,5806,5927,6159,6078,5837,5733,5756,6219,6292,5990,6485,6261,6282,6419,7222,7193,7232,7030,7397,7255,7449,8063,7998,8410,8235,8999,9500,11450,6645,64583,7434,16355,13893,12721,13077,12922,12935,13088,15067,17236,19294,21510,29211,39892,60871,131997,66502,46769,32650,20431,16044,12596,11832,10251,9196,8593,9257,7242,6887,6404,6044,5597,5807,5755,5535,5995,5663,6076,5472,6011,5889,5543,5343,5507,5990,7721,16422,6744,4002,4969,5248,5365,5152,5749,5319,4952,4998,5511,5739,5232,5234,5648,5802,5565,5468,5360,5641,5532,5649,5438,5531,5541,5611,5508,6483,6458,7028,7296,11168,8070,7128,6326,6155,5407,5532,4754,5116,5894,5281,5164,5375,5501,5439,5619,5414,5804,5704,5585,5429,5374,5650,5574,5471,5166,4995,5088,4871,5088,5032,4747,5088,4795,4791,5035,5343,5865,5308,6173,5871,5454,5617,5455,5451,5433,5586,5191,5192,4825,4831,4817,4850,4900,5381,5100,5379,5013,4968,4906,5016,5204,4872,5234,5078,5261,5414,5100,5552,5853,5822,5667,5169,5364,5152,5863,5379,5368,5117,5076,5601,6021,5146,5278,5508,5290,5172,5012,5004,5094,4783,4795,4777,5262,5262,5436,5261,5522,5268,5477,5371,5807,5731,5669,6038,5812,5834,5877,5441,6102,6161,5714,5458,5276,5336,5417,6146,5732,5833,5993,6176,5986,6046,5392,5337,5271,6423,6027,6165,6669,7099,7380,10262]",26875,0,1,0
p1_m16_n32768_s202612005_funcv1,202612005,True,False,,6506.655820212909,23824405,,95546,5415,5022833739,0,,0,0.36933609445851617,0.1209212354540198,"[7106,9072,7311,6740,6139,6527,5894,6235,5565,5753,6101,5805,6205,5790,5272,5594,5373,5537,5648,5481,5709,5371,6013,6289,6397,5963,6089,5955,5963,6754,6799,6528,6049,6606,6882,7176,7926,7643,8557,8233,9795,10259,10470,7751,67077,7577,15998,14556,13143,12989,13024,13399,12654,16162,16721,18589,22241,27386,37966,59277,131392,65681,47546,34713,21579,16442,13003,11368,9808,8913,8618,7692,7874,6671,6713,6516,6459,6751,6657,6979,6731,5581,5695,5565,5597,5825,5691,5373,5755,6187,7203,15495,7102,4542,5518,5045,4694,5047,4704,4793,5281,5418,5226,4977,5461,5704,5855,5515,5730,5428,5136,4843,5065,5461,5951,6545,6110,6649,6006,6143,6552,7002,7562,10121,8244,8076,7301,6194,6369,6675,5781,5770,5498,5825,5598,5975,5546,5510,5656,6088,5090,4966,5163,5208,5409,5080,5288,5254,4985,5243,5271,5566,5042,4959,5933,5508,5868,5295,5150,5151,5654,5513,5311,6094,5671,5334,5129,6059,5596,5840,5895,5569,5472,5446,5443,5456,5260,5492,4864,5103,5019,5588,5481,5573,5289,5383,5631,5052,5108,5016,5351,5476,5297,5426,5507,5323,5432,5534,5851,5768,5915,5526,5324,4976,5454,5658,5989,5897,5355,5567,5130,5066,5896,5458,4981,5073,5193,5342,5101,5467,5236,4982,5096,5262,5110,5064,5160,5544,5509,5225,5406,5208,5446,5178,5001,5130,5425,5492,5601,5393,5532,5974,6326,5118,5751,5526,5563,5482,5595,6070,5967,6073,6351,6735,7764,9305]",95540,0,6,0
p1_m16_n32768_s202612006_funcv1,202612006,True,False,,6413.7712656729855,23810822,,85213,5612,5025508808,0,,0,0.37207126920115652,0.10533922428151141,"[7847,10700,8222,7025,7080,6665,7278,5815,6444,5877,6936,6334,6277,5876,6125,5619,6167,5750,5947,5821,6475,6603,6313,6522,6589,6533,6107,6624,6430,6561,6353,6639,7398,6848,6812,7263,8265,7446,8988,8776,9425,10124,11070,6959,64721,7631,15926,13066,13182,13058,11932,12646,13470,14714,15694,18424,23263,28783,38804,59325,133937,65588,45074,32545,20770,15398,12384,11110,10074,9548,8300,7739,7439,7009,6789,6856,6415,6019,5992,5986,5940,6186,5653,6208,5911,5593,5417,5037,5174,5749,6660,13735,6922,4558,4813,4792,4609,4538,4704,5067,5659,4797,5311,5011,5453,5027,5193,5653,5366,5154,5429,5523,5590,5227,5074,5396,5760,5394,5698,6211,6449,6347,6923,11458,8512,7806,6602,5876,5833,5747,5622,5983,5436,5380,5411,5257,5559,5070,5311,5309,5229,5012,5260,5718,5338,5269,5246,5121,4760,4923,5442,4830,5489,5388,4990,5023,5421,5767,5452,5481,5123,5349,5528,5027,5082,5101,4973,4862,4927,5444,5164,5510,4970,5535,5903,5555,5288,5440,5579,5956,5715,5247,5359,5223,5728,5797,5027,5449,5079,4907,5135,5317,5546,5349,5175,5583,5333,5525,5777,5675,5477,5428,5913,5551,5362,5747,5273,5089,5477,5317,5430,5010,5210,5760,5067,5406,5262,5469,5390,5309,5235,5661,5727,5304,5127,5297,5763,6047,5905,6076,5475,5790,5656,5270,5063,5085,5458,5330,5185,5345,6268,5684,6227,6173,5998,6050,6730,6524,6464,6335,6385,6488,6816,7103,8011,11107]",85210,0,3,0
p1_m16_n32768_s202612007_funcv1,202612007,True,False,,6427.3777953529498,23826892,,54079,4440,5051987788,0,,0,0.3368121062819957,0.12703970105761631,"[10699,12004,7481,6615,6561,5522,5691,6090,5633,5644,5448,6112,5929,5547,5509,5576,5212,5312,5255,5839,5670,5992,5521,5567,5932,5879,6368,5996,6374,6317,6118,6316,6379,6405,6667,7349,7190,7505,8111,8510,9762,10036,10903,6546,67491,7052,16820,14260,13270,12161,12845,12530,13882,15335,17013,18791,21708,28731,39492,63780,136875,66603,44698,32051,19811,15644,13252,10812,9858,9264,8875,8062,7705,7091,6491,6474,6234,5813,5793,6451,6184,5999,6248,5876,5422,5537,5416,5507,5795,6569,8289,23667,9157,4095,5482,4766,5312,4875,5319,4974,5751,5105,4899,5011,4898,5492,4990,5034,5353,5089,5253,5623,5363,5092,5957,5790,5973,5564,6061,6207,5795,7178,8791,13492,8987,7872,7186,6403,6219,5461,5122,5401,5490,5601,5848,5510,5997,6097,5424,5294,5291,5330,5313,5278,5492,5314,5133,5357,5747,5445,4954,4966,5071,4973,5336,5214,5418,5279,5112,4814,4975,4881,5666,5261,5515,5258,5283,5361,5465,5300,5451,5134,5375,5615,5524,5531,5418,5134,5050,5236,5682,5300,5612,5728,4953,5691,5935,5504,5664,5219,4932,4779,5006,5205,4883,4956,4469,4880,4466,5048,4859,5269,5005,5204,4900,4721,5035,5032,4853,4605,4727,4804,4568,5037,4855,5016,4789,5361,4999,5278,5343,5034,5010,4904,4802,4665,5341,5416,5336,5339,5458,5443,5126,5810,5301,5600,5400,6093,5339,6055,5531,5132,5405,5130,5510,5974,5536,5364,5408,5809,6099,6559,7098,7370,8958,11083]",54075,0,4,0
p1_m16_n32768_s202612008_funcv1,202612008,True,True,,68069.477186897071,41082401,31901,1226317,30921,91599482720,0,64,682,6.5123713626125497,6.4804884535620806,"[72,24152,5445,6198,5181,3803,8748,8068,9602,7887,8634,10112,9935,6045,7124,19934,6595,3392,11359,7832,3513,14232,5040,6871,4190,2875,6656,695,7374,3931,7199,6667,1968,5125,4033,10352,4493,2169,14284,5765,5688,6712,7808,18820,89500,18406,24060,2262,3316,2137,7876,6473,10924,4855,2663,7070,7022,3111,3781,12065,66400,6833,49,11735,6177,9336,2830,6360,3735,10154,7403,4678,3337,12465,6929,4204,10062,3839,3720,4265,6261,2446,4565,9997,9588,6200,13948,3929,4473,19606,8693,70843,2087,33786,19005,21759,1322,8737,9643,6700,4642,10203,9753,7352,9161,10700,6621,6091,12274,7009,2763,6002,11442,4258,11916,3581,5670,7685,2429,6406,4865,12484,5884,30480,4309,65511,6244,4775,5117,1832,7416,7181,2837,5101,3970,6526,2045,3204,8344,5281,4325,4220,7876,5739,4479,2722,2113,10322,3996,10994,7698,12017,3333,5518,6443,9188,5637,12357,9382,9131,11321,5684,6859,9147,2192,5025,10676,5500,5001,2447,2639,4818,11590,2251,6118,9379,6724,3942,5907,6894,4126,3131,8113,3611,8066,8500,7902,10348,6378,7692,9819,4632,2321,5774,2611,2331,2443,5222,8662,3162,7686,7098,3376,5166,6333,3880,1781,7127,9617,979,7720,1316,5841,6499,8136,4089,6853,5536,27575,5327,4137,2455,1739,4656,3651,3209,3205,9576,1600,8179,9273,8248,19742,6109,2207,24354,4647,11473,7441,5149,10145,6037,8367,7574,3823,1489,8571,12041,4787,6443,5716,9219,15323,16572,3899,8151]",1226296,0,21,0
p1_m16_n32768_s202612009_funcv1,202612009,True,True,,6947.2634958310518,25566617,95701,375859,5051,6215467432,0,64,44,3.7030783989161962,3.3974189490497846,"[71,9956,5104,1062,1859,1336,336,13954,1252,9320,880,4403,319,1489,308,380,1828,473,1725,3656,525,332,15084,367,1156,9239,282,395,5212,52744,689,461,570,10698,390,23032,362,1221,1412,41258,7874,11344,662,443,75873,286,421,814,457,1343,539,28110,63454,710,868,2759,57773,675,479,84481,64760,6576,794,11398,5028,8845,17870,2914,14002,428,12195,421,1603,3832,23793,3306,3402,411,279,555,34274,1228,11160,361,1468,357,12131,1430,2894,1041,1942,59187,14187,14311,560,11676,1698,1847,673,3634,625,12186,427,5809,402,3163,347,13400,452,7744,712,2140,2167,380,1162,9695,1153,426,2048,787,11649,1431,680,356,76130,103874,479,372,402,1168,401,1115,4385,351,7345,5047,18863,537,583,7512,1077,8856,3070,698,10582,7934,14459,10348,38734,2518,16466,328,688,27843,13280,553,1183,8902,1347,1865,40798,2488,1312,39537,420,3800,907,7726,2478,397,3491,865,828,35385,502,331,428,1420,925,2108,1288,352,358,506,1841,336,5564,11547,10493,2563,6725,4049,2234,10006,396,445,33156,16523,437,1600,1207,1028,443,740,19108,38656,958,351,19201,665,1635,877,28413,17592,1196,8526,847,698,1034,6888,1406,1352,62907,1781,413,10294,1667,1008,439,45239,8828,913,7197,4929,489,6687,957,3053,407,411,3514,20184,14535,487,534,1032,422,5480,10684,19781,477,450,37511,1246,8164,4034]",375846,0,13,0
