run_id,seed,integrity,origin,error,wall_time_s,storage_bytes,origin_epoch,total_blocks,first_block_epoch,changing_write_attempts,max_conservation_residual,max_functional_score,eligible_callbacks,max_entropy,final_entropy,final_composition,execution_scarcity_blocked,execution_friction_blocked,mutation_scarcity_blocked,mutation_friction_blocked,arm
p1_m16_n32768_s202613000_funcv1,202613000,True,False,,6538.045750724967,23832304,,75274,5216.0,5041817380,0,,0,0.3835745408649931,0.1328651597911658,"[9218,9289,7380,6642,6142,6193,6791,6138,6505,5705,5940,6135,6360,6003,6255,6601,6838,6253,6333,6241,5814,5867,6113,6033,6078,6167,5929,6998,6628,6179,6662,6507,6909,6398,7166,7256,7773,7332,8925,8946,9575,9842,11457,7964,67004,8096,17276,14905,13988,13159,12699,14438,14108,16280,17765,19815,22613,28350,39311,59964,126842,63982,45936,33287,21195,15277,12627,10829,10152,8673,8046,7140,7183,7361,7291,6565,6203,6016,6171,6226,6058,6176,5741,5749,6083,5961,5412,5412,5109,5533,7114,14294,7791,4341,5057,4776,4959,5069,5259,4857,4931,5096,5818,5438,5490,5275,5350,5333,5271,5436,5602,5610,5578,6080,6059,5522,5600,5638,5742,5449,5978,7144,7892,11284,8690,8033,7184,6068,6815,6134,5770,5875,5443,5458,5476,5326,5674,5887,5483,5394,5626,5153,5319,5723,5592,5442,5608,5658,5557,5233,5241,5558,5716,6060,5753,5541,5764,5839,5273,5183,5338,5860,5612,5222,5211,4385,4567,4997,5068,5513,5762,5443,4894,4765,5331,4877,5040,4963,4880,5577,5378,5310,5179,5215,5508,5344,5506,5269,4912,4954,5843,5210,5318,5185,5234,5664,5710,5521,6048,5389,5011,5281,4975,5112,5163,5173,5133,5053,5101,5278,4819,5300,5370,5544,5191,5245,5190,5167,5283,5251,5434,5237,5173,5318,5552,5666,5586,5696,5228,5257,5159,5148,5236,5007,4867,4773,5162,5067,4862,5680,5633,5480,5849,5480,5814,5062,5705,5813,5999,5822,6432,6743,6668,6677,7365,9691]",75271,0,3,0,m16
p1_m2_n32768_s202613000_funcv1,202613000,True,False,,12521.651721804985,27507242,,2016940906,450.0,6755991591,0,1.0,34,1.1613779785266516,0.9000396345429236,"[24563,24336,17047,9316,10318,6077,9154,7392,11959,8371,7582,6865,6805,5437,5109,6420,5203,4610,8448,4832,6139,4274,4511,4118,4803,5291,13402,6393,5398,16208,15304,4221,5932,4306,4778,4562,5628,5282,5852,7930,5977,7249,4634,2890,24659,3260,5043,5367,10982,5121,4027,5494,4575,4954,4839,5528,6763,20572,10069,19908,24429,23309,24651,8867,12863,4088,14186,18172,15914,14097,5776,6027,4326,5648,6400,18449,7421,14613,4408,4224,4420,8293,5261,8725,5947,7254,4143,4954,4319,4745,10556,24794,8362,24597,10625,5675,17305,5392,5016,7262,5221,12547,4513,5724,10173,4373,3982,4785,5739,4179,4344,4552,4396,4583,6931,5948,4865,5130,4844,4120,6345,5078,5913,24737,17842,24729,23587,10284,6570,5404,6877,7256,4349,4874,8076,4775,9692,4973,4434,5691,5883,5074,12718,10855,5762,5469,4093,6281,5748,6859,4247,11291,6536,4759,6643,4913,5085,4165,10800,4484,4541,10721,4308,6811,6094,12357,7172,12883,8346,5352,7452,4437,4045,4438,6851,3926,8437,4609,18145,5207,11841,5603,4381,6332,6775,4105,5232,4322,6667,6471,10094,10287,7626,15653,4549,4204,10478,5415,5584,7111,5432,6073,17347,4515,8672,17260,7376,14486,22976,4084,5845,4782,11398,5172,5276,5199,18749,8241,3990,7281,4572,6179,5746,5080,4778,5055,3775,3817,4622,5607,9214,5636,4861,4110,7975,4366,5621,18646,5642,5888,4370,8542,6445,14343,12098,7992,9380,7049,5047,10388,5432,5928,9911,15458,20322,24541]",2016623186,0,317720,0,m2
p1_m16_n32768_s202613001_funcv1,202613001,True,True,,36245.95091025194,36530635,45801.0,1643425,7861.0,52891525629,0,64.0,543,6.306964246676131,6.163692478355831,"[111232,8642,9220,5335,7723,14029,3127,6055,9321,8599,10401,3695,5326,8564,3422,11284,8075,5922,3818,5747,4499,4786,1670,12045,4216,12366,4052,6056,1840,1932,1841,4184,4687,9926,9322,6177,5882,10620,2344,2518,4483,9987,5707,358,73984,634,1846,7368,10791,3986,4240,5143,10793,13365,2534,11792,5482,7800,6841,7861,84967,3478,55,5016,7012,9863,7216,3303,6489,4632,9615,5409,7993,5744,5103,5465,10350,3388,5930,7814,13694,5841,11500,5779,7309,5227,3182,6432,3820,6866,9434,69992,10755,33211,5606,4563,5557,11734,6779,2800,4469,5325,6000,4524,6644,4513,8434,4720,3968,4656,4686,6706,4127,807,8706,3940,11082,2079,6817,10273,7097,2608,9853,48,5805,65474,7760,11318,2915,4520,4635,9226,19501,9199,12454,3886,8146,4611,15065,3433,10475,5291,8001,2272,3364,7805,8531,3594,3907,7168,5330,2093,9939,1075,4740,2917,6116,6752,10889,5532,3394,4313,10253,1999,5158,7093,13814,19081,7105,2033,14903,6398,9990,5135,1022,6715,3780,3113,1340,16875,5339,3258,2321,8517,13080,13605,2482,10310,11528,8842,6922,6995,3808,6155,8990,4698,11969,11854,11912,9486,6940,7513,9172,12077,4614,2139,8514,8214,8622,3118,7834,5312,1487,8544,9135,11092,16605,2924,5537,9912,3169,3796,7933,2775,9874,10496,7129,3755,10772,1941,3164,3038,5279,7371,12719,3442,2785,4043,3026,5559,2721,10491,8139,2562,10610,9771,2908,2186,5784,2363,12009,1526,8583,10036,9914,10354]",1643380,0,45,0,m16
p1_m2_n32768_s202613001_funcv1,202613001,True,False,,8739.632709149038,26699451,,995183285,437.0,4323058374,0,1.0,28,1.4480571172381458,0.975131086160694,"[24605,24492,20058,11962,20286,14816,6680,5179,16945,6187,8857,5044,5710,9228,5407,5181,4658,5056,4226,6662,4442,4441,4906,4280,3882,5095,4248,4230,6838,3754,4241,7316,5338,8292,10154,4384,9233,9194,6192,12919,9152,5621,4735,3580,25012,3414,6660,5311,9604,5817,5307,6556,11212,5065,8568,6917,4785,5607,10418,23926,24725,24860,24663,13761,13633,10605,6627,5643,5756,5235,4481,7855,7830,4242,4964,4236,9308,3917,4131,14011,4711,6066,3950,3749,4840,5662,11873,5977,6472,5253,6396,24669,12287,24709,8618,4237,4061,4028,5836,4692,16085,4317,8064,4919,9276,6671,6292,4737,4026,6383,5589,4424,4930,12229,6716,4446,4178,5600,15409,4844,4929,4811,9293,24342,14014,24475,13780,12752,11393,4321,12087,9415,17069,13331,4962,5489,12320,7367,8794,9426,4963,3765,8122,4157,4470,13744,8841,4375,7901,5071,11677,4818,5181,13284,15063,4095,4157,5683,6626,5513,4339,4718,4724,4366,3759,4647,5249,6252,12476,4763,4498,9685,5170,3956,7651,9872,12408,10716,4734,4377,4581,7657,4216,7608,4240,13225,4812,13000,6305,5138,7865,4448,12643,10920,5495,5087,6966,4625,4166,4504,4780,4221,8416,7599,5680,6265,11031,4962,7255,4894,4556,6483,5698,7975,4452,6114,8147,5345,6840,5211,5003,7997,13072,7895,8912,17979,14419,7665,4882,4882,12741,4695,17464,6399,10817,6872,5052,13914,16909,4891,4547,7377,5298,4366,5049,15948,9656,6680,5498,8965,5856,6596,8269,9063,19428,24846]",995002102,0,181183,0,m2
p1_m16_n32768_s202613002_funcv1,202613002,True,False,,6412.373301091953,23842327,,228448,3615.0,5027547816,0,,0,0.3869370703567707,0.1366005683168616,"[7616,10126,7728,6962,6770,6986,5606,6070,5678,5698,5812,5117,5775,6313,5719,5766,6865,6267,6414,6010,5961,6337,5877,6439,6544,6422,6536,6440,7445,6882,7308,6873,7715,7183,7791,7685,7533,8268,8560,8731,9424,10531,11186,7403,67888,7821,16588,13937,14237,12726,13524,13967,14615,15308,16860,18824,24216,28659,39858,61151,129512,67210,48176,32722,20769,16376,12399,10999,9502,9267,8582,7499,7145,7103,7177,6675,6535,6481,6195,6013,6197,5666,6034,6041,5703,5741,5095,5710,5283,5534,6746,14655,7299,4430,5619,5466,4841,4975,5159,5188,5242,5163,5325,4783,5475,4623,5073,4989,5176,5407,5607,5196,5168,4731,4981,5291,5243,5213,6015,5494,6625,6447,7530,8758,6968,6934,6539,6211,5480,5672,5623,5545,5381,5351,5899,5244,5224,5660,5679,5332,5310,5295,5141,5226,5180,5611,5490,5527,5573,5524,5843,5355,5262,5620,5679,4738,5041,4883,5124,5297,5125,4993,5275,5724,5609,4988,5052,5295,5302,5451,5097,5353,5399,5670,5511,5300,5100,5334,5638,4794,4559,4852,5276,5041,5223,5342,5353,5505,5169,5433,5352,5515,5204,6092,5203,5330,5534,5444,5402,5148,5145,5407,5330,5173,5029,4970,5543,5301,5409,5112,5454,5560,5497,5584,5926,6081,5076,5377,4818,5246,5324,4816,5367,5191,5433,5415,5673,5999,5622,5780,5048,5308,5464,5233,5946,5931,5631,5706,5712,5271,4780,4986,5125,5251,5546,5461,5704,5824,5755,5899,6244,6151,6347,6982,7421,9495]",228430,0,18,0,m16
p1_m2_n32768_s202613002_funcv1,202613002,True,False,,4962.257196435006,24986254,,175302454,489.0,2174944101,0,,0,0.6153798749886326,0.4207909498125586,"[24687,24390,20097,13623,11096,9640,8792,8055,8304,7267,7369,7274,8537,7527,8143,7467,7697,7036,7309,7107,7144,6643,6820,6541,6617,6739,6977,6412,6125,7270,6495,7101,6713,7069,7322,7075,7098,7326,7326,8126,7761,6989,7099,6808,24841,6165,9309,6885,6858,7435,7802,7012,8140,8052,8437,9022,11762,12373,16159,23628,24216,24699,24808,18295,11267,9006,8474,7554,6967,9104,10275,7366,6072,6575,6679,6317,7415,6779,6202,6079,7094,6854,9553,7708,6206,10031,6576,6939,8295,6920,7323,24294,7898,7467,5597,5424,5292,5727,6940,5921,6139,7959,8023,5759,5901,5350,5758,6145,6031,5861,6143,6214,6016,6672,14081,7463,8696,7278,7166,9133,8375,9737,11502,18602,13803,17817,10793,8275,7436,7534,7126,6314,7361,6416,6338,6202,6074,6762,7825,6406,6238,7521,5752,6470,6507,6294,10716,6160,7491,6214,6030,5963,5760,9127,6115,5808,5412,6073,5558,6218,5931,6364,5742,6257,6791,5967,5814,5903,6941,9088,6501,6145,5628,5844,5739,6321,5893,6493,7654,8335,6611,6401,5873,5430,5746,5790,6606,5986,6893,6341,5808,5426,6531,6067,6206,6144,5856,5685,5904,6074,6799,7739,6548,8018,6855,6517,6983,6382,6579,6092,5937,6219,5940,6245,7176,6907,6460,6784,6552,6330,5869,7853,7668,6809,6637,6962,10303,6767,7387,6601,8098,7067,6791,6542,8258,6901,7060,7128,8657,7593,7341,7693,7513,8637,9771,8343,11432,7848,9298,9485,9731,16786,11997,14923,22068,24530]",175237530,0,64924,0,m2
p1_m16_n32768_s202613003_funcv1,202613003,True,False,,6409.192181028076,23846968,,117543,4397.0,5115896368,0,,0,0.3531699006198323,0.1345600817932375,"[6998,9663,7037,6212,6414,6077,5840,5777,5686,5231,5762,5847,5912,5622,6694,5740,6005,5422,5700,5985,5905,6010,5783,5858,6105,6049,6464,6318,6547,7070,7044,7299,6657,6571,6772,7109,7884,7527,8032,8401,8823,9615,10732,7154,63311,7759,16395,14563,13356,12846,13123,13387,14208,14496,16586,19758,23703,28362,38634,58467,127821,65031,44394,33188,20386,14810,13085,10540,9855,9123,8154,8484,7785,6956,7750,6962,7603,6659,6439,6151,6691,5498,6019,5900,5985,5472,5982,5686,6357,6341,7982,16397,7986,4459,4993,5357,5199,5567,5086,4808,5175,5868,5075,5204,5033,5654,5161,5006,5189,5338,5349,5684,5544,5762,5733,5534,5976,5688,5685,6029,6314,7053,7666,11424,8835,7793,7439,6007,6316,6013,5971,5628,5136,5514,5107,5345,5135,5066,5299,5287,4996,5008,4919,5384,5532,5466,5420,5363,6144,5367,5243,5583,5337,5179,5593,5181,4813,5263,5251,5648,5382,5118,5520,5838,5350,5337,5098,4970,5248,5637,5296,5357,5633,5234,5271,5535,5259,4894,5266,5725,5103,5557,5218,5183,5372,5623,5655,5301,5625,5473,6075,5921,5872,5896,5958,5492,5773,5812,5718,6055,5467,5399,5053,5067,4866,5297,5281,5513,5429,5469,5403,5177,5515,5274,5213,5731,5591,5467,5606,5914,5684,5760,5264,5874,5650,5465,5328,5581,5294,5350,5221,5593,5642,5727,5809,5678,5240,5542,5525,5453,5594,5718,5860,6149,5811,5795,5881,5523,5819,6325,5944,6372,6995,6875,7574,8882]",117529,0,14,0,m16
p1_m2_n32768_s202613003_funcv1,202613003,True,False,,5039.7216153800255,25077062,,177552849,493.0,2290126693,0,,0,0.7138964689897183,0.2371940048303757,"[24268,24650,17765,13263,10982,12279,10424,9334,8379,8652,8691,8021,7550,7887,6998,7439,7547,7131,6894,8382,7392,6693,6960,7616,7204,8045,6761,6739,6172,6491,7003,6464,6654,6919,6952,7671,7094,6973,7330,6813,6485,7606,9949,4133,24337,4358,9455,8300,8282,8397,8080,7881,7835,8177,8430,9290,10955,12459,13683,18429,24363,24373,24319,18451,11370,9084,8391,9607,7826,7314,7472,7320,7074,6840,9942,7248,6550,6274,7472,6675,6235,8237,6432,6294,6535,5329,6622,6152,5750,6139,7629,23779,6617,3299,5326,5529,7518,5546,5911,6534,7488,6426,6620,6350,6278,5826,6568,6210,6113,6688,6455,6584,7768,6843,6618,6552,7178,6738,7646,8347,8404,10890,12720,19939,14562,21433,12048,9244,8349,7994,7166,7244,6645,7682,6205,6340,6696,6402,6252,6031,6471,6244,6358,6701,8302,8445,7155,5673,5879,5937,5859,5746,5782,8057,6111,6134,5983,6126,6473,6035,6408,9765,6313,6335,6689,5875,5913,5944,5863,5621,7493,6131,6689,6365,5927,5968,7163,6660,6785,6679,6336,10486,7514,8149,6338,6319,8478,6271,6488,6368,5874,6537,7335,6434,7225,6541,7022,6925,6870,6044,6712,5951,5798,6521,6522,6775,6077,6595,6505,6443,5938,7024,7072,7267,8617,7117,8258,7595,7757,7952,6696,6935,7440,6706,6873,6664,7454,6616,7115,6075,9285,7368,6668,8015,6884,7048,6599,6799,7139,7854,6896,7019,7513,8561,7370,8797,8959,9783,8307,10040,11197,11310,12065,14243,20115,24714]",177490569,0,62280,0,m2
p1_m16_n32768_s202613004_funcv1,202613004,True,False,,6378.478659465094,23825122,,89149,6002.0,5036929096,0,,0,0.3733190624320404,0.1308003068189682,"[7103,9341,6968,6166,6561,6036,5943,6418,6245,6211,5682,5848,5677,5958,5848,5767,5953,5452,5617,5448,5484,5586,5322,5288,5722,6635,6417,5889,5965,7086,7183,6713,7180,7924,7730,7663,7554,7808,8088,8282,9098,9988,11203,7175,62306,7682,16127,14089,12831,12244,11573,12623,13824,14320,16043,17667,21821,28539,38978,60872,129601,65803,44986,32751,20887,16496,12523,11743,10570,8799,8615,7682,7756,7282,6674,7293,6414,6684,6630,6325,6417,6239,5725,5743,5695,5866,5684,5778,5877,5906,6869,15283,7545,4557,5517,4761,4885,4980,5511,4846,4863,5418,5538,5091,5439,4929,5317,5731,5823,6342,6156,6168,5849,6062,5889,6162,6004,6286,6344,6637,7057,7507,8364,12362,8944,7853,6656,6888,5979,5301,5804,5663,5333,5787,5467,5531,5511,5596,6179,5269,5189,5220,5395,5146,5932,5770,5796,5756,6148,5778,5407,5554,4866,5484,5613,5513,5682,5525,5251,5369,5632,5344,5101,5485,5600,5681,5828,5501,5326,5709,5065,5327,5343,4944,5402,5343,5081,4852,5441,5173,5345,5429,4918,5058,5224,5225,5225,5336,5504,5795,4906,5108,5503,5010,5106,5328,5022,5141,4884,4830,5173,5504,4899,4990,5528,4854,5065,5466,5720,5356,5880,5121,5670,5676,5038,5112,5437,5644,5925,5658,5833,5475,5583,5055,5300,5209,5548,5594,4990,5597,5418,5448,5433,5224,5569,5496,5666,5632,5334,5495,5614,5353,5781,6070,6078,6343,6288,5871,5569,5694,6442,6000,6778,7586,7391,9149]",89138,0,11,0,m16
p1_m2_n32768_s202613004_funcv1,202613004,True,False,,4815.763780129957,24982328,,159139062,428.0,2082579079,0,,0,0.6759203251324415,0.333916802798293,"[22554,19093,12609,11046,8798,8355,8414,7981,7649,7561,7519,6796,7091,7956,7204,7400,7580,7034,6895,7336,6987,7425,6868,7307,6510,6915,7037,7986,7079,7188,7484,7151,7160,7165,7034,7383,7272,7190,7013,7696,7308,8075,7263,5699,23826,6240,9041,8524,8149,8909,8504,8253,8202,9926,9610,10349,12085,13619,16649,22052,24280,24831,24565,20046,13641,9776,9004,9265,7709,7622,7574,7985,7491,6986,6805,6921,7041,7445,6876,7081,7065,7122,6624,6297,6631,7192,6673,6580,7225,8526,10392,24235,9396,10190,6344,6157,5860,5881,6213,6716,7783,6317,6506,6422,6727,6426,6335,6401,7201,6803,7006,7001,6982,7437,7047,7297,7696,7855,7365,9090,9971,10718,12499,17919,15619,15521,13466,10073,8809,7553,7233,7939,8657,7215,7251,7826,7495,6636,6982,6708,7354,7535,7720,7961,6469,6170,7271,6875,6442,6808,7278,7377,7601,7680,7004,7306,6646,6362,6450,7098,6342,7180,6729,6911,6953,7218,6720,6755,6335,6634,6467,6393,6221,6331,6877,6489,6754,7216,6349,6420,6610,6193,7272,6766,6600,7382,7087,7003,7442,6648,6915,7428,7416,6816,6562,7020,6466,6989,7123,6303,6179,6338,6429,6478,6865,6620,6559,7152,7305,7268,7086,7275,6682,7014,6981,6550,6677,6438,6519,6121,6968,6745,6848,7256,6603,6114,7029,6746,6279,6794,6635,7407,7516,7203,7511,6819,6414,6491,6610,6646,7093,7344,7153,7762,6970,7672,7321,7643,7887,7732,8492,8886,8870,11303,13161,22897]",159076568,0,62494,0,m2
