run,AC-P001_m16_s202612001,AC-P001_m16_s202612003,AC-P001_m16_s202612008,AC-P001_m16_s202612009,AC-P002_m16_s202613001,AC-P002_m16_s202613008,AC-P002_m16_s202613010,AC-P002_m16_s202613013,AC-P002_m16_s202613018,AC-P002_m2_s202613013,AC-P002_m2_s202613015
AC-P001_m16_s202612001,0.0,0.5317009066972292,0.6554674148202502,0.5849454053815193,0.665194856209598,0.691024413893479,0.7248493675869248,0.6094990006037416,0.7412545665721582,0.647300371401369,0.6970232462185587
AC-P001_m16_s202612003,0.5317009066972292,0.0,0.6698073241680438,0.605928587646622,0.7144681140106017,0.6626775633614557,0.6302437464236769,0.6604080785532267,0.7390403564147161,0.6103570079615062,0.6185240513803872
AC-P001_m16_s202612008,0.6554674148202502,0.6698073241680438,0.0,0.7041584679633612,0.6913851574294827,0.7478072270508288,0.7460450201040894,0.6558194339975683,0.7565526604786705,0.6141868907402019,0.7822320079615062
AC-P001_m16_s202612009,0.5849454053815193,0.605928587646622,0.7041584679633612,0.0,0.6463936468445053,0.7499288878525289,0.7811210882338533,0.6902767626697186,0.7360446575909976,0.7445386071033662,0.7445386071033662
AC-P002_m16_s202613001,0.665194856209598,0.7144681140106017,0.6913851574294827,0.6463936468445053,0.0,0.7391868907402019,0.7315271251828104,0.7410527575958855,0.6870479967892975,0.7502018089762728,0.7619969261975769
AC-P002_m16_s202613008,0.691024413893479,0.6626775633614557,0.7478072270508288,0.7499288878525289,0.7391868907402019,0.0,0.6119726805827599,0.7535029766852082,0.5848794694549433,0.7186249028827851,0.7565526604786706
AC-P002_m16_s202613010,0.7248493675869248,0.6302437464236769,0.7460450201040894,0.7811210882338533,0.7315271251828104,0.6119726805827599,0.0,0.6776474614934371,0.606980418074556,0.7780752190893226,0.697102344272133
AC-P002_m16_s202613013,0.6094990006037416,0.6604080785532267,0.6558194339975683,0.6902767626697186,0.7410527575958855,0.7535029766852082,0.6776474614934371,0.0,0.790977441389348,0.6616955553999495,0.7114184302171391
AC-P002_m16_s202613018,0.7412545665721582,0.7390403564147161,0.7565526604786705,0.7360446575909976,0.6870479967892975,0.5848794694549433,0.606980418074556,0.790977441389348,0.0,0.7725045665721583,0.7217996837934625
AC-P002_m2_s202613013,0.647300371401369,0.6103570079615062,0.6141868907402019,0.7445386071033662,0.7502018089762728,0.7186249028827851,0.7780752190893226,0.6616955553999495,0.7725045665721583,0.0,0.6100301018680184
AC-P002_m2_s202613015,0.6970232462185587,0.6185240513803872,0.7822320079615062,0.7445386071033662,0.7619969261975769,0.7565526604786706,0.697102344272133,0.7114184302171391,0.7217996837934625,0.6100301018680184,0.0
