run,AC-P001_m16_s202612001,AC-P001_m16_s202612003,AC-P001_m16_s202612008,AC-P001_m16_s202612009,AC-P002_m16_s202613001,AC-P002_m16_s202613008,AC-P002_m16_s202613010,AC-P002_m16_s202613013,AC-P002_m16_s202613018,AC-P002_m2_s202613013,AC-P002_m2_s202613015
AC-P001_m16_s202612001,0.0,0.984375,0.984375,0.96875,0.984375,1.0,1.0,0.953125,0.96875,1.0,0.984375
AC-P001_m16_s202612003,0.984375,0.0,0.953125,0.9375,0.984375,0.984375,0.96875,0.984375,0.96875,0.984375,0.96875
AC-P001_m16_s202612008,0.984375,0.953125,0.0,0.984375,0.984375,1.0,0.984375,1.0,0.984375,1.0,1.0
AC-P001_m16_s202612009,0.96875,0.9375,0.984375,0.0,0.96875,0.953125,0.984375,0.96875,0.9375,0.984375,1.0
AC-P002_m16_s202613001,0.984375,0.984375,0.984375,0.96875,0.0,0.984375,1.0,1.0,0.984375,0.96875,1.0
AC-P002_m16_s202613008,1.0,0.984375,1.0,0.953125,0.984375,0.0,1.0,0.984375,0.96875,1.0,1.0
AC-P002_m16_s202613010,1.0,0.96875,0.984375,0.984375,1.0,1.0,0.0,0.984375,1.0,0.984375,1.0
AC-P002_m16_s202613013,0.953125,0.984375,1.0,0.96875,1.0,0.984375,0.984375,0.0,0.984375,0.984375,0.96875
AC-P002_m16_s202613018,0.96875,0.96875,0.984375,0.9375,0.984375,0.96875,1.0,0.984375,0.0,1.0,1.0
AC-P002_m2_s202613013,1.0,0.984375,1.0,0.984375,0.96875,1.0,0.984375,0.984375,1.0,0.0,0.9375
AC-P002_m2_s202613015,0.984375,0.96875,1.0,1.0,1.0,1.0,1.0,0.96875,1.0,0.9375,0.0
