seed,integrity,origin,usable,error,origin_epoch,prior_epoch,witness_rank,witness_abundance,witness_hex,signature,witness_block,selected_block,block_distance,pool_ranks,pool_size,prior_score64_count,symbol_0_share,symbol_44_share,symbol_60_share,symbol_91_share,symbol_93_share,symbol_125_share,structural_symbol_share
202614000,True,True,True,,68101,68001,0,81,403c8229885bd12c398861d05b782e7b613e9c5d389d2b76d02c2b9d385d9c3e617b2e585b2e619d392cd1798845fe5bca623ad2a6ffcb3b8ac68b8c8d8c3c8d,"<[,[.{>]+,+]>{.[.,[<",0,1,1,[97],1,963,0,0.046875,0.03125,0.0625,0.03125,0,0.171875
202614001,True,False,False,,,,,,,,,,,,,,,,,,,,
202614002,True,True,True,,59101,59001,0,70,2a5b5b13684bbe39953d3dc73d3b3b01552c5b2878303c8f2cf2232c390b7d3b395d5d39787dfc3b2c2cf22c8f3c30785b5b2c5bde5b3d3939ee399dd3ededed,"[[,[<,,}]]},,,<[[,[[",0,1,1,"[98, 100, 114, 127]",4,391,0,0.109375,0.03125,0.109375,0.03125,0.03125,0.3125
202614003,True,False,False,,,,,,,,,,,,,,,,,,,,
202614004,True,False,False,,,,,,,,,,,,,,,,,,,,
202614005,True,True,False,,1501,1401,0,102,d8efb5a21fad985bcb927b2eb72c4e3e8fc65d9d61b73161a99d2d5d4a4c2d9da961d7b7279d5dc6df3e4e2c5e2e7b92cb5bfc791fa2d6efd81a218610cbdffb,"[{.,>]-]-]>,.{[",0,,,[],0,1024,0,0.03125,0,0.03125,0.046875,0,0.109375
202614006,True,True,True,,2501,2401,0,50,3b3b7fd4153a3a3c5b7a2c40743c7d15478d33a9e87f2254dd4712155d7d5d1512472c988933e8a9339847157d3c445b5b1e77a23e8c563c624d22cc407b5478,"<[,<}]}],}<[[><{",0,0,0,"[40, 41, 42, 43, 46, 49, 58, 59]",8,104,0,0.03125,0.0625,0.046875,0.03125,0.046875,0.21875
202614007,True,False,False,,,,,,,,,,,,,,,,,,,,
202614008,True,False,False,,,,,,,,,,,,,,,,,,,,
202614009,True,False,False,,,,,,,,,,,,,,,,,,,,
202614010,True,True,True,,19501,19401,0,55,3efa7e3d3a10dc68f8a40e8b523c451a7846f9a75b3c3a2c7d4790773a43827a6c3a3a3a3a6cd9826e015d90477d2c3a3c5b5bf946f81a1f1045d50ea445d8b1,"><[<,}]},<[[",0,3,3,[243],1,482,0,0.03125,0.046875,0.046875,0.015625,0.03125,0.171875
202614011,True,True,True,,83201,83101,0,61,5b407bec4c916e18fe552e355e2e6fbac03bf7fb181960e73ecb28385d4d4d4b3828383ee71a191865f73bc06b6fcd99352e55fe3b74914c3f7b405b3e3c3aaa,[{..>]>.{[><,0,2,2,[191],1,349,0,0,0.015625,0.03125,0.015625,0,0.0625
202614012,True,True,True,,66801,66701,0,103,06c2dffd8eb8cfb35b3ce6cf2c7d08db49d8045d493b3a3b495d0404493b6b7d2ccfcfcf083c5b54933e3a3c3afb3a39270a3a93670763a2679327805b805b80,"[<,}]]},<[><[[",0,11,11,[760],1,1021,0,0.03125,0.046875,0.0625,0.03125,0.03125,0.203125
202614013,True,False,False,,,,,,,,,,,,,,,,,,,,
202614014,True,True,True,,46001,45901,0,78,3a6b59e9ce4242465b74f99ae746f33a3c2c597d59dc3ab76b5d29b7b76bab6bb63adc597dd52c3c3ab69781153034465b3a5b64330e76d3cc4ee9e927c7ec42,"[<,}]},<[[",0,11,11,[708],1,1023,0,0.03125,0.03125,0.046875,0.015625,0.03125,0.15625
202614015,True,True,True,,39601,39501,0,102,17172e215f017b7efbb6ff9da8310231884f555b3c7d2c5d738d7d4dcbe0415b7b7dfd5634b2aeae733412fdcce9cc61e0ae37e15dd45d2c7d3c5b7bdf988888,".{[<},]}[{}]],}<[{",0,1,1,"[90, 97, 112, 119]",4,788,0,0.03125,0.03125,0.046875,0.046875,0.0625,0.21875
202614016,True,False,False,,,,,,,,,,,,,,,,,,,,
202614017,True,False,False,,,,,,,,,,,,,,,,,,,,
202614018,True,False,False,,,,,,,,,,,,,,,,,,,,
202614019,True,True,True,,22301,22201,0,82,3d3dfddc44fe96fb724dd8d84111cd927392b0d1b0739a245b3c2cc77d5d2cad450c057148fffbe92c5d7d2c3cde5b3f9a73b0d1b14166922eed01ed5c96614a,"[<,}],,]},<[.",0,12,12,"[788, 789]",2,1022,0,0.0625,0.03125,0.03125,0.03125,0.03125,0.1875
