seed,integrity,origin,usable,error,origin_epoch,prior_epoch,witness_rank,witness_abundance,witness_hex,pool_size,selected_block,prior_score64_count
202615000,True,False,False,,,,,,,,,
202615001,True,True,True,,47601,47501,0,82,245b5b40403f367b37af2eff4c610e3e663b20eff03cf03f833e203b3b4c665d5d664c42cbc83eef3ff03cf0ef203b663e0e614cff2e8a4d7b36fdeb905b2c2c,1,4,545
202615002,True,False,False,,,,,,,,,
202615003,True,False,False,,,,,,,,,
202615004,True,True,True,,31201,31101,0,66,d499a1379c5b3cb5b526dc03ba2c7d5d037003366178362c3c873c360361a95d6103362f368a88367817363ca6f05d7d2cbaa3faa1a2263c5b9cc03d7961603f,1,1,173
202615005,True,False,False,,,,,,,,,
202615006,True,True,True,,4001,3901,0,66,0796745baeac2f3b541c3c2c7dc9dededec95d83272c3c7d2c0e333b18c2aaa29949e0c2ac5bfd5f2c83063ca6ebffa2c49b9b047ef7f1b02626eeee9191217f,4,2,423
202615007,True,True,True,,82401,82301,0,129,584e4e4e4e4e1326aaaac7c5359898ff32321368103d3ded24e0245821d32ccad35b583d3c2cd37d5d5d7dd32c3c3d585bd35bdfb02e2e61412761618b8b4d0b,1,4,1019
202615008,True,True,True,,30701,30601,0,59,8b909f5f82245be43c829e82e05871d62c3d7d5dac878eacd65d387ddff68ea02c8e4fb07dc15dd6c38e87ac5d7d3a2cd67158e0829e3d3ce48b5b355feb39f8,31,6,418
202615009,True,False,False,,,,,,,,,
202615010,True,False,False,,,,,,,,,
202615011,True,True,True,,2001,1901,0,89,3d21e66dff63637b515acf7dd22cb6df0c777305f25bcf5b40773c931e93d02cd57d5ad65d05ff055dd61f7dd52c48931e933c771b5b7c5bf20570770cdfb646,1,1,977
202615012,True,False,False,,,,,,,,,
202615013,True,True,False,,6101,6001,0,87,5bf3ea5bcfb07cf35bb2cfc97b2e3e3ae35ddc3599e35def2e7bdc3a32712796313e732c3296e35b5b91cf3bfdbcc771712c313e31962cfdfd3c3c493b3b1acf,0,,1024
202615014,True,True,True,,13001,12901,0,50,3c0cc868034c92fed35b5a2c7d80635a3c2bff722b2b2c5c5d345d192c7f3f5d5d345d412c2b2b72ff2b3c0e5e507d2c5a5b3b037c2b02c82e038a057b03e7e4,25,0,69
202615015,True,True,True,,37101,37001,0,60,2e7b40e15b26a95b312e34256f05ab2595bcb02c7b866dc03e72a75dd0723ec06d17176d993e72a75dbccf3ec06d867b16b0bcaf2580053d25342eca5b9a2c3c,35,0,139
202615016,True,False,False,,,,,,,,,
202615017,True,True,True,,45501,45401,0,57,365b2f5b3cd05a3b2cda363b3bebe62ffe2c43a44e5c5bbca73c255ab44f8d7de52c3f80401a405da61a37803f2c997d8d874f5a2f3ca7bc5b704e4e432c3c4f,1,0,914
202615018,True,True,True,,84501,84401,0,22,5b0f0c3caa532cef8757472a77231d7d2421cce1a1e7a1904c81ccec2113345d5dae47564ccc06ca90a10a169bcc9d9d7dc423772a4757ef712ccde03c430f5b,11,2,188
202615019,True,True,False,,14001,13901,0,105,0a0f303d5b565ba46401ad9e725b84fde301593c2a2c0f7df227355d32f243a1ec3fa8e7f2f23f5deeec3f433fece2603ff27d3b2c2a3c590135fd845b722c43,0,,1024
