pair,witness_mean_fold,shuffle_mean_fold,witness_max,shuffle_max,witness_final,shuffle_final,witness_established,shuffle_established,favored,opposite,fold_ratio
0,0.0,0.0,342,32,0,0,False,False,False,False,1.0
1,0.0,0.0,840,32,0,0,False,False,False,False,1.0
2,0.0,0.0,440,32,0,0,False,False,False,False,1.0
3,0.0,0.0,137,32,0,0,False,False,False,False,1.0
4,0.0,0.0,696,32,0,0,False,False,False,False,1.0
5,0.0,0.0,479,32,0,0,False,False,False,False,1.0
6,0.0,0.0,44,32,0,0,False,False,False,False,1.0
7,0.0,0.0,805,32,0,0,False,False,False,False,1.0
8,0.0,0.0,192,32,0,0,False,False,False,False,1.0
9,0.0,0.0,899,32,0,0,False,False,False,False,1.0
