pair,arm,source_seed,recipient_seed,initial_count,max_count,final_count,mean_fold_abundance,established,first_above_initial_epoch,max_conservation_residual,run_dir
0,shuffle,202615001,202616000,32,32,0,0.0,False,,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616000_cont_track_e9828e2fd1fb8e7a0052a9d15664a0eb5a49c7e6874272f0ce9d717d616f4cc0
0,witness,202615001,202616000,32,342,0,0.0,False,101.0,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616000_cont_track_f53abbd7d59324f149e94e6b2f20657bb6d8f633c2088616f263dbf79e6ee4bd
1,shuffle,202615004,202616001,32,32,0,0.0,False,,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616001_cont_track_512be8a07253964297c9ce864d0ff766430e59ad63d9fd42f445021f1ee0a864
1,witness,202615004,202616001,32,840,0,0.0,False,101.0,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616001_cont_track_20b5644b6def3e4b6c2c3624800737e8885defe0d333c5d213196b1135d87819
2,shuffle,202615006,202616002,32,32,0,0.0,False,,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616002_cont_track_87b21aa89526c538fff32cbadcdff967fa7ce96f6fe83f1cea2c62e46638fb87
2,witness,202615006,202616002,32,440,0,0.0,False,101.0,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616002_cont_track_9e9e24b284d0a95ab648f3691376c156b62f332fb7e99d9776130acfa72055a2
3,shuffle,202615007,202616003,32,32,0,0.0,False,,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616003_cont_track_fb7bedab1eca04cc08bef7d3a168c24481ccb7b3e442855c92bdf8f4c9afd8b5
3,witness,202615007,202616003,32,137,0,0.0,False,101.0,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616003_cont_track_910bfd6618e48d6f80c806a1c49f057fbd20f4ac43d9ab162108532b5758f410
4,shuffle,202615008,202616004,32,32,0,0.0,False,,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616004_cont_track_909ac3b07deaa1303bad6b178849bac06da25b8864403a050ef1c3aa63edc0e8
4,witness,202615008,202616004,32,696,0,0.0,False,101.0,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616004_cont_track_ef329c06a093454b3dda5d3795a4846fe5c6e9aec0beccf1d5768cf9e126e3b1
5,shuffle,202615011,202616005,32,32,0,0.0,False,,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616005_cont_track_0e2a76517f87feed64c71c6dfc7b282ce6388cd769ca03eb29be244622663afb
5,witness,202615011,202616005,32,479,0,0.0,False,101.0,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616005_cont_track_af397adf3e86c0c66319e1fec022f5c86ded2281d2341bfcdb6e689931dfdfb9
6,shuffle,202615014,202616006,32,32,0,0.0,False,,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616006_cont_track_9eedbe21702917cf2a8b3b6238c13dbcdb2299a934428c52681996b804cf05d3
6,witness,202615014,202616006,32,44,0,0.0,False,101.0,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616006_cont_track_0a6a831c3243076caab4a6ba814911e046c56791f1353a0f33e5f3c62f7a0e20
7,shuffle,202615015,202616007,32,32,0,0.0,False,,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616007_cont_track_901b42c730238228ceb74e41e2a2138e257d03dae36cc28b648a1350cb391500
7,witness,202615015,202616007,32,805,0,0.0,False,101.0,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616007_cont_track_1d9d91bf0f50fd708e21f7b79cee88ac21d9639e55853f670c87f0e0ac7d80f7
8,shuffle,202615017,202616008,32,32,0,0.0,False,,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616008_cont_track_ee3f68f733291bf875784d35b16257b66f67952fb3be966aba4b296eea3c8fd7
8,witness,202615017,202616008,32,192,0,0.0,False,101.0,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616008_cont_track_dca1a6f601ca931a6156596252bfb4471ca98b9b3208ee13e87491ade75cc2e1
9,shuffle,202615018,202616009,32,32,0,0.0,False,,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616009_cont_track_52e4f5f4326b04165707fd06ce2c57b05d303ef4ecaceeafa401e435e9cff8c7
9,witness,202615018,202616009,32,899,0,0.0,False,101.0,0,sweeps/ac_p006_composition_preserving_transplant/runs/p1_m16_n32768_s202616009_cont_track_398be7e9ece485e344809d6e0207eb919b081057c816c9cb68ed04e07f254c34
