arm,seed,entropy_transition,first_transition_epoch,final_entropy,held_to_end,max_diversity_collapse,structural_takeover,first_blocked_epoch
m16,0,True,81401.0,4.11814144144151,True,0.60601806640625,True,5829
m16,1,False,,0.1261734382197765,False,0.0003662109375,False,5405
m16,2,False,,0.1269765814735608,False,0.00018310546875,False,6030
m16,3,True,87601.0,6.328041395618647,True,0.7794189453125,True,13849
m16,4,False,,0.1439036584624169,False,0.000152587890625,False,5362
control,0,True,17201.0,6.465250029157745,True,0.816741943359375,True,-1
control,1,True,38201.0,0.137141182311316,False,0.2203369140625,True,-1
control,2,False,,0.140257612939104,False,0.00018310546875,False,-1
control,3,False,,0.1350035473750468,False,0.000579833984375,False,-1
control,4,True,42001.0,6.312164294402515,True,0.62451171875,True,-1
