run_dir,population_size,epochs,pool_multiplier,seed,wall_time_s,overall_blocked_fraction,first_100_blocked_fraction,last_100_blocked_fraction,peak_epoch_blocked_fraction,zero_block_epoch_fraction,blocked_fraction_cv,blocked_fraction_lag1,spectral_peak_power_fraction,spectral_peak_period_epochs,top_blocked_symbol,top_blocked_symbol_ascii,top_blocked_symbol_fraction,blocked_symbol_effective_count,instruction_blocked_fraction,initial_pool_entropy,final_pool_entropy,pool_entropy_change,final_pool_jsd,maximum_zero_pool_symbols,maximum_high_order_entropy,final_high_order_entropy,entropy_transition,maximum_dominant_tape_fraction,final_distinct_tapes,active_instruction_fraction_change,cross_tape_copy_success,cross_a_to_b_fraction,recycled_withdrawal_lower_bound,max_conservation_residual
experiments/phase1_runs/mechanism/p1_m0p1_n256_s0,256,20000,0.1,0,3.9707825840450823,0.24696565638976947,0.22116564351160736,0.21790140520076695,0.973308504034761,0.00015,0.9706384126849789,0.3049705216583461,0.030996565674618125,2000.0,93.0,],0.06712080569908113,184.17432015298087,0.11532821157874668,7.966138961935702,7.3889549754483905,-0.5771839864873112,0.1532623163424508,46,0.1414531694897549,-0.0153719987190914,False,0.00390625,256,0.00103759765625,422563,0.3813845509426997,0.9993076092469422,0
experiments/phase1_runs/mechanism/p1_m0p1_n256_s1,256,20000,0.1,1,4.247640667017549,0.3311149505991419,0.4186650643940368,0.2832478700273701,0.9644848840622249,0.00025,0.8584048747805443,0.20071150868386448,0.02125059976065074,2500.0,93.0,],0.06719284037548946,172.5614031884547,0.14563970204464682,7.966031137726342,7.429390227325273,-0.5366409104010694,0.1423834172182521,48,0.0823835542061184,-0.0125071472067377,False,0.00390625,256,-0.00048828125,404012,0.46680791659653675,0.9992130104060722,0
experiments/phase1_runs/mechanism/p1_m0p1_n256_s2,256,20000,0.1,2,3.7524978751316667,0.2563871679140708,0.4909840851759968,0.20776747239890814,0.9730177514792899,5e-05,0.938017319213194,0.2760788426816038,0.0458470236566154,6666.666666666667,93.0,],0.04172241837986709,187.85216614925346,0.0973186646604805,7.9661951998220255,7.416404895855255,-0.5497903039667706,0.1460723414619351,47,0.0758600801667643,-0.0141634153844076,False,0.00390625,256,0.00103759765625,269221,0.43898135732353716,0.9993878166522112,0
experiments/phase1_runs/mechanism/p1_m0p1_n256_s3,256,20000,0.1,3,3.9280036659911275,0.27134112710508435,0.3458141096110747,0.2257703130883057,0.9683065279091769,0.00015,0.9915833283146919,0.1621608980103039,0.017281383053587656,20000.0,148.0,,0.06267772000467149,175.04254713616598,0.09684312147416205,7.966816874844007,7.43384256398045,-0.5329743108635565,0.1420248166953097,46,0.1948219914955906,-0.0032002496518348,False,0.00390625,256,-0.00091552734375,414364,0.4630493961830661,0.9991622150277232,0
experiments/phase1_runs/mechanism/p1_m0p1_n256_s4,256,20000,0.1,4,3.307248790981248,0.40917806035336396,0.7478589371636791,0.28458879715267704,0.9589394650398874,0.0,0.8561134311757931,0.2958539317205291,0.05549591338982773,10000.0,61.0,=,0.05161156551514409,168.96644935883046,0.11599875197965252,7.9686105510304674,7.418309159502601,-0.5503013915278663,0.1443429545632101,45,0.0833725689183291,-0.0127648087119576,False,0.00390625,256,0.001708984375,423778,0.44690144368041756,0.9992854555101232,0
experiments/phase1_runs/mechanism/p1_m0p5_n256_s0,256,20000,0.5,0,3.551456208107993,0.19309204344451728,0.04779098436815191,0.01144342826384647,0.9802245684598626,0.1473,1.8264184198055722,0.39817684105283263,0.08755900886255723,20000.0,93.0,],0.21046736887464082,48.885802139669785,0.3254649140566038,7.987422923541356,7.821372647342826,-0.16605027619853008,0.0368563866078755,9,0.2094184939020351,-0.0259877661548983,False,0.00390625,256,0.00640869140625,391103,0.4612033147278338,0.9957953680710024,0
experiments/phase1_runs/mechanism/p1_m0p5_n256_s1,256,20000,0.5,1,4.032747458899394,0.05538290051311231,0.15168871112115428,0.07610533718460856,0.9718377088305489,0.0895,2.0822126336014946,0.22211953825506728,0.028552072329388903,6666.666666666667,93.0,],0.17100631816287123,65.7312306782674,0.3553011183339824,7.988349780853342,7.779812673636807,-0.20853710721653496,0.0521959770314261,9,0.551332765504382,-0.0331223691124105,False,0.00390625,256,0.00921630859375,671812,0.5052202104160093,0.996744421177703,0
experiments/phase1_runs/mechanism/p1_m0p5_n256_s2,256,20000,0.5,2,3.678467709105462,0.11328939323616947,0.1660703372920448,0.10121073458337117,0.9528968440885539,0.15565,1.8720967287175583,0.3989921829713225,0.05369217735667334,20000.0,93.0,],0.2569662927876501,44.96784608285367,0.44845509820497403,7.988449327860316,7.741461302251439,-0.24698802560887678,0.0636891179912118,7,0.3801556514891713,0.1495122556999053,False,0.00390625,256,0.0111083984375,363689,0.43556445204556643,0.9972174051258432,0
experiments/phase1_runs/mechanism/p1_m0p5_n256_s3,256,20000,0.5,3,3.6829886250197887,0.1790100467865707,0.27315910123806914,0.07541533993384739,0.9676461858118136,0.1324,2.0863264836070923,0.36911972910449214,0.05118295318421966,20000.0,93.0,],0.10077040907442286,76.23785545914467,0.25150648159910743,7.987018518177321,7.834842313201856,-0.1521762049754649,0.0369587380608399,9,0.2406002874942894,-0.030566276524035,False,0.00390625,256,0.0048828125,492846,0.4900760075155322,0.9961788448013074,0
experiments/phase1_runs/mechanism/p1_m0p5_n256_s4,256,20000,0.5,4,3.5937367910519242,0.20209685775642075,0.2654839216172804,0.18799869952697507,0.9416243654822335,0.0938,1.9643622233536628,0.4204407116829366,0.07068155980588042,20000.0,93.0,],0.22877124286154843,34.87688133504126,0.4263301888123058,7.982640852962367,7.780720632855315,-0.20192022010705202,0.0519182972375977,9,0.4270566698326181,0.0396745406374368,False,0.00390625,256,0.00616455078125,884081,0.6473976931977953,0.99718673436523,0
