interaction_sequence,epoch,pair_index,token_id,symbol,donor_tape,receiver_tape,pool_residence_interactions,opcode,template_source_tape,pool_multiplier,seed
128646,1006,6,61583,43,116,221,328,45,221,16.0,2
128686,1006,46,61583,43,221,226,40,44,164,16.0,2
129023,1008,127,61583,43,226,221,40,45,221,16.0,2
129074,1009,50,61583,43,221,129,51,44,164,16.0,2
129134,1009,110,61583,43,129,221,60,45,221,16.0,2
129264,1010,112,61583,43,221,160,130,44,164,16.0,2
130312,1019,8,61583,43,160,45,77,45,45,16.0,2
130808,1022,120,61583,43,45,103,55,43,103,16.0,2
130949,1024,5,61583,43,103,221,52,45,221,16.0,2
130977,1024,33,61583,43,221,36,28,43,36,16.0,2
131117,1025,45,61583,43,36,221,14,45,221,16.0,2
159225,1244,121,61583,43,221,11,28108,45,11,16.0,2
159326,1245,94,61583,43,11,108,101,45,108,16.0,2
502715,3928,59,61583,43,108,159,343389,44,159,16.0,2
502923,3930,11,61583,43,159,118,85,44,19,16.0,2
504009,3938,73,61583,43,118,129,7,44,129,16.0,2
504134,3939,70,61583,43,129,216,3,44,216,16.0,2
504169,3939,105,61583,43,216,203,35,43,203,16.0,2
504449,3942,1,61583,43,203,43,59,45,43,16.0,2
504472,3942,24,61583,43,43,174,23,45,174,16.0,2
504757,3944,53,61583,43,174,43,31,45,43,16.0,2
504950,3945,118,61583,43,43,107,193,45,107,16.0,2
504951,3945,119,61583,43,107,43,1,45,43,16.0,2
504977,3946,17,61583,43,43,161,26,45,161,16.0,2
505001,3946,41,61583,43,161,74,24,43,74,16.0,2
505005,3946,45,61583,43,74,105,4,45,105,16.0,2
505007,3946,47,61583,43,105,25,2,45,25,16.0,2
505018,3946,58,61583,43,25,122,11,44,122,16.0,2
505308,3948,92,61583,43,122,79,94,46,166,16.0,2
505953,3953,97,61583,43,79,12,321,44,12,16.0,2
505958,3953,102,61583,43,12,50,5,46,50,16.0,2
506033,3954,49,61583,43,50,121,75,45,121,16.0,2
506040,3954,56,61583,43,121,23,7,45,23,16.0,2
506042,3954,58,61583,43,23,98,2,45,98,16.0,2
506049,3954,65,61583,43,98,77,7,44,77,16.0,2
