epoch,elapsed_seconds,character_reads,byte_entropy,brotli_size,compressed_bpb,high_order_entropy,dominant_tape_count,dominant_tape_fraction,distinct_tapes
1,2.1541982078924775,395798311,7.4999931068969,1546283,1.4746503829956055,6.025342723901295,113,0.00086212158203125,37503
101,9.811477040871978,39967337475,7.4968996479211,1586867,1.5133543014526367,5.983545346468463,125,0.00095367431640625,38353
201,17.91999570792541,79407023172,7.497212503437524,1563784,1.4913406372070312,6.005871866230493,106,0.0008087158203125,35929
301,25.911125208018348,119267432681,7.495892882579823,1562295,1.4899206161499023,6.005972266429921,119,0.00090789794921875,34679
401,33.97498358297162,159123893979,7.498546002075972,1574202,1.5012760162353516,5.997269985840621,112,0.0008544921875,35087
501,41.78087979089469,199052341045,7.502105789285423,1550390,1.478567123413086,6.023538665872337,89,0.00067901611328125,34308
601,49.69719054084271,238764382225,7.49354257877803,1548969,1.4772119522094727,6.016330626568557,94,0.0007171630859375,34525
701,57.47559708287008,278150045817,7.495191772355588,1564943,1.492445945739746,6.0027458266158416,107,0.00081634521484375,34864
801,65.4554152910132,317760143545,7.502990468338562,1533272,1.4622421264648438,6.0407483418737185,146,0.0011138916015625,33275
901,73.42458445788361,357838846745,7.503209448186898,1535950,1.4647960662841797,6.038413381902719,98,0.0007476806640625,33520
1001,81.2848997078836,397920988570,7.497876477527079,1543632,1.4721221923828125,6.0257542851442665,131,0.00099945068359375,33482
1101,89.19613499986008,437830163615,7.513455059736801,1534490,1.4634037017822266,6.050051357954574,83,0.00063323974609375,33227
1201,97.2854063748382,478168138192,7.516724054329719,1523096,1.4525375366210938,6.064186517708626,140,0.001068115234375,33504
1301,105.43050808296539,518422193489,7.515214538811574,1533587,1.4625425338745117,6.052672004937063,111,0.00084686279296875,32712
1401,113.229658665834,558269927853,7.513269621508251,1531351,1.4604101181030273,6.052859503405224,121,0.00092315673828125,32446
1501,121.22772137494758,598704538728,7.521109568207052,1529638,1.4587764739990234,6.062333094208029,104,0.00079345703125,32379
1601,129.09507545782253,638705851757,7.5230689001540725,1523601,1.453019142150879,6.070049758003194,183,0.00139617919921875,31037
1701,137.1948232499417,678790763740,7.535133805957068,1502536,1.4329299926757812,6.102203813281287,95,0.00072479248046875,30278
1801,145.30964737501927,719130546052,7.525696239213845,1513034,1.442941665649414,6.082754573564431,142,0.0010833740234375,30660
1901,153.16280970792286,759416541231,7.541348207520386,1507651,1.4378080368041992,6.103540170716187,102,0.0007781982421875,30021
2001,161.3385487908963,800258692329,7.543592009025397,1508097,1.4382333755493164,6.10535863347608,96,0.000732421875,29731
2101,169.41313862497918,841317669851,7.538260355331445,1505320,1.4355850219726562,6.102675333358789,134,0.0010223388671875,30135
2201,177.01593524985947,881816411732,7.537164844602316,1522952,1.4524002075195312,6.084764637082785,99,0.00075531005859375,29710
2301,184.91646208288148,922871638938,7.543883422228612,1516440,1.4461898803710938,6.097693541857518,151,0.00115203857421875,29781
2401,192.5018165409565,963022963470,7.525343347507398,1530735,1.459822654724121,6.065520692783277,123,0.00093841552734375,30897
2501,200.0691922500264,1003405096905,7.5384194055625375,1539637,1.4683122634887695,6.070107142073768,90,0.0006866455078125,30398
2601,207.72802858287469,1044171229866,7.542290277468758,1530231,1.4593420028686523,6.082948274600105,109,0.00083160400390625,30207
2701,215.46615595789626,1084828314052,7.5345684434326765,1540533,1.4691667556762695,6.065401687756407,113,0.00086212158203125,31790
2801,223.16364299994893,1125098250752,7.53627471276677,1525622,1.454946517944336,6.081328194822434,103,0.00078582763671875,31772
2901,230.53675874997862,1165292809677,7.527427753620308,1538563,1.4672880172729492,6.060139736347359,106,0.0008087158203125,31685
3001,238.04461054084823,1205057121449,7.5259981671491305,1536316,1.4651451110839844,6.060853056065146,109,0.00083160400390625,32420
3101,245.8173429579474,1246019396629,7.539434256950491,1520710,1.4502620697021484,6.089172187248343,110,0.0008392333984375,34058
3201,254.04128279094584,1289403043804,7.527684049712111,1499632,1.4301605224609375,6.097523527251173,150,0.0011444091796875,39342
3301,262.5825029578991,1335146812296,7.492455863351357,1507598,1.4377574920654297,6.0546983712859275,125,0.00095367431640625,44853
