run_dir,seed,radius,distance,mean_js_similarity
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,1,0.9397628018195116
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,2,0.9357311238844714
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,3,0.9333062191903582
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,4,0.9325632982346073
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,5,0.9322219143243894
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,6,0.9329440693649959
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,7,0.9323751497908223
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,8,0.9320643070175899
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,9,0.932586745117922
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,10,0.9320840275363049
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,11,0.9321990475197629
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,12,0.9327770446926624
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,13,0.9328872003563894
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,14,0.9327076276954869
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,15,0.9323249130991177
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1,16,0.932474700217433
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,1,0.9449524877417131
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,2,0.9417633188983696
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,3,0.9393635595760059
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,4,0.9390907123513502
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,5,0.9385442968107747
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,6,0.9386456256297785
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,7,0.9391531717348853
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,8,0.9387559725044905
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,9,0.9389991976965306
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,10,0.938760003377381
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,11,0.938874163588596
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,12,0.9390683773932123
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,13,0.9391378214143146
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,14,0.9388525924175611
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,15,0.9389736649159836
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1,16,0.9389323793326736
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,1,0.9452333462144018
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,2,0.9415339197146306
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,3,0.939929830371451
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,4,0.9399086848758874
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,5,0.939924264324597
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,6,0.9394703515309154
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,7,0.9389573834612241
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,8,0.9386209340414817
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,9,0.9391785209098864
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,10,0.9388154000738893
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,11,0.9389383414567329
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,12,0.9389334221324097
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,13,0.9388164777589
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,14,0.93921039353318
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,15,0.9392763150528581
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1,16,0.9389105983797128
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,1,0.9444412315835776
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,2,0.9422734968537998
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,3,0.941155573945564
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,4,0.9403015735606771
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,5,0.940932969729396
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,6,0.9408483009252144
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,7,0.9405638168100623
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,8,0.9400218258664349
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,9,0.9399560067044493
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,10,0.9408847551145132
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,11,0.9404897123868339
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,12,0.9404485978392907
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,13,0.9405481150803543
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,14,0.9402380920534275
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,15,0.9400980920480942
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1,16,0.9399325449171374
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,1,0.9337517656519201
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,2,0.9309832997366462
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,3,0.9268623259088408
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,4,0.9270120057820375
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,5,0.9275495870124899
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,6,0.9275371193728582
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,7,0.9277407609711709
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,8,0.9280986770100909
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,9,0.9282912889136573
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,10,0.9278395034791725
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,11,0.9283402169885097
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,12,0.9280960226646806
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,13,0.9275127140857551
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,14,0.9276712316006208
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,15,0.9269954844806874
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1,16,0.9272518975777281
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,1,0.9393174522118676
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,2,0.9358489612215795
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,3,0.9340674707344878
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,4,0.9339743467969213
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,5,0.9338475038282966
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,6,0.9335259065780114
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,7,0.9332669397851056
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,8,0.9335943598100921
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,9,0.9340614417701643
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,10,0.9338727945565191
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,11,0.9338103766068704
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,12,0.9337455284804068
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,13,0.9338200112632259
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,14,0.9339173669935759
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,15,0.9340008199319201
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1,16,0.9336434720889751
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,1,0.9395121894389844
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,2,0.9351754005624539
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,3,0.9334645881201779
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,4,0.9330492535201148
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,5,0.9337807501461011
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,6,0.9337214120456012
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,7,0.9336449818606763
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1,8,0.9331395565230842
