run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,radius,analysis_tick,sampled_tapes,mantel_rho,mantel_null_mean,mantel_p,behavior_features,distance_decay_strength,distance_decay_null_mean,distance_decay_excess,distance_decay_p,neighbor_js_excess,neighbor_js_p,functional_distance_feasible
sweeps/phase2_functional_distance/runs/20260906T062437.115932Z_c41e5385a177_202609080,202609080,1e-05,1e-05,True,0,True,0,784,0.7693984375,0,1.0,2915786,41,6,499,True,4900,785,785,0.0,1.0,237.466281310211,237.466281310211,0.0,1.0,4500,0.006137454739428424,0.05,0.0939837983178684,0.2,1,4500,128,0.2105525158752287,0.0006897001326518631,0.001,48,0.0002315614366172992,7.921556652898332e-07,0.00023076928095200938,0.002,0.007089805581668274,0.005,True
sweeps/phase2_functional_distance/runs/20260906T062437.118697Z_15d3bcf63448_202609081,202609081,1e-05,1e-05,True,0,True,0,783,0.765189453125,0,1.0,936148,47,11,499,True,4900,783,783,0.0,1.0,240.33281066248526,240.33281066248526,0.0,1.0,4500,0.004879133528673084,0.05,0.10334529488281774,0.15,1,4500,128,0.29618748410101625,0.0012762432093511005,0.001,48,0.0001880717810178472,-9.230181749366713e-07,0.00018899479919278386,0.002,0.005931350510750444,0.005,True
sweeps/phase2_functional_distance/runs/20260906T062437.121090Z_62ce7655d2c8_202609082,202609082,1e-05,1e-05,True,0,True,0,784,0.7693046875,0,1.0,1728799,46,11,499,True,4900,786,786,0.0,1.0,237.43120676402685,237.43120676402683,2.842170943040401e-14,1.0,4500,0.005309639588100687,0.05,0.1850687762792944,0.15,1,4500,128,0.2738422036669486,-0.00016164609274669007,0.001,48,0.00022264420059859636,-3.492873645054517e-07,0.0002229934879631018,0.002,0.005997364871703104,0.005,True
sweeps/phase2_functional_distance/runs/20260906T062437.122045Z_2a7be3b7cc60_202609083,202609083,1e-05,1e-05,True,0,True,0,785,0.77007421875,0,1.0,1576575,44,10,499,True,4900,788,788,0.0,1.0,236.82074752097654,236.82074752097657,-2.842170943040401e-14,1.0,4500,0.00723280594123345,0.05,0.13026452039359881,0.05,1,4500,128,0.28256195081446706,0.0011991972145056343,0.001,48,0.00015892726438004857,-6.147799181769848e-07,0.00015954204429822555,0.002,0.00393235473623732,0.005,True
sweeps/phase2_functional_distance/runs/20260906T062437.123960Z_26cd6ae87405_202609084,202609084,1e-05,1e-05,True,0,True,0,784,0.76941015625,0,1.0,1410658,41,6,499,True,4900,785,785,0.0,1.0,238.2006184769992,238.20061847699918,2.842170943040401e-14,1.0,4500,0.007785738522524076,0.05,0.028217113249686676,0.25,1,4500,128,0.2702214928867491,-0.0010862234567627425,0.001,48,0.00018765574268546828,1.02497676115942e-06,0.00018663076592430886,0.002,0.006001253010745278,0.005,True
sweeps/phase2_functional_distance/runs/20260906T062437.124472Z_0f2e7a321f00_202609085,202609085,1e-05,1e-05,True,0,True,0,799,0.782044921875,0,1.0,1211042,34,16,499,True,4900,802,802,0.0,1.0,238.9316493313529,238.93164933135287,2.842170943040401e-14,1.0,4500,0.0059249326585155415,0.05,-0.1257607506804579,1.0,1,4500,128,0.306951991422914,0.0008024302597988502,0.001,48,0.00016056254496890705,-1.1860846275527108e-06,0.00016174862959645976,0.002,0.005516375244456917,0.005,True
sweeps/phase2_functional_distance/runs/20260906T062437.125113Z_34b743661f1c_202609086,202609086,1e-05,1e-05,True,0,True,0,784,0.767046875,0,1.0,1256726,44,9,499,True,4900,785,785,0.0,1.0,236.3732259301869,236.3732259301869,0.0,1.0,4500,0.004123014669237936,0.05,0.017948954355061275,0.4,1,4500,128,0.323704743307787,0.0017066071139363072,0.001,48,0.00015596916715675198,-4.1888015318621435e-07,0.0001563880473099382,0.002,0.005811031139153489,0.005,True
sweeps/phase2_functional_distance/runs/20260906T062437.125501Z_515b9666d3c3_202609087,202609087,1e-05,1e-05,True,0,True,0,785,0.767998046875,0,1.0,1762956,42,8,499,True,4900,785,785,0.0,1.0,236.55470249520025,236.55470249520027,-2.842170943040401e-14,1.0,4500,0.006882512995451592,0.05,-0.11145810139666068,1.0,1,4500,128,0.280633062838776,0.0007595950894392831,0.001,48,0.00018207039520038104,-2.520509291261089e-06,0.00018459090449164214,0.002,0.005634459502915967,0.005,True
sweeps/phase2_functional_distance/runs/20260906T062437.128353Z_5e0097ab3122_202609088,202609088,1e-05,1e-05,True,0,True,0,792,0.775189453125,0,1.0,1663628,38,12,499,True,4900,794,794,0.0,1.0,238.98256254738402,238.98256254738402,0.0,1.0,4500,0.00865751626618566,0.05,0.010772812390436926,0.5,1,4500,128,0.2348441561583121,-0.0016381506833506518,0.001,48,0.00026856785100723944,7.89745552021954e-07,0.0002677781054552175,0.002,0.006973028526060743,0.005,True
sweeps/phase2_functional_distance/runs/20260906T062437.128394Z_acfa432f2238_202609089,202609089,1e-05,1e-05,True,0,True,0,783,0.76896875,0,1.0,1896806,44,8,499,True,4900,785,785,0.0,1.0,238.38491295937993,238.38491295937993,0.0,1.0,4500,0.0062647803598039,0.05,0.015197255104073548,0.4,1,4500,128,0.23517623448363018,-0.0018790851322472513,0.001,48,0.0002408275250677899,2.675495117618846e-06,0.00023815202995017105,0.002,0.007478578130445612,0.005,True
sweeps/phase2_functional_distance/runs/20260906T063252.782305Z_544f22a6468d_202609080,202609080,1e-05,1e-05,True,0,True,0,784,0.7693984375,0,1.0,2116836,41,6,499,True,4900,785,785,0.0,1.0,237.466281310211,237.466281310211,0.0,1.0,4500,0.0016383383982068178,0.05,-0.025480550738446794,0.7,8,4500,128,0.231335162381338,-0.004242056703322637,0.001,48,0.00013628904141259763,2.755389896231241e-08,0.00013626148751363533,0.002,0.0008445593377979232,0.18,True
sweeps/phase2_functional_distance/runs/20260906T063252.782257Z_c4c98990f78f_202609081,202609081,1e-05,1e-05,True,0,True,0,783,0.765189453125,0,1.0,1805789,47,11,499,True,4900,783,783,0.0,1.0,240.33281066248526,240.33281066248526,0.0,1.0,4500,0.0014595404375316694,0.05,0.0255299108907181,0.5,8,4500,128,0.35355721259067596,0.0013883883894013438,0.001,48,7.488860148008006e-05,-9.272753245675985e-07,7.581587680464766e-05,0.002,0.0008620852323706352,0.075,True
sweeps/phase2_functional_distance/runs/20260906T063252.782299Z_a9277b04e702_202609082,202609082,1e-05,1e-05,True,0,True,0,784,0.7693046875,0,1.0,903212,46,11,499,True,4900,786,786,0.0,1.0,237.43120676402685,237.43120676402683,2.842170943040401e-14,1.0,4500,0.0019786764388411565,0.05,-0.02695893429415186,0.7,8,4500,128,0.2766297881960087,-0.0003909828130386319,0.001,48,7.53435925004694e-05,8.170052075251351e-08,7.526189197971688e-05,0.002,0.0006593840149966557,0.21,True
sweeps/phase2_functional_distance/runs/20260906T063252.782338Z_a10b16958acf_202609083,202609083,1e-05,1e-05,True,0,True,0,785,0.77007421875,0,1.0,2340251,44,10,499,True,4900,788,788,0.0,1.0,236.82074752097654,236.82074752097657,-2.842170943040401e-14,1.0,4500,0.0011899956947583699,0.05,0.12724025904627823,0.15,8,4500,128,0.3697925061293231,-0.0004744287263948035,0.001,48,2.7870251492096417e-05,-1.0267714696888119e-06,2.889702296178523e-05,0.162,0.0002951275477995896,0.33,True
sweeps/phase2_functional_distance/runs/20260906T063252.782306Z_da12dadccade_202609084,202609084,1e-05,1e-05,True,0,True,0,784,0.76941015625,0,1.0,6025310,41,6,499,True,4900,785,785,0.0,1.0,238.2006184769992,238.20061847699918,2.842170943040401e-14,1.0,4500,0.0017716434711420384,0.05,-0.089658944102462,0.95,8,4500,128,0.2966464074765527,0.000897143474526459,0.001,48,7.237864637576826e-05,1.6483474905354698e-07,7.221381162671471e-05,0.014,0.0009629446549767051,0.15,True
sweeps/phase2_functional_distance/runs/20260906T063252.783724Z_1d6ae3f56b6d_202609085,202609085,1e-05,1e-05,True,0,True,0,799,0.782044921875,0,1.0,4515897,34,16,499,True,4900,802,802,0.0,1.0,238.9316493313529,238.93164933135287,2.842170943040401e-14,1.0,4500,0.0015385293251120608,0.05,0.03162505636072055,0.25,8,4500,128,0.28165239998548536,0.0019805218530581327,0.001,48,4.4615028855387445e-05,-8.8186766541795e-07,4.5496896520805394e-05,0.136,-0.0008605459499140267,0.845,True
sweeps/phase2_functional_distance/runs/20260906T063252.783721Z_26e3d86691d8_202609086,202609086,1e-05,1e-05,True,0,True,0,790,0.7728203125,0,1.0,5545939,36,8,499,True,4900,790,790,0.0,1.0,236.94001518602784,236.94001518602784,0.0,1.0,4500,0.0018546033857575039,0.05,-0.040709263052148614,0.65,8,4500,128,0.38540370737749263,-0.001074359467404793,0.001,48,9.912593238920389e-05,9.622052856702856e-07,9.816372710353361e-05,0.008,0.001974186320839233,0.06,True
sweeps/phase2_functional_distance/runs/20260906T063252.783781Z_70492e000c21_202609087,202609087,1e-05,1e-05,True,0,True,0,783,0.766384765625,0,1.0,1481892,45,10,499,True,4900,784,784,0.0,1.0,237.50231839258058,237.50231839258058,0.0,1.0,4500,0.000914422052653319,0.1,-0.014635571466559583,0.6,8,4500,128,0.2982542176821786,-0.0007896298692323947,0.001,48,7.040083768399008e-06,7.977235420644456e-07,6.242360226334562e-06,0.408,-0.00042116540109682354,0.7,True
sweeps/phase2_functional_distance/runs/20260906T063252.783895Z_df9f475b4938_202609088,202609088,1e-05,1e-05,True,0,True,0,792,0.775189453125,0,1.0,1729140,38,12,499,True,4900,794,794,0.0,1.0,238.98256254738402,238.98256254738402,0.0,1.0,4500,0.0028791282827632138,0.05,-0.09149473413718923,0.85,8,4500,128,0.2650368455653967,0.00026343713374547123,0.001,48,5.958074965569462e-05,2.240828959467588e-06,5.733992069622703e-05,0.01,0.0012805299483346078,0.05,True
sweeps/phase2_functional_distance/runs/20260906T063252.783843Z_a63fa1a0790a_202609089,202609089,1e-05,1e-05,True,0,True,0,792,0.774923828125,0,1.0,2848558,36,9,499,True,4900,793,793,0.0,1.0,238.47136897990106,238.47136897990103,2.842170943040401e-14,1.0,4500,0.0028321598487744785,0.05,-0.031758139562002796,0.8,8,4500,128,0.2174311624640171,-0.001633998476241449,0.001,48,5.3878399733346956e-05,-6.043600329169369e-08,5.393883573663865e-05,0.068,0.0008502950509751139,0.205,True
