run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p
sweeps/phase2_liveness_pilot/runs/20260826T021840.269497Z_80fdcd4a0c27_202608250,202608250,1e-06,1e-05,True,0,True,0,51,0.828125,0,1.0,22733,0,2,484,False,4900,53,53,0.0,1.0,15.519337016574566,15.519337016574564,1.7763568394002505e-15,1.0
sweeps/phase2_liveness_pilot/runs/20260826T021840.269497Z_652f294dfd1f_202608251,202608251,1e-06,1e-05,True,0,True,0,51,0.8125,0,1.0,23816,0,1,498,False,4900,52,52,0.0,1.0,15.363636363636378,15.363636363636381,-3.552713678800501e-15,1.0
sweeps/phase2_liveness_pilot/runs/20260826T021840.269573Z_edbc18cb2bf2_202608252,202608252,1e-06,1e-05,True,0,True,0,51,0.8125,0,1.0,362578,0,1,496,False,4900,52,52,0.0,1.0,14.382978723404268,14.382978723404266,1.7763568394002505e-15,1.0
sweeps/phase2_liveness_pilot/runs/20260826T021917.669666Z_788a55907cb9_202608250,202608250,1e-06,0.0001,True,0,True,0,51,0.875,0,1.0,135704,1,6,497,True,4900,56,56,0.0,1.0,15.524752475247537,15.524752475247539,-1.7763568394002505e-15,1.0
sweeps/phase2_liveness_pilot/runs/20260826T021917.669665Z_fdf2c52093ab_202608251,202608251,1e-06,0.0001,True,0,True,0,51,0.90934375,0,1.0,191444,0,8,493,False,4900,58,58,0.0,1.0,15.574074074074069,15.574074074074074,-5.329070518200751e-15,1.0
sweeps/phase2_liveness_pilot/runs/20260826T021917.669666Z_26b61157ae48_202608252,202608252,1e-06,0.0001,True,0,True,0,51,0.890625,0,1.0,47652,0,6,486,False,4900,57,57,0.0,1.0,15.398104265402848,15.398104265402852,-3.552713678800501e-15,1.0
sweeps/phase2_liveness_pilot/runs/20260826T021949.688471Z_6043cdbc89cf_202608250,202608250,1e-06,0.001,True,0,True,0,51,1.0,820,1.0,18591,0,13,499,False,4900,64,64,0.0,1.0,15.999999999999995,15.999999999999998,-3.552713678800501e-15,1.0
sweeps/phase2_liveness_pilot/runs/20260826T021949.688479Z_976762ea453a_202608251,202608251,1e-06,0.001,True,0,True,0,51,1.0,1237,1.0,63760,0,13,498,False,4900,64,64,0.0,1.0,15.999999999999995,15.999999999999998,-3.552713678800501e-15,1.0
sweeps/phase2_liveness_pilot/runs/20260826T021949.688468Z_3d72bae12d1a_202608252,202608252,1e-06,0.001,True,0,True,0,51,1.0,1784,1.0,31652,0,13,499,False,4900,64,64,0.0,1.0,15.999999999999995,15.999999999999998,-3.552713678800501e-15,1.0
sweeps/phase2_liveness_pilot/runs/20260826T022026.257180Z_bd87dba8f8c5_202608250,202608250,1e-05,1e-05,True,0,True,0,50,0.803875,0,1.0,142201,2,2,499,True,4900,51,51,0.0,1.0,15.03468208092485,15.034682080924846,3.552713678800501e-15,1.0
sweeps/phase2_liveness_pilot/runs/20260826T022026.257177Z_c65621bb7b4e_202608251,202608251,1e-05,1e-05,True,0,True,0,51,0.796875,0,1.0,55937,1,1,498,True,4900,51,51,0.0,1.0,15.390532544378695,15.39053254437869,5.329070518200751e-15,1.0
