run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,radius,mutation_rate,primary_snapshot_tick,ordered_unique_fraction,ordered_singleton_tape_fraction,ordered_block2_beta,ordered_block2_beta_null,ordered_block2_beta_excess,ordered_block2_beta_p,presence_block2_beta_excess,presence_block2_beta_p,followup_mechanically_feasible
sweeps/phase2_opcode_beta_followup/runs/20260904T215442.414463Z_d8e6bc9e5854_202609050,202609050,1e-05,1e-05,True,0,True,0,793,0.77567578125,0,1.0,1338772,36,12,499,True,4900,794,794,0.0,1.0,238.62074186222517,238.62074186222523,-5.684341886080802e-14,1.0,4500,0.005076850636061162,0.001,0.15928452556188866,0.028,1,6.103515625e-05,4500,0.6842767295597484,0.5823899371069182,114.1275987256998,113.53487442214299,0.5927243035568068,0.059,0.5685165582222567,0.017,True
sweeps/phase2_opcode_beta_followup/runs/20260904T215442.414471Z_b111977b2512_202609051,202609051,1e-05,1e-05,True,0,True,0,802,0.783810546875,0,1.0,2504956,30,13,499,True,4900,802,802,0.0,1.0,238.22370370370427,238.22370370370433,-5.684341886080802e-14,1.0,4500,0.00719664045006851,0.001,0.03106976177281595,0.322,1,6.103515625e-05,4500,0.7194513715710723,0.6359102244389028,119.16888759019122,119.66730835342851,-0.49842076323729145,0.905,-0.017320708916656713,0.519,True
sweeps/phase2_opcode_beta_followup/runs/20260904T215442.414479Z_edb9dd2ea0fa_202609052,202609052,1e-05,1e-05,True,0,True,0,798,0.780169921875,0,1.0,1940757,32,11,499,True,4900,798,798,0.0,1.0,237.79088872292726,237.79088872292732,-5.684341886080802e-14,1.0,4500,0.007395174169785569,0.001,0.15603760863372784,0.027,1,6.103515625e-05,4500,0.6878901373283396,0.6092384519350812,107.10558087270611,106.48588415323749,0.6196967194686209,0.068,0.7317586394685307,0.007,True
sweeps/phase2_opcode_beta_followup/runs/20260904T215442.423188Z_175f7125a163_202609053,202609053,1e-05,1e-05,True,0,True,0,784,0.766763671875,0,1.0,1458215,39,5,499,True,4900,785,783,0.0008216116324224433,0.001,236.89917932487478,236.47423846311258,0.42494086176219525,0.007,4500,0.005657275971713754,0.001,0.09712654984866376,0.13,1,6.103515625e-05,4500,0.7102922490470139,0.6213468869123253,117.88268699407827,117.62640389928019,0.25628309479807854,0.227,0.08577413964051317,0.348,True
sweeps/phase2_opcode_beta_followup/runs/20260904T215442.424718Z_faa6ecb58467_202609054,202609054,1e-05,1e-05,True,0,True,0,793,0.7761640625,0,1.0,1171129,39,13,499,True,4900,794,794,0.0,1.0,238.44024205748835,238.44024205748832,2.842170943040401e-14,1.0,4500,0.004618845385718107,0.001,-0.0688271559178606,0.81,1,6.103515625e-05,4500,0.7094339622641509,0.630188679245283,116.03172025576656,115.97044811051778,0.061272145248779,0.424,0.24221296838268813,0.155,True
sweeps/phase2_opcode_beta_followup/runs/20260904T215442.423816Z_3cd21bbb2979_202609055,202609055,1e-05,1e-05,True,0,True,0,794,0.776248046875,0,1.0,736218,36,11,499,True,4900,794,794,0.0,1.0,237.90037735849018,237.90037735849015,2.842170943040401e-14,1.0,4500,0.006164774932444562,0.001,0.05701136826574249,0.255,1,6.103515625e-05,4500,0.7257861635220125,0.6465408805031446,124.95446945508861,124.03110610610946,0.9233633489791515,0.007,0.5634787489807707,0.017,True
sweeps/phase2_opcode_beta_followup/runs/20260904T215442.424036Z_f5e850f0bee3_202609056,202609056,1e-05,1e-05,True,0,True,0,791,0.773310546875,0,1.0,794369,39,11,499,True,4900,792,792,0.0,1.0,237.59999999999962,237.5999999999996,2.842170943040401e-14,1.0,4500,0.004247037451749067,0.001,0.07227167108162291,0.187,1,6.103515625e-05,4500,0.7285353535353535,0.6502525252525253,122.36758142244561,122.61546097120363,-0.24787954875802143,0.753,-0.08512358243811491,0.617,True
sweeps/phase2_opcode_beta_followup/runs/20260904T215442.424578Z_7e31bef7171f_202609057,202609057,1e-05,1e-05,True,0,True,0,790,0.77336328125,0,1.0,1513905,42,14,499,True,4900,791,791,0.0,1.0,236.73136587211513,236.73136587211505,8.526512829121202e-14,1.0,4500,0.004367691658852047,0.001,0.02829312347682489,0.361,1,6.103515625e-05,4500,0.6834804539722572,0.5914249684741488,110.37711028629052,109.62022988851048,0.7568803977800371,0.031,0.38857300166450415,0.05,True
sweeps/phase2_opcode_beta_followup/runs/20260904T215442.426261Z_00e4b2c2be8d_202609058,202609058,1e-05,1e-05,True,0,True,0,803,0.785509765625,0,1.0,574487,33,17,499,True,4900,804,804,0.0,1.0,240.84053651266737,240.84053651266737,0.0,1.0,4500,0.0060491096432952265,0.001,0.1684212751746621,0.027,1,6.103515625e-05,4500,0.7279503105590062,0.6496894409937888,125.64614416103625,126.10019763818043,-0.45405347714418554,0.922,-0.05904652055404114,0.594,True
sweeps/phase2_opcode_beta_followup/runs/20260904T215442.431739Z_09d26c020149_202609059,202609059,1e-05,1e-05,True,0,True,0,788,0.771970703125,0,1.0,1441354,39,8,499,True,4900,788,788,0.0,1.0,237.00152671755737,237.0015267175573,5.684341886080802e-14,1.0,4500,0.013341028655430279,0.001,-0.05956859132310477,0.766,1,6.103515625e-05,4500,0.7133838383838383,0.6262626262626263,117.40966371237798,117.34583771018904,0.06382600218893231,0.412,0.7513382078647268,0.004,True
sweeps/phase2_opcode_beta_followup/runs/20260904T220437.437745Z_031878e12a11_202609050,202609050,1e-05,1e-05,True,0,True,0,797,0.78012890625,0,1.0,738683,34,14,499,True,4900,799,799,0.0,1.0,240.2713586751969,240.27135867519695,-5.684341886080802e-14,1.0,4500,0.006190057793264207,0.001,0.08890832349554678,0.125,1,0.000244140625,4500,0.6978776529338327,0.6054931335830213,113.72010930101395,113.2221520112599,0.49795728975405495,0.093,0.7928448044590439,0.002,True
sweeps/phase2_opcode_beta_followup/runs/20260904T220437.437872Z_23fc0f7e32fc_202609051,202609051,1e-05,1e-05,True,0,True,0,794,0.776376953125,0,1.0,1149003,39,14,499,True,4900,794,794,0.0,1.0,237.1843491346874,237.18434913468735,5.684341886080802e-14,1.0,4500,0.00517942337498789,0.001,0.04587505150908555,0.269,1,0.000244140625,4500,0.7176913425345044,0.6323713927227101,118.70864631127077,117.60098231870965,1.1076639925611147,0.01,1.189391632404444,0.001,True
