run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,radius,primary_snapshot_tick,opcode_js_similarity,opcode_js_null_mean,opcode_js_excess,opcode_js_p,opcode_js_edges,ordered_unique_fraction,ordered_singleton_tape_fraction,js_mechanically_feasible
sweeps/phase2_opcode_js_followup/runs/20260905T062443.743895Z_df70f547a96d_202609060,202609060,1e-05,1e-05,True,0,True,0,786,0.7696171875,0,1.0,1871577,41,8,499,True,4900,788,788,0.0,1.0,241.42457231726297,241.42457231726303,-5.684341886080802e-14,1.0,4500,0.0042137986635348,0.005,-0.02032604845058117,0.575,1,4500,0.9452602166298434,0.9413927683334843,0.0038674482963590995,0.001,2441,0.7547408343868521,0.6788874841972187,True
sweeps/phase2_opcode_js_followup/runs/20260905T062443.745337Z_1e2774a4fc5e_202609061,202609061,1e-05,1e-05,True,0,True,0,797,0.781154296875,0,1.0,5793167,33,11,499,True,4900,797,797,0.0,1.0,237.63898241676046,237.63898241676043,2.842170943040401e-14,1.0,4500,0.0061793964864002545,0.005,-0.05488214777143874,0.79,1,4500,0.9389664766245042,0.9348506583184802,0.004115818306023922,0.001,2520,0.7169576059850374,0.6309226932668329,True
sweeps/phase2_opcode_js_followup/runs/20260905T062443.750238Z_8aa5396c4695_202609062,202609062,1e-05,1e-05,True,0,True,0,783,0.76568359375,0,1.0,1430545,48,13,499,True,4900,784,784,0.0,1.0,238.97978227060594,238.97978227060597,-2.842170943040401e-14,1.0,4500,0.005459576593581505,0.005,0.09662139369430278,0.12,1,4500,0.9405330485290323,0.9318548430020555,0.008678205526976845,0.001,2412,0.7544529262086515,0.6730279898218829,True
sweeps/phase2_opcode_js_followup/runs/20260905T062443.750156Z_2302c37b3348_202609063,202609063,1e-05,1e-05,True,0,True,0,792,0.776125,0,1.0,1102441,31,5,499,True,4900,793,793,0.0,1.0,239.7441860465112,239.74418604651117,2.842170943040401e-14,1.0,4500,0.008140258647961357,0.005,0.036647453753200665,0.315,1,4500,0.9343427004769546,0.9249437870048025,0.009398913472152048,0.001,2478,0.7669172932330827,0.6979949874686717,True
sweeps/phase2_opcode_js_followup/runs/20260905T062443.752036Z_800d259576a0_202609064,202609064,1e-05,1e-05,True,0,True,0,787,0.769376953125,0,1.0,1276918,43,11,499,True,4900,787,787,0.0,1.0,238.31050404001448,238.3105040400145,-2.842170943040401e-14,1.0,4500,0.005298003255192217,0.005,-0.00957371983804478,0.51,1,4500,0.9459955070372068,0.9396425387659982,0.00635296827120857,0.001,2436,0.7193426042983565,0.6257901390644753,True
sweeps/phase2_opcode_js_followup/runs/20260905T062443.754811Z_b5c9c14a64b5_202609065,202609065,1e-05,1e-05,True,0,True,0,778,0.76014453125,0,1.0,1654001,50,9,499,True,4900,778,778,0.0,1.0,237.55259026687645,237.5525902668765,-5.684341886080802e-14,1.0,4500,0.007234849087208194,0.005,0.1926027019726586,0.01,1,4500,0.9390773252204166,0.9299845726978245,0.009092752522592118,0.001,2370,0.7724935732647815,0.7069408740359897,True
sweeps/phase2_opcode_js_followup/runs/20260905T062443.756968Z_6e78c8e43eca_202609066,202609066,1e-05,1e-05,True,0,True,0,779,0.760953125,0,1.0,1344517,44,5,499,True,4900,780,780,0.0,1.0,238.21456538762746,238.2145653876275,-2.842170943040401e-14,1.0,4500,0.0028797168762938535,0.005,-0.07480188269785515,0.82,1,4500,0.9478685884179987,0.9450981695455586,0.002770418872440117,0.001,2374,0.7008985879332478,0.5982028241335045,True
sweeps/phase2_opcode_js_followup/runs/20260905T062443.756683Z_bb987a946d01_202609067,202609067,1e-05,1e-05,True,0,True,0,793,0.775615234375,0,1.0,1570221,40,16,499,True,4900,793,793,0.0,1.0,238.65237191650823,238.65237191650826,-2.842170943040401e-14,1.0,4500,0.005981170280320192,0.005,0.09133452124188324,0.11,1,4500,0.9486626905643942,0.9420894498280769,0.006573240736317376,0.001,2469,0.7289836888331243,0.6537013801756587,True
sweeps/phase2_opcode_js_followup/runs/20260905T062443.757167Z_f2d34307de83_202609068,202609068,1e-05,1e-05,True,0,True,0,800,0.783341796875,0,1.0,1620174,32,14,499,True,4900,801,801,0.0,1.0,238.60208255857222,238.60208255857228,-5.684341886080802e-14,1.0,4500,0.004826255784853119,0.005,-0.007285553677478518,0.49,1,4500,0.9388290746139619,0.9322458214047604,0.006583253209201501,0.001,2530,0.7450248756218906,0.6604477611940298,True
sweeps/phase2_opcode_js_followup/runs/20260905T062443.761669Z_dc2343011538_202609069,202609069,1e-05,1e-05,True,0,True,0,793,0.78001953125,0,1.0,2162254,38,12,499,True,4900,798,798,0.0,1.0,237.08265078183138,237.08265078183143,-5.684341886080802e-14,1.0,4500,0.0044329721524288095,0.005,0.13029235862262567,0.045,1,4500,0.9420301783506869,0.9379726307828474,0.004057547567839492,0.001,2520,0.7375621890547264,0.650497512437811,True
