tick,mean_paired_effect,positive_seed_pairs
0,1.2407237909728418e-05,5
500,0.0011089920089950023,8
1000,0.0011885738938259838,9
1500,0.0017556907013146494,9
2000,0.0035464555574581504,9
2500,0.0034197291382121243,10
3000,0.004083357905004414,10
3500,0.004583683640271985,10
4000,0.004058252947801111,10
4500,0.0042384539650072274,10
5000,0.004018740931744469,10
5500,0.004532944380368775,10
6000,0.0047373936328208525,10
6500,0.004798219270584059,10
7000,0.005431597891058048,9
7500,0.005251066587809039,10
8000,0.0052181827024226244,10
8500,0.005075899660709371,10
9000,0.005748913104302011,10
9500,0.006290857885471834,10
10000,0.005353240555332139,10
10500,0.004915608530702176,10
11000,0.005852407461625098,10
11500,0.005259891669179395,10
12000,0.005501637758770883,10
12500,0.005333677658982216,10
13000,0.005767609224713699,10
13500,0.006552288103771719,10
14000,0.006086380356543975,10
14500,0.005155585045764665,10
15000,0.004991727817282521,10
15500,0.0046832990609451675,10
16000,0.004514366521318513,10
16500,0.004690433955167883,9
17000,0.004913065731648625,10
17500,0.004892086860224754,10
18000,0.006639735218130582,10
18500,0.007219508094909377,10
19000,0.005683274608674738,10
19500,0.005852960642444627,10
20000,0.005524800690860821,10
20500,0.005436447927303278,9
21000,0.005196340949865907,10
21500,0.004913796902976675,10
22000,0.0052721347070465606,10
22500,0.005553539293287802,10
23000,0.005487660248416492,10
23500,0.0055325544231852545,10
24000,0.005859643096751088,10
24500,0.00599404898657514,10
25000,0.005647033977349958,10
25500,0.006995616768534862,10
26000,0.005416479828400744,10
26500,0.0068955313769300305,10
27000,0.00608612329365168,10
27500,0.005198493487348221,9
28000,0.0043393536691079485,10
28500,0.005289005290383708,10
29000,0.0044753480108453035,10
29500,0.003936730409828393,9
30000,0.0038985275107635497,10
30500,0.004332331498877806,10
31000,0.0045458240820576475,10
31500,0.005909197463868698,9
32000,0.006346324376171597,10
32500,0.005966368115316922,10
33000,0.005134126993235222,10
33500,0.0047422141269923505,10
34000,0.004992460411927124,10
34500,0.005440077015734046,10
35000,0.005749889565974009,10
35500,0.005603273823350585,10
36000,0.00588751077935955,9
36500,0.005128798763736908,10
37000,0.004259706670019703,9
37500,0.006077496381555236,10
38000,0.006532874163829261,10
38500,0.0067217286254143025,10
39000,0.006248231439116725,10
39500,0.005598499205990237,10
40000,0.004721998096970425,10
40500,0.007701080215365463,10
41000,0.006821519463034586,9
41500,0.00559322291725386,10
42000,0.004909195220834439,10
42500,0.0058742155944133565,10
43000,0.005909763240923427,10
43500,0.005934748540239598,9
44000,0.007039432641102817,10
44500,0.0077171482991294504,10
45000,0.006660902164815618,10
45500,0.005918991792354789,10
46000,0.006455764844277179,10
46500,0.005690779594897522,10
47000,0.005309705893784544,9
47500,0.005318205002800081,9
48000,0.005157581372320497,10
48500,0.004743078460996775,9
49000,0.004631262849204676,10
49500,0.003697686064437744,9
