run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,radius,pooled_js_similarity,pooled_js_null_mean,pooled_js_excess,pooled_js_p,pooled_snapshot_count,early_mean_js_excess,final_mean_diagnostic_js_excess,positive_final_snapshots,temporal_mechanically_feasible
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.050701Z_fcf61fbf0737_202609070,202609070,1e-05,1e-05,True,0,True,0,587,0.58319609375,0,1.0,25847206,392,160,4999,True,49500,588,588,0.0,1.0,212.8965517241382,212.8965517241382,0.0,1.0,49500,0.0033233110329092385,0.05,0.1528328150072351,0.15,1,0.9465407426174657,0.9409649182468368,0.005575824370628868,0.001,10,0.0021858415706386023,0.005589708817814498,10,True
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.051878Z_30ba0ddc3f60_202609071,202609071,1e-05,1e-05,True,0,True,0,611,0.6057984375,0,1.0,15865326,366,160,4999,True,49500,613,613,0.0,1.0,213.38387279954563,213.38387279954566,-2.842170943040401e-14,1.0,49500,0.007153843810916179,0.05,-0.07642668535093122,0.85,1,0.9423111090552538,0.9306322519917722,0.011678857063481596,0.001,10,0.005424205919995517,0.01170221564990015,10,True
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.052240Z_195c07e965d9_202609072,202609072,1e-05,1e-05,True,0,True,0,619,0.6102466796875,0,1.0,28532867,347,147,4999,True,49500,623,623,0.0,1.0,216.7107761027357,216.7107761027357,0.0,1.0,49500,0.005487459685720167,0.05,0.07667986291570195,0.25,1,0.9373608438292808,0.9295897672192384,0.007771076610042393,0.001,10,0.0028661112295151336,0.007779591194437885,10,True
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.057893Z_a7bf164362e7_202609073,202609073,1e-05,1e-05,True,0,True,0,610,0.6007021484375,0,1.0,10676529,369,161,4999,True,49500,612,612,0.0,1.0,222.41330166270825,222.41330166270828,-2.842170943040401e-14,1.0,49500,0.004389532263878876,0.05,-0.1010176970614367,0.9,1,0.9419073746175164,0.9378984580970092,0.004008916520507166,0.001,10,0.0020473454916856925,0.003971790059210956,10,True
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.058037Z_9b27cace67f4_202609074,202609074,1e-05,1e-05,True,0,True,0,617,0.6146841796875,0,1.0,11531224,376,174,4999,True,49500,621,621,0.0,1.0,224.0796048808828,224.0796048808828,0.0,1.0,49500,0.004274874010717961,0.05,-0.17806281470651264,1.0,1,0.9406198565262969,0.9350623212829363,0.005557535243360556,0.001,10,0.0032963442883268135,0.005576742706121596,10,True
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.060222Z_d7a3df65096c_202609075,202609075,1e-05,1e-05,True,0,True,0,620,0.6104369140625,0,1.0,17468537,355,158,4999,True,49500,624,624,0.0,1.0,218.75056179775268,218.75056179775268,0.0,1.0,49500,0.004092045337807759,0.05,-0.11415339407055392,0.9,1,0.9496886970499154,0.9440773202402956,0.005611376809619872,0.001,10,0.005636141447973975,0.005582343330259321,10,True
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.060712Z_ae16767a3c06_202609076,202609076,1e-05,1e-05,True,0,True,0,600,0.589646484375,0,1.0,17586151,388,173,4999,True,49500,602,602,0.0,1.0,216.48984468339324,216.48984468339322,2.842170943040401e-14,1.0,49500,0.006087730123970008,0.05,0.18247852871659553,0.1,1,0.9339488804385983,0.928448324659407,0.005500555779191285,0.001,10,0.002612316514133628,0.005614389265145792,10,True
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.063698Z_09412417613e_202609077,202609077,1e-05,1e-05,True,0,True,0,639,0.629991015625,0,1.0,24155174,340,166,4999,True,49500,646,646,0.0,1.0,222.4498933901915,222.44989339019148,2.842170943040401e-14,1.0,49500,0.0044622860342345225,0.05,0.05175036896483576,0.2,1,0.9418749201302739,0.9373131801504854,0.004561739979788482,0.001,10,0.0028690091350026094,0.0045229532659328605,10,True
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.063911Z_2fc5a36206e2_202609078,202609078,1e-05,1e-05,True,0,True,0,621,0.6150205078125,0,1.0,15705520,378,180,4999,True,49500,627,627,0.0,1.0,221.98136645962725,221.98136645962725,0.0,1.0,49500,0.0052077958376333,0.05,-0.14715818879830067,0.9,1,0.9434652617695184,0.9394491590271875,0.004016102742330885,0.001,10,0.0032015496014002665,0.00407127404700014,10,True
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.064871Z_94e027f2582c_202609079,202609079,1e-05,1e-05,True,0,True,0,584,0.589190625,0,1.0,13474998,390,155,4999,True,49500,587,587,0.0,1.0,214.68473520249321,214.68473520249324,-2.842170943040401e-14,1.0,49500,0.0043367224880382785,0.05,0.026535452750760413,0.5,1,0.9451763690483046,0.9381119590724524,0.007064409975852226,0.001,10,0.004324236090441513,0.007094648443829577,10,True
sweeps/phase2_opcode_js_temporal/runs/20260905T164009.857017Z_12bf232a9832_202609070,202609070,1e-05,1e-05,True,0,True,0,628,0.619302734375,0,1.0,14531333,366,176,4999,True,49500,633,633,0.0,1.0,221.00882515168126,221.00882515168124,2.842170943040401e-14,1.0,49500,0.0026269665559692738,0.05,0.01914324021430147,0.4,8,0.9311182483027853,0.9296905118536579,0.0014277364491274147,0.001,10,0.001372554605137566,0.0014185353141502265,9,True
sweeps/phase2_opcode_js_temporal/runs/20260905T164009.856991Z_ecc30c19bee8_202609071,202609071,1e-05,1e-05,True,0,True,0,612,0.6066669921875,0,1.0,22546826,378,171,4999,True,49500,615,615,0.0,1.0,223.14159292035416,223.14159292035416,0.0,1.0,49500,0.002249749031980495,0.05,-0.12118987021952776,0.9,8,0.9214752765138838,0.9226067277987434,-0.001131451284859586,0.997,10,0.0009522377717105512,-0.0011533920064152104,1,True
sweeps/phase2_opcode_js_temporal/runs/20260905T164009.857008Z_0f54069a124f_202609072,202609072,1e-05,1e-05,True,0,True,0,596,0.59016484375,0,1.0,39448554,370,149,4999,True,49500,601,601,0.0,1.0,219.30843958712828,219.30843958712825,2.842170943040401e-14,1.0,49500,0.0016045636721113109,0.05,0.019854266589026892,0.2,8,0.9192157581954733,0.918624325744645,0.0005914324508282665,0.103,10,0.0006498797499670417,0.000556345816663506,8,True
