run_dir,seed,radius,tick,window,observed,null_mean,excess,p_value
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.050701Z_fcf61fbf0737_202609070,202609070,1,0,earlier,0.9683314532948065,0.9683473585046405,-1.590520983396626e-05,0.52
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.050701Z_fcf61fbf0737_202609070,202609070,1,500,earlier,0.9539981733446551,0.9528091146100376,0.0011890587346174986,0.07
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.050701Z_fcf61fbf0737_202609070,202609070,1,1000,earlier,0.9524323674651878,0.9513163342189974,0.0011160332461903621,0.04
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.050701Z_fcf61fbf0737_202609070,202609070,1,1500,earlier,0.9497151117053664,0.9496586497533555,5.646195201092219e-05,0.45
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.050701Z_fcf61fbf0737_202609070,202609070,1,2000,earlier,0.9470989260282887,0.9455790588412372,0.001519867187051549,0.04
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.050701Z_fcf61fbf0737_202609070,202609070,1,2500,earlier,0.9496412950540436,0.9459562815280245,0.003685013526019132,0.01
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.050701Z_fcf61fbf0737_202609070,202609070,1,3000,earlier,0.9465060857075684,0.9421665978124755,0.004339487895092975,0.01
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.050701Z_fcf61fbf0737_202609070,202609070,1,3500,earlier,0.9451001293608398,0.9412894602483318,0.003810669112507936,0.01
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.050701Z_fcf61fbf0737_202609070,202609070,1,4000,earlier,0.9471698934584217,0.9433831885990469,0.003786704859374823,0.01
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.050701Z_fcf61fbf0737_202609070,202609070,1,4500,earlier,0.9420898871675781,0.9397188627642233,0.0023710244033547934,0.02
sweeps/phase2_opcode_js_temporal/runs/20260905T071012.050701Z_fcf61fbf0737_202609070,202609070,1,5000,earlier,0.9403727697632169,0.93573088673764,0.004641883025576887,0.01
