seed,run_dir,tick,occupied,exact_count,near_count,opcode_count,exact_fraction,near_fraction,opcode_fraction
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,0,51,12,12,15,0.23529411764705882,0.23529411764705882,0.29411764705882354
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,1,51,9,9,20,0.17647058823529413,0.17647058823529413,0.39215686274509803
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,2,51,10,10,21,0.19607843137254902,0.19607843137254902,0.4117647058823529
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,3,51,11,11,23,0.21568627450980393,0.21568627450980393,0.45098039215686275
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,4,51,15,15,25,0.29411764705882354,0.29411764705882354,0.49019607843137253
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,5,51,15,18,27,0.29411764705882354,0.35294117647058826,0.5294117647058824
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,6,51,15,18,29,0.29411764705882354,0.35294117647058826,0.5686274509803921
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,7,51,13,18,25,0.2549019607843137,0.35294117647058826,0.49019607843137253
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,8,51,18,23,29,0.35294117647058826,0.45098039215686275,0.5686274509803921
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,9,51,19,24,34,0.37254901960784315,0.47058823529411764,0.6666666666666666
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,10,51,19,21,40,0.37254901960784315,0.4117647058823529,0.7843137254901961
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,11,51,19,22,39,0.37254901960784315,0.43137254901960786,0.7647058823529411
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,12,51,25,26,45,0.49019607843137253,0.5098039215686274,0.8823529411764706
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,13,51,24,25,47,0.47058823529411764,0.49019607843137253,0.9215686274509803
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,14,51,28,28,46,0.5490196078431373,0.5490196078431373,0.9019607843137255
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,15,51,26,27,46,0.5098039215686274,0.5294117647058824,0.9019607843137255
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,16,51,21,22,46,0.4117647058823529,0.43137254901960786,0.9019607843137255
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,17,51,25,25,48,0.49019607843137253,0.49019607843137253,0.9411764705882353
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,18,51,26,28,45,0.5098039215686274,0.5490196078431373,0.8823529411764706
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,19,51,25,25,50,0.49019607843137253,0.49019607843137253,0.9803921568627451
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,20,51,27,27,51,0.5294117647058824,0.5294117647058824,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,21,51,24,24,51,0.47058823529411764,0.47058823529411764,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,22,51,27,27,51,0.5294117647058824,0.5294117647058824,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,23,51,26,26,51,0.5098039215686274,0.5098039215686274,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,24,51,27,27,51,0.5294117647058824,0.5294117647058824,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,25,51,27,27,51,0.5294117647058824,0.5294117647058824,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,26,51,23,23,51,0.45098039215686275,0.45098039215686275,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,27,51,26,26,51,0.5098039215686274,0.5098039215686274,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,28,51,23,23,51,0.45098039215686275,0.45098039215686275,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,29,51,22,22,51,0.43137254901960786,0.43137254901960786,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,30,51,24,24,51,0.47058823529411764,0.47058823529411764,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,31,51,25,25,51,0.49019607843137253,0.49019607843137253,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,32,51,20,20,51,0.39215686274509803,0.39215686274509803,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,33,51,24,24,51,0.47058823529411764,0.47058823529411764,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,34,51,26,26,51,0.5098039215686274,0.5098039215686274,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,35,51,22,22,51,0.43137254901960786,0.43137254901960786,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,36,51,23,23,51,0.45098039215686275,0.45098039215686275,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,37,51,30,30,51,0.5882352941176471,0.5882352941176471,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,38,51,32,32,51,0.6274509803921569,0.6274509803921569,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,39,51,29,29,51,0.5686274509803921,0.5686274509803921,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,40,51,31,31,51,0.6078431372549019,0.6078431372549019,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,41,51,28,28,51,0.5490196078431373,0.5490196078431373,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,42,51,23,23,51,0.45098039215686275,0.45098039215686275,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,43,51,26,26,51,0.5098039215686274,0.5098039215686274,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,44,51,23,23,51,0.45098039215686275,0.45098039215686275,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,45,51,27,27,51,0.5294117647058824,0.5294117647058824,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,46,51,28,28,51,0.5490196078431373,0.5490196078431373,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,47,51,27,27,51,0.5294117647058824,0.5294117647058824,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,48,51,23,23,51,0.45098039215686275,0.45098039215686275,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,49,51,25,25,51,0.49019607843137253,0.49019607843137253,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,50,51,26,26,51,0.5098039215686274,0.5098039215686274,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,51,51,23,23,51,0.45098039215686275,0.45098039215686275,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,52,51,21,21,51,0.4117647058823529,0.4117647058823529,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,53,51,25,25,51,0.49019607843137253,0.49019607843137253,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,54,51,20,20,51,0.39215686274509803,0.39215686274509803,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,55,51,24,24,51,0.47058823529411764,0.47058823529411764,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,56,51,27,27,51,0.5294117647058824,0.5294117647058824,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,57,51,29,29,51,0.5686274509803921,0.5686274509803921,1.0
202608269,sweeps/phase2_parasite_positive_control/mechanics/seed_202608269,58,51,27,27,51,0.5294117647058824,0.5294117647058824,1.0
