run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,radius
sweeps/phase2_radius_pilot/runs/20260826T025420.821676Z_54c5cc5c21b2_202608260,202608260,1e-05,1e-05,True,0,True,0,784,0.7669453125,0,1.0,1720759,41,6,499,True,4900,785,785,0.0,1.0,237.83288305673352,237.83288305673344,8.526512829121202e-14,1.0,4500,0.006526224518103629,0.001,-0.12558112555696077,0.956,1
sweeps/phase2_radius_pilot/runs/20260826T025420.824212Z_df515fe45150_202608261,202608261,1e-05,1e-05,True,0,True,0,785,0.7672421875,0,1.0,810451,47,13,499,True,4900,785,785,0.0,1.0,238.5694928377844,238.56949283778437,2.842170943040401e-14,1.0,4500,0.004396131604012039,0.001,0.05029978071763708,0.263,1
sweeps/phase2_radius_pilot/runs/20260826T025420.824836Z_feb25633d049_202608262,202608262,1e-05,1e-05,True,0,True,0,792,0.7754296875,0,1.0,1024346,32,5,499,True,4900,794,794,0.0,1.0,240.25762195121936,240.2576219512194,-2.842170943040401e-14,1.0,4500,0.007028129151004505,0.001,-0.01939685685461434,0.589,1
sweeps/phase2_radius_pilot/runs/20260826T025420.824822Z_611269108d09_202608263,202608263,1e-05,1e-05,True,0,True,0,772,0.754634765625,0,1.0,2457412,59,12,499,True,4900,772,772,0.0,1.0,234.45476003147118,234.4547600314712,-2.842170943040401e-14,1.0,4500,0.0041657599240968205,0.001,0.1550261600273366,0.034,1
sweeps/phase2_radius_pilot/runs/20260826T025420.825181Z_969954bef0ac_202608264,202608264,1e-05,1e-05,True,0,True,0,801,0.78368359375,0,1.0,3688429,35,18,499,True,4900,802,802,0.0,1.0,239.28720238095306,239.2872023809531,-2.842170943040401e-14,1.0,4500,0.005017625765757894,0.001,0.2165557651475538,0.007,1
sweeps/phase2_radius_pilot/runs/20260826T030317.867725Z_76b974e128c5_202608260,202608260,1e-05,1e-05,True,0,True,0,784,0.7669453125,0,1.0,830869,41,6,499,True,4900,785,785,0.0,1.0,237.83288305673352,237.83288305673344,8.526512829121202e-14,1.0,4500,0.014934175026177495,0.001,0.05788140347840098,0.236,2
sweeps/phase2_radius_pilot/runs/20260826T030317.867721Z_a86851b15591_202608261,202608261,1e-05,1e-05,True,0,True,0,785,0.7672421875,0,1.0,1886975,47,13,499,True,4900,785,785,0.0,1.0,238.5694928377844,238.56949283778437,2.842170943040401e-14,1.0,4500,0.01637529957842458,0.001,0.1259994379063567,0.061,2
sweeps/phase2_radius_pilot/runs/20260826T030317.871253Z_b5796a752d22_202608262,202608262,1e-05,1e-05,True,0,True,0,792,0.7754296875,0,1.0,2117927,32,5,499,True,4900,794,794,0.0,1.0,240.25762195121936,240.2576219512194,-2.842170943040401e-14,1.0,4500,0.02077069481460416,0.001,0.22026293327255253,0.008,2
sweeps/phase2_radius_pilot/runs/20260826T030317.871254Z_ede4e36fd053_202608263,202608263,1e-05,1e-05,True,0,True,0,772,0.754634765625,0,1.0,2488383,59,12,499,True,4900,772,772,0.0,1.0,234.45476003147118,234.4547600314712,-2.842170943040401e-14,1.0,4500,0.01810470688730629,0.001,0.04392603557599983,0.281,2
sweeps/phase2_radius_pilot/runs/20260826T030317.872558Z_62d1e6e8726f_202608264,202608264,1e-05,1e-05,True,0,True,0,801,0.78368359375,0,1.0,1202742,35,18,499,True,4900,802,802,0.0,1.0,239.28720238095306,239.2872023809531,-2.842170943040401e-14,1.0,4500,0.014237208354638556,0.001,0.18014419771583157,0.015,2
