run_dir,seed,condition,exit_status,source_commit,reproducible_loader_warning,final_host_count,final_species_richness,final_tick,final_total,host_species,initial_host_count,initial_total,maximum_host_count,maximum_total,final_parasite_count,final_parasite_fraction,initial_parasite_count,maximum_parasite_count,maximum_parasite_fraction,parasite_species
experiments/stringmol/runs/candidate-validation/host-only/seed_202608310,202608310,host-only,success,15dad84da126a4f887ba945c23a13e89e827f067,False,709.0,74,4900,1600,1.0,140.0,140,1497.0,1600,,,,,,
experiments/stringmol/runs/candidate-validation/mixed/seed_202608310,202608310,mixed,success,15dad84da126a4f887ba945c23a13e89e827f067,False,125.0,47,4900,1600,1.0,140.0,150,824.0,1600,67.0,0.041875,10.0,661.0,0.4141604010025063,2.0
experiments/stringmol/runs/candidate-validation/parasite-only/seed_202608310,202608310,parasite-only,success,15dad84da126a4f887ba945c23a13e89e827f067,False,,1,4000,2,,,10,,10,2.0,1.0,10.0,10.0,1.0,1.0
experiments/stringmol/runs/candidate-validation/host-only/seed_202608311,202608311,host-only,success,15dad84da126a4f887ba945c23a13e89e827f067,False,14.0,70,4900,1384,1.0,140.0,140,1425.0,1600,,,,,,
experiments/stringmol/runs/candidate-validation/mixed/seed_202608311,202608311,mixed,success,15dad84da126a4f887ba945c23a13e89e827f067,False,0.0,84,4900,1595,1.0,140.0,150,756.0,1600,2.0,0.0012539184952978057,10.0,831.0,0.519375,2.0
experiments/stringmol/runs/candidate-validation/parasite-only/seed_202608311,202608311,parasite-only,success,15dad84da126a4f887ba945c23a13e89e827f067,False,,1,3000,2,,,10,,10,2.0,1.0,10.0,10.0,1.0,1.0
experiments/stringmol/runs/candidate-validation/host-only/seed_202608312,202608312,host-only,success,15dad84da126a4f887ba945c23a13e89e827f067,False,355.0,31,4900,1600,1.0,140.0,140,1352.0,1600,,,,,,
experiments/stringmol/runs/candidate-validation/mixed/seed_202608312,202608312,mixed,success,15dad84da126a4f887ba945c23a13e89e827f067,False,190.0,60,4900,1600,1.0,140.0,150,736.0,1600,1111.0,0.694375,10.0,1111.0,0.694375,2.0
experiments/stringmol/runs/candidate-validation/parasite-only/seed_202608312,202608312,parasite-only,success,15dad84da126a4f887ba945c23a13e89e827f067,False,,1,4000,2,,,10,,10,2.0,1.0,10.0,10.0,1.0,1.0
experiments/stringmol/runs/candidate-validation/host-only/seed_202608313,202608313,host-only,success,15dad84da126a4f887ba945c23a13e89e827f067,False,27.0,143,4900,1459,1.0,140.0,140,1498.0,1600,,,,,,
experiments/stringmol/runs/candidate-validation/mixed/seed_202608313,202608313,mixed,success,15dad84da126a4f887ba945c23a13e89e827f067,False,199.0,44,4900,1595,1.0,140.0,150,762.0,1600,1280.0,0.8025078369905956,10.0,1280.0,0.8025078369905956,2.0
