run_dir,seed,exit_status,source_commit,reproducible_loader_warning,initial_total,final_total,initial_exact_r,max_exact_r,final_exact_r,max_exact_r_fraction,final_exact_r_fraction,max_ancestry_fraction,final_ancestry_fraction,final_ancestry_count,family_species_count,reached_90pct,exact_r_increased,population_persisted
experiments/stringmol/runs/global-positive-control/mixed/seed_202608320,202608320,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,1552,10,641,1,0.423841059602649,0.0006443298969072165,0.9948453608247423,0.9948453608247423,1544,169,True,True,True
experiments/stringmol/runs/global-positive-control/mixed/seed_202608321,202608321,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,859,10,1195,647,0.7711726384364821,0.7532013969732246,0.9642857142857143,0.9639115250291036,828,168,True,True,True
experiments/stringmol/runs/global-positive-control/mixed/seed_202608322,202608322,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,747,10,1276,613,0.8261327713382508,0.820615796519411,0.9759036144578314,0.9759036144578314,729,138,True,True,True
experiments/stringmol/runs/global-positive-control/mixed/seed_202608323,202608323,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,787,10,1175,615,0.7893462469733656,0.7814485387547649,0.9693251533742331,0.9682337992376112,762,147,True,True,True
experiments/stringmol/runs/global-positive-control/mixed/seed_202608324,202608324,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,148,10,780,1,0.4875,0.006756756756756757,0.9987046632124352,0.9932432432432432,147,430,True,True,True
experiments/stringmol/runs/global-positive-control/mixed/seed_202608325,202608325,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,770,10,1288,650,0.8487084870848709,0.8441558441558441,0.9701298701298702,0.9701298701298702,747,146,True,True,True
experiments/stringmol/runs/global-positive-control/mixed/seed_202608326,202608326,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,690,10,1163,525,0.7623626373626373,0.7608695652173914,1.0,1.0,690,195,True,True,True
experiments/stringmol/runs/global-positive-control/mixed/seed_202608327,202608327,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,1129,10,1087,339,0.680651221039449,0.30026572187776795,0.9846278317152104,0.9840566873339238,1111,142,True,True,True
experiments/stringmol/runs/global-positive-control/mixed/seed_202608328,202608328,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,830,10,1339,714,0.8741935483870967,0.8602409638554217,0.9653179190751445,0.9650602409638555,801,136,True,True,True
experiments/stringmol/runs/global-positive-control/mixed/seed_202608329,202608329,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,252,10,848,1,0.53,0.003968253968253968,1.0,1.0,252,395,True,True,True
