run_dir,seed,exit_status,source_commit,reproducible_loader_warning,initial_total,final_total,initial_exact_r,max_exact_r,final_exact_r,max_exact_r_fraction,final_exact_r_fraction,max_ancestry_fraction,final_ancestry_fraction,final_ancestry_count,family_species_count,reached_90pct,exact_r_increased,population_persisted
experiments/stringmol/runs/local-treatment/mixed/seed_202608320,202608320,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,976,10,344,342,0.3543388429752066,0.35040983606557374,0.3853305785123967,0.382172131147541,373,52,False,True,True
experiments/stringmol/runs/local-treatment/mixed/seed_202608321,202608321,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,903,10,96,32,0.2103960396039604,0.035437430786267994,0.2301980198019802,0.04983388704318937,45,37,False,True,True
experiments/stringmol/runs/local-treatment/mixed/seed_202608322,202608322,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,969,10,278,272,0.288981288981289,0.2807017543859649,0.4074844074844075,0.3942208462332301,382,65,False,True,True
experiments/stringmol/runs/local-treatment/mixed/seed_202608323,202608323,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,1168,10,244,237,0.23016905071521457,0.2029109589041096,0.25637910085054677,0.24914383561643835,291,58,False,True,True
experiments/stringmol/runs/local-treatment/mixed/seed_202608324,202608324,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,1262,10,217,216,0.24011713030746706,0.17115689381933438,0.29428989751098095,0.277337559429477,350,75,False,True,True
experiments/stringmol/runs/local-treatment/mixed/seed_202608325,202608325,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,994,10,261,258,0.26443768996960487,0.2595573440643863,0.3576494427558257,0.3460764587525151,344,52,False,True,True
experiments/stringmol/runs/local-treatment/mixed/seed_202608326,202608326,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,1093,10,150,68,0.16799091940976163,0.06221408966148216,0.6733760292772186,0.6733760292772186,736,86,False,True,True
experiments/stringmol/runs/local-treatment/mixed/seed_202608327,202608327,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,1277,10,396,396,0.3101018010963195,0.3101018010963195,0.3547376664056382,0.3547376664056382,453,63,False,True,True
experiments/stringmol/runs/local-treatment/mixed/seed_202608328,202608328,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,1442,10,292,292,0.22727272727272727,0.20249653259361997,0.24800637958532695,0.23647711511789182,341,47,False,True,True
experiments/stringmol/runs/local-treatment/mixed/seed_202608329,202608329,success,15dad84da126a4f887ba945c23a13e89e827f067,False,150,1294,10,213,213,0.1814814814814815,0.16460587326120557,0.23338485316846985,0.23338485316846985,302,60,False,True,True
