epoch,brotli_size,soup_size,higher_entropy
1,8388751,131072,-0.000163
129,8210159,131072,0.168749
257,8100466,131072,0.269967
385,8032467,131072,0.329328
513,7990712,131072,0.361678
641,7969538,131072,0.372936
769,7958830,131072,0.371369
897,7951908,131072,0.365482
1025,7938654,131072,0.364536
1153,7942945,131072,0.346109
1281,7943969,131072,0.330081
1409,7935136,131072,0.321608
1537,7929789,131072,0.310344
1665,7927239,131072,0.296573
1793,7921478,131072,0.286303
1921,7913651,131072,0.278274
2049,7911790,131072,0.263233
2177,7900584,131072,0.257565
2305,7893387,131072,0.247353
2433,4583222,131072,1.827810
2561,5425277,131072,0.722102
2689,5798850,131072,0.450827
2817,3254083,131072,2.533667
2945,1334121,131072,4.123696
3073,1428223,131072,4.150882
3201,1454234,131072,4.262331
3329,1468840,131072,4.372946
3457,1461126,131072,4.500578
3585,1452374,131072,4.612093
3713,1484275,131072,4.680878
3841,1475079,131072,4.778252
3969,1472799,131072,4.847848
4097,1467720,131072,4.934182
4225,1478227,131072,4.987765
4353,1496750,131072,5.039464
4481,1513233,131072,5.085128
4609,1522664,131072,5.138349
4737,1527497,131072,5.197000
4865,1509735,131072,5.250152
4993,1511400,131072,5.286302
5121,1503234,131072,5.332264
5249,1496592,131072,5.390225
5377,1512205,131072,5.409838
5505,1517677,131072,5.428535
5633,1524977,131072,5.453339
5761,1533906,131072,5.479933
5889,1532346,131072,5.502845
6017,1546466,131072,5.501125
6145,1520488,131072,5.547096
6273,1539369,131072,5.563342
6401,1538991,131072,5.601615
6529,1530096,131072,5.633631
6657,1531555,131072,5.664545
6785,1540397,131072,5.668917
6913,1515597,131072,5.711487
7041,1530460,131072,5.704557
7169,1518010,131072,5.740615
7297,1545244,131072,5.737383
7425,1541214,131072,5.748321
7553,1564942,131072,5.726771
7681,1540076,131072,5.771606
7809,1537124,131072,5.785864
7937,1534061,131072,5.789865
8065,1532137,131072,5.810709
8193,1527551,131072,5.813040
8321,1520059,131072,5.815629
8449,1528237,131072,5.822351
8577,1521788,131072,5.842205
8705,1520554,131072,5.866032
8833,1527349,131072,5.868950
8961,1536452,131072,5.879516
9089,1528143,131072,5.886168
9217,1531540,131072,5.893571
9345,1517212,131072,5.904155
9473,1528532,131072,5.903996
9601,1541784,131072,5.903503
9729,1520752,131072,5.922646
9857,1536158,131072,5.931829
9985,1525609,131072,5.939228
10113,1514014,131072,5.957505
10241,1534892,131072,5.929102
10369,1530961,131072,5.946719
10497,1547232,131072,5.923331
10625,1535726,131072,5.936624
10753,1534656,131072,5.947565
10881,1543648,131072,5.942037
11009,1544874,131072,5.932430
11137,1514397,131072,5.978354
11265,1518745,131072,5.988292
11393,1543727,131072,5.953870
11521,1545515,131072,5.942382
11649,1550311,131072,5.950378
11777,1560214,131072,5.943491
11905,1540375,131072,5.972437
12033,1531726,131072,5.988847
12161,1538614,131072,5.990670
12289,1543928,131072,5.983862
12417,1554460,131072,5.972409
12545,1541936,131072,5.998709
12673,1536499,131072,6.008965
12801,1576812,131072,5.970068
12929,1576211,131072,5.968846
13057,1585787,131072,5.953375
13185,1583338,131072,5.962392
13313,1563658,131072,5.996470
13441,1583109,131072,5.975808
13569,1589446,131072,5.975451
13697,1586076,131072,5.976715
13825,1600675,131072,5.961037
13953,1607038,131072,5.950012
14081,1587592,131072,5.968749
14209,1608912,131072,5.949385
14337,1597506,131072,5.956984
14465,1597369,131072,5.959188
14593,1580801,131072,5.993481
14721,1588136,131072,5.983754
14849,1598643,131072,5.966110
14977,1596792,131072,5.949700
15105,1581092,131072,5.988534
15233,1576188,131072,5.995301
15361,1554175,131072,6.019724
15489,1539101,131072,6.030655
15617,1531180,131072,6.054636
15745,1546605,131072,6.027193
15873,1550803,131072,6.034967
16001,1541747,131072,6.029487
