run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,energy_influx_rate,max_relative_energy_error,final_field_energy,final_tape_energy,final_mean_tape_energy,final_dissipated_energy,final_cumulative_influx,dissipated_fraction,starvation_deaths,energy_feasible,birth_energy_cost,births,blocked_energy,blocked_pool,max_lineage_depth,birth_mechanical_feasible
sweeps/stage3_energy_birth/runs/20260907T033508.017963Z_5b3b7825c175_202609150,202609150,1e-05,1e-05,True,0,True,0,819,0.841220703125,0,1.0,177054,51,15,499,True,4900,864,864,0.0,1.0,243.95294117647055,243.95294117647055,0.0,1.0,4000,0.01014971934168637,0.05,0.12297220480851578,0.05,1024.0,1.5978912415448575e-11,74436.8796306974,4407.749999999933,5.083910034602,5041155.370287491,5120000.0,0.9846006582592756,0,True,0.0,84,0,0,2,True
sweeps/stage3_energy_birth/runs/20260907T033508.018948Z_c67b5a4f6b52_202609151,202609151,1e-05,1e-05,True,0,True,0,813,0.8489296875,0,1.0,170079,40,5,499,True,4900,872,871,0.0003363605785401951,0.05,245.42486900965181,245.0536190168249,0.37124999282690396,0.05,4000,0.011642586338728176,0.05,-0.001842815704574008,0.55,1024.0,1.7555976228322835e-11,75950.71916788812,4787.169999999953,5.502494252873509,5039262.110742225,5120000.0,0.9842308810043409,0,True,0.0,86,0,0,2,True
sweeps/stage3_energy_birth/runs/20260907T033508.019861Z_cde843bbbffd_202609152,202609152,1e-05,1e-05,True,0,True,0,818,0.841115234375,0,1.0,162302,46,14,499,True,4900,863,863,0.0,1.0,244.42697735477503,244.426977354775,2.842170943040401e-14,1.0,4000,0.009356413421613736,0.05,0.008824806407837116,0.5,1024.0,1.766129571478814e-11,76924.46581422306,4982.739999999918,5.753741339491822,5038092.794095351,5120000.0,0.9840024988467483,0,True,0.0,79,0,0,2,True
sweeps/stage3_energy_birth/runs/20260907T033508.023756Z_da03138c8629_202609153,202609153,1e-05,1e-05,True,0,True,0,817,0.8327109375,0,1.0,162298,40,8,499,True,4900,854,854,0.0,1.0,243.59251837007392,243.59251837007392,0.0,1.0,4000,0.009047240167205015,0.05,0.13267532967437923,0.15,1024.0,1.55991074279882e-11,75109.16387688639,4327.549999999957,5.067388758782152,5040563.286043246,5120000.0,0.9844850168053215,0,True,0.0,67,0,0,2,True
sweeps/stage3_energy_birth/runs/20260907T033508.024093Z_0b50ce71e7d8_202609154,202609154,1e-05,1e-05,True,0,True,0,818,0.86019140625,0,1.0,168518,39,15,499,True,4900,884,884,0.0,1.0,247.13978494623777,247.1397849462377,5.684341886080802e-14,1.0,4000,0.013728416280796012,0.05,0.18545309696778034,0.05,1024.0,1.8909486243501305e-11,75666.47096478769,4936.6300000000165,5.584423076923095,5039396.898938396,5120000.0,0.9842572068239055,0,True,0.0,89,0,0,3,True
sweeps/stage3_energy_birth/runs/20260907T033508.026537Z_d554bf8ae312_202609155,202609155,1e-05,1e-05,True,0,True,0,816,0.8170546875,0,1.0,188893,41,6,499,True,4900,838,838,0.0,1.0,242.99100346020748,242.99100346020742,5.684341886080802e-14,1.0,4000,0.009378648214806887,0.05,0.033332985638795165,0.3,1024.0,1.7417005437891932e-11,76708.84914423975,4561.519999999921,5.43038095238086,5038729.6307665855,5120000.0,0.9841268810090987,0,True,0.0,56,0,0,2,True
sweeps/stage3_energy_birth/runs/20260907T033508.027776Z_21994b5aaf0b_202609156,202609156,1e-05,1e-05,True,0,True,0,819,0.84925390625,0,1.0,187275,56,8,499,True,4900,871,871,0.0,1.0,245.7534823453195,245.75348234531953,-2.842170943040401e-14,1.0,4000,0.011966956254741175,0.05,0.12673469290506922,0.15,1024.0,1.6809462977107613e-11,74607.24383841928,4550.039999999975,5.2239265212399255,5040842.716075516,5120000.0,0.9845395929834992,0,True,0.0,100,0,0,3,True
sweeps/stage3_energy_birth/runs/20260907T033508.029548Z_091d4ccd7528_202609157,202609157,1e-05,1e-05,True,0,True,0,819,0.8515625,0,1.0,177157,44,11,499,True,4900,870,870,0.0,1.0,245.42801556420295,245.42801556420292,2.842170943040401e-14,1.0,4000,0.009857178832248084,0.05,0.07932263229268344,0.2,1024.0,1.6247395251411945e-11,74701.98271064847,4617.209999999979,5.30713793103446,5040680.807206165,5120000.0,0.9845079701574541,0,True,0.0,84,0,0,3,True
sweeps/stage3_energy_birth/runs/20260907T033508.029552Z_3d50c362ce31_202609158,202609158,1e-05,1e-05,True,0,True,0,819,0.8535390625,0,1.0,189873,42,12,499,True,4900,875,875,0.0,1.0,246.1025393764069,246.10253937640687,2.842170943040401e-14,1.0,4000,0.010777486619090098,0.05,-0.0100044327180413,0.5,1024.0,1.7753700376488267e-11,75214.79875871676,4595.709999999986,5.2522399999999845,5040189.491150385,5120000.0,0.9844120099903095,0,True,0.0,86,0,0,2,True
sweeps/stage3_energy_birth/runs/20260907T033508.032439Z_c91e11945002_202609159,202609159,1e-05,1e-05,True,0,True,0,816,0.82798046875,0,1.0,158959,48,7,499,True,4900,848,848,0.0,1.0,242.77650236326755,242.77650236326755,0.0,1.0,4000,0.0102421979976911,0.05,0.06976300523163381,0.3,1024.0,1.7201455193571746e-11,77084.64397139588,4724.879999999976,5.5717924528301594,5038190.475940533,5120000.0,0.9840215773321354,0,True,0.0,70,0,0,2,True
