run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,stop_tick,births,max_lineage_depth,switch_family_excess,final_family_excess,final_family_p,final_root_excess,retention_ratio,persistence_feasible
sweeps/stage3_lineage_persistence/runs/20260907T034041.850073Z_8e9ff52406bf_202609160,202609160,1e-05,1e-05,True,0,True,0,819,0.9651982421875,0,1.0,6897208,196,27,1999,True,19900,990,989,0.00026123301985370953,0.05,253.4253052926339,253.42530529263394,-2.842170943040401e-14,1.0,19000,0.014097064564356708,0.05,0.04989219319806715,0.25,0,339,4,0.04479525666954123,0.07608215385839599,0.002,0.07946472172776108,1.6984421904234441,False
sweeps/stage3_lineage_persistence/runs/20260907T034041.857527Z_3d9c1d61a7f1_202609161,202609161,1e-05,1e-05,True,0,True,0,819,0.99253564453125,201,1.0,5577221,198,18,1999,True,19900,1023,1023,0.0,1.0,255.93763756419693,255.93763756419693,0.0,1.0,19000,0.018283070262117743,0.05,-0.05482409614868722,0.7,0,384,4,0.05298006940246288,0.0846139441309233,0.002,0.08926850495137134,1.5970900960539296,False
sweeps/stage3_lineage_persistence/runs/20260907T034041.865510Z_f1db2c341b43_202609162,202609162,1e-05,1e-05,True,0,True,0,819,0.9779951171875,0,1.0,7750203,190,18,1999,True,19900,1011,1010,0.00025043826696719256,0.05,254.86152730783635,254.8615273078364,-5.684341886080802e-14,1.0,19000,0.016663781163434904,0.05,0.4261777889507883,0.05,0,365,4,0.04449693279689149,0.08228829309006191,0.002,0.0873375140163628,1.8493025904880007,False
sweeps/stage3_lineage_persistence/runs/20260907T034041.866263Z_f28343722e28_202609163,202609163,1e-05,1e-05,True,0,True,0,818,0.97839794921875,0,1.0,5788841,191,24,1999,True,19900,1015,1015,0.0,1.0,255.44879742127276,255.44879742127273,2.842170943040401e-14,1.0,19000,0.013681028253852489,0.05,0.025888137686413515,0.35,0,366,3,0.05210062556579188,0.08591835758993137,0.002,0.08592040720501114,1.6490849516084019,False
sweeps/stage3_lineage_persistence/runs/20260907T034041.866895Z_1f69ffea3873_202609164,202609164,1e-05,1e-05,True,0,True,0,818,0.977314453125,0,1.0,4516497,215,19,1999,True,19900,1013,1012,0.0002494387627837366,0.05,255.27791764515814,254.98025485942608,0.29766278573205796,0.05,19000,0.013293333694503886,0.05,0.0655064050971994,0.2,0,392,4,0.04308707804279845,0.08062520651180137,0.002,0.0943630599994234,1.8712154588834324,False
sweeps/stage3_lineage_persistence/runs/20260907T034041.868162Z_8ce34b7a83c8_202609165,202609165,1e-05,1e-05,True,0,True,0,819,0.96333349609375,0,1.0,5800866,186,22,1999,True,19900,993,993,0.0,1.0,253.8092664092662,253.80926640926623,-2.842170943040401e-14,1.0,19000,0.015271757825937394,0.05,0.3020470464583056,0.05,0,340,4,0.03833222707334567,0.07401195535709174,0.002,0.08233585481288552,1.9308023824307348,False
sweeps/stage3_lineage_persistence/runs/20260907T034041.873744Z_ea99b8ee81d5_202609166,202609166,1e-05,1e-05,True,0,True,0,818,0.95543017578125,0,1.0,5454380,223,24,1999,True,19900,986,986,0.0,1.0,253.57224830464136,253.57224830464133,2.842170943040401e-14,1.0,19000,0.014274688643399942,0.05,0.2572113598343897,0.05,0,366,3,0.0487633542730521,0.08166477883302838,0.002,0.086087883422382,1.6747161890411313,False
sweeps/stage3_lineage_persistence/runs/20260907T034041.878815Z_b953041191c2_202609167,202609167,1e-05,1e-05,True,0,True,0,819,0.95844140625,0,1.0,4610980,185,18,1999,True,19900,993,993,0.0,1.0,253.9399948493431,253.93999484934307,2.842170943040401e-14,1.0,19000,0.012918037280701756,0.05,0.10198232786155259,0.1,0,344,4,0.054914117779795525,0.08461806730343804,0.002,0.08518044769301052,1.5409164478022708,False
sweeps/stage3_lineage_persistence/runs/20260907T034041.880341Z_545688416cdf_202609168,202609168,1e-05,1e-05,True,0,True,0,819,0.94238623046875,0,1.0,4320220,203,18,1999,True,19900,975,975,0.0,1.0,253.1624500665758,253.1624500665758,0.0,1.0,19000,0.012943637830207704,0.05,0.08239361964198544,0.2,0,344,3,0.03703560968090026,0.0724014759094895,0.002,0.08447467859654162,1.954915189281409,True
sweeps/stage3_lineage_persistence/runs/20260907T034041.880701Z_c6aede032b92_202609169,202609169,1e-05,1e-05,True,0,True,0,819,0.99101123046875,192,1.0,4826086,181,16,1999,True,19900,1023,1023,0.0,1.0,255.93763756419693,255.93763756419693,0.0,1.0,19000,0.01823898578895361,0.05,0.2381298200870532,0.05,0,370,4,0.03941551128614304,0.08007257175799742,0.002,0.08965571497408766,2.0314989998911375,False
