seed,window,start_tick,end_tick,sampled_reactions,changed_reactions,species,unique_species_fraction,singleton_species_fraction,recurrent_observation_fraction,identifiable,candidate_components,accepted_organizations,null_mean,null_p95,window_p
202609170,0,0,999,4597,148,1143,0.06216010441592343,0.06386701662292213,0.9960300195779856,True,43,0,0.0,0.0,1.0
202609170,1,1000,1999,4584,163,1279,0.06975349040139615,0.07036747458952307,0.9950916230366492,True,62,0,0.0,0.0,1.0
202609170,2,2000,2999,4640,151,1296,0.06982758620689655,0.05632716049382716,0.9960668103448276,True,49,0,0.0,0.0,1.0
202609170,3,3000,3999,4565,147,1297,0.07102957283680175,0.06939090208172706,0.9950711938663745,True,54,0,0.0,0.0,1.0
202609170,4,4000,4999,4605,139,1217,0.06606948968512487,0.05916187345932621,0.9960912052117263,True,46,1,0.0,0.0,0.005
202609171,0,0,999,4599,158,1168,0.06349206349206349,0.07277397260273973,0.9953794303109371,True,39,0,0.0,0.0,1.0
202609171,1,1000,1999,4676,123,1217,0.06506629597946963,0.025472473294987676,0.9983426005132592,True,33,0,0.0,0.0,1.0
202609171,2,2000,2999,4774,150,1478,0.07739840804356933,0.05615696887686062,0.9956535400083787,True,59,1,0.0,0.0,0.005
202609171,3,3000,3999,4758,172,1445,0.07592475830180748,0.07612456747404844,0.9942202606137033,True,55,2,0.0,0.0,0.005
202609171,4,4000,4999,4732,122,1453,0.07676458157227388,0.05437026841018582,0.9958262890955198,True,58,0,0.0,0.0,1.0
202609172,0,0,999,4626,152,1119,0.06047341115434501,0.05987488829311886,0.9963791612624298,True,46,1,0.0,0.0,0.005
202609172,1,1000,1999,4703,158,1232,0.06549011269402509,0.0625,0.9959068679566234,True,55,0,0.0,0.0,1.0
202609172,2,2000,2999,4783,142,1307,0.06831486514739703,0.04820198928844682,0.9967070876019235,True,47,1,0.0,0.0,0.005
202609172,3,3000,3999,4706,137,1322,0.07022949426264344,0.05521936459909228,0.9961219719507012,True,50,0,0.0,0.0,1.0
202609172,4,4000,4999,4655,89,1303,0.06997851772287862,0.039140445126630855,0.9972610096670247,True,48,0,0.0,0.0,1.0
