run_dir,seed,dissolution_rate,successful_exit,conserved,max_conservation_residual,invariant_failures,occupancy_10000,occupancy_19900,occupancy_change,late_mean_occupied_fraction,reproductive_births,dissolutions,placements,reproduction_blocked_pool,reproduction_blocked_no_space,max_lineage_depth,late_active_interaction_fraction,late_successful_writes,late_pool_changes,regulation_feasible
sweeps/stage3_population_regulation_pilot/runs/20260907T065424.557637Z_e22949631db0_202609180,202609180,2e-05,True,True,0,0,0.8173828125,0.8291015625,0.01171875,0.8276171875,350,365,43,0,0,3,1.0,13585929,4900,True
sweeps/stage3_population_regulation_pilot/runs/20260907T065424.562898Z_fd2615f88fcd_202609181,202609181,2e-05,True,True,0,0,0.80078125,0.791015625,-0.009765625,0.79748046875,300,347,38,0,0,3,1.0,14511930,4900,True
sweeps/stage3_population_regulation_pilot/runs/20260907T065424.563603Z_8941d49105df_202609182,202609182,2e-05,True,True,0,0,0.794921875,0.80859375,0.013671875,0.8121875,331,362,41,0,0,4,1.0,12779167,4900,True
sweeps/stage3_population_regulation_pilot/runs/20260907T075916.951576Z_8b663508ace1_202609180,202609180,3e-05,True,True,0,0,0.7470703125,0.6591796875,-0.087890625,0.6769140625,287,485,53,0,0,3,1.0,15232173,4900,False
sweeps/stage3_population_regulation_pilot/runs/20260907T075916.956646Z_507d409f5ba6_202609181,202609181,3e-05,True,True,0,0,0.7626953125,0.6923828125,-0.0703125,0.71890625,310,475,55,0,0,3,1.0,25900083,4900,False
sweeps/stage3_population_regulation_pilot/runs/20260907T075916.957274Z_609a8b42db58_202609182,202609182,3e-05,True,True,0,0,0.744140625,0.66796875,-0.076171875,0.69138671875,286,467,45,0,0,3,1.0,12939078,4900,False
sweeps/stage3_population_regulation_pilot/runs/20260907T090321.877920Z_beb4d90e2a0f_202609180,202609180,5e-05,True,True,0,0,0.5859375,0.4609375,-0.125,0.490703125,229,667,93,0,0,3,1.0,14864642,4900,False
sweeps/stage3_population_regulation_pilot/runs/20260907T090321.878248Z_822d3f23915c_202609181,202609181,5e-05,True,True,0,0,0.5966796875,0.498046875,-0.0986328125,0.51267578125,247,648,88,0,0,4,1.0,16435643,4900,False
sweeps/stage3_population_regulation_pilot/runs/20260907T090321.877864Z_a51207bcfdde_202609182,202609182,5e-05,True,True,0,0,0.65234375,0.53515625,-0.1171875,0.56025390625,255,605,78,0,0,3,1.0,16896452,4900,False
sweeps/stage3_population_regulation_pilot/runs/20260907T105441.789318Z_03bde95ce2b2_202609180,202609180,0.0001,True,True,0,0,0.3974609375,0.2197265625,-0.177734375,0.25265625,200,904,111,0,0,3,1.0,10057994,4900,False
sweeps/stage3_population_regulation_pilot/runs/20260907T105441.789366Z_d2cdce8f38a2_202609181,202609181,0.0001,True,True,0,0,0.3642578125,0.205078125,-0.1591796875,0.23150390625,147,874,118,0,0,2,1.0,13777479,4900,False
sweeps/stage3_population_regulation_pilot/runs/20260907T105441.790653Z_646804f126ac_202609182,202609182,0.0001,True,True,0,0,0.40625,0.2216796875,-0.1845703125,0.246484375,180,887,115,0,0,2,1.0,23776907,4900,False
