run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,stop_tick,births,max_lineage_depth,switch_family_excess,final_family_excess,final_family_p,final_root_excess,retention_ratio,persistence_feasible,occupancy_10000,occupancy_19900,occupancy_change,reproductive_births,reproduction_blocked_pool,reproduction_blocked_no_space,regulation_feasible,stopped_persistence_feasible
sweeps/stage3_regulated_lineage_persistence/runs/20260907T212025.308461Z_0f21f6237af5_202609193,202609193,2e-05,1e-05,True,0,True,0,815,0.8075390625,0,1.0,18380654,348,41,4900,True,19900,838,837,0.0003650967506389193,0.05,242.42159256630543,242.42159256630546,-2.842170943040401e-14,1.0,19000,0.019693704476033833,0.05,0.16703173126552429,0.05,0,324,4,0.05098111520595042,0.08779954944573339,0.002,0.0940683703291925,1.7221975057047318,True,0.81640625,0.818359375,0.001953125,324,0,0,True,True
sweeps/stage3_regulated_lineage_persistence/runs/20260907T212025.310686Z_f5b0ffcf662c_202609194,202609194,2e-05,1e-05,True,0,True,0,819,0.84158203125,0,1.0,14063124,356,48,4900,True,19900,866,866,0.0,1.0,243.3341985723551,243.33419857235515,-5.684341886080802e-14,1.0,19000,0.014642437251121642,0.05,0.09309973089120938,0.1,0,355,5,0.04840232090772776,0.0871439642487701,0.002,0.09274139008500766,1.8004087947538272,True,0.8310546875,0.845703125,0.0146484375,355,0,0,True,True
sweeps/stage3_regulated_lineage_persistence/runs/20260907T212025.314655Z_797d7146318b_202609195,202609195,2e-05,1e-05,True,0,True,0,819,0.8509765625,0,1.0,15748911,335,30,4900,True,19900,865,865,0.0,1.0,246.0457086484706,246.04570864847057,2.842170943040401e-14,1.0,19000,0.01348820186014468,0.05,0.19760887174991915,0.05,0,353,3,0.05208445442891221,0.0847462972472485,0.002,0.093806356448682,1.627093883894186,True,0.84765625,0.8447265625,-0.0029296875,353,0,0,True,True
sweeps/stage3_regulated_lineage_persistence/runs/20260907T212025.327046Z_1e712d7ef519_202609196,202609196,2e-05,1e-05,True,0,True,0,815,0.8373046875,0,1.0,15239332,348,34,4900,True,19900,865,865,0.0,1.0,245.2392658144868,245.23926581448686,-5.684341886080802e-14,1.0,19000,0.01568162675286833,0.05,0.2117033755640918,0.05,0,359,3,0.054303271286625154,0.09570758861149692,0.002,0.0987992266909219,1.7624645135341894,True,0.8212890625,0.8447265625,0.0234375,359,0,0,True,True
sweeps/stage3_regulated_lineage_persistence/runs/20260907T212025.331815Z_b7e00fdb9de4_202609197,202609197,2e-05,1e-05,True,0,True,0,797,0.7932421875,0,1.0,16803128,371,36,4900,True,19900,798,798,0.0,1.0,238.50337078651646,238.50337078651648,-2.842170943040401e-14,1.0,19000,0.01400187857636924,0.05,0.050511289998446784,0.1,0,317,4,0.043043708234312486,0.08539742943568644,0.002,0.09307064806584063,1.9839700838695746,True,0.8115234375,0.779296875,-0.0322265625,317,0,0,True,True
sweeps/stage3_regulated_lineage_persistence/runs/20260907T212025.356702Z_5facd0540c79_202609198,202609198,2e-05,1e-05,True,0,True,0,818,0.82416015625,0,1.0,13893918,361,43,4900,True,19900,853,852,0.00035298270384751147,0.05,245.94065642821684,245.66366293393577,0.2769934942810721,0.05,19000,0.013499305847105071,0.05,0.02481026405174447,0.35,0,353,3,0.05494711975362366,0.09162341626422629,0.002,0.09823207105062907,1.6674835127856524,True,0.8369140625,0.8330078125,-0.00390625,353,0,0,True,True
sweeps/stage3_regulated_lineage_persistence/runs/20260907T212025.481022Z_eaa2979b7b61_202609199,202609199,2e-05,1e-05,True,0,True,0,807,0.81150390625,0,1.0,31047278,332,33,4900,True,19900,835,835,0.0,1.0,243.3595113438033,243.3595113438033,0.0,1.0,19000,0.012731222790173366,0.05,0.2946119330887207,0.05,0,312,4,0.042081214750798575,0.07768708508462352,0.002,0.09213100902743808,1.8461226831183444,True,0.8125,0.8154296875,0.0029296875,312,0,0,True,True
sweeps/stage3_regulated_lineage_persistence/runs/20260907T212025.484939Z_33b7539e1176_202609200,202609200,2e-05,1e-05,True,0,True,0,815,0.849140625,0,1.0,17677735,330,37,4900,True,19900,886,886,0.0,1.0,245.00499375780242,245.00499375780242,0.0,1.0,19000,0.015808868394902458,0.05,0.045596933149345986,0.35,0,361,3,0.05413726981947713,0.0950934757825648,0.002,0.09322581648064485,1.7565251461637752,True,0.8525390625,0.865234375,0.0126953125,361,0,0,True,True
sweeps/stage3_regulated_lineage_persistence/runs/20260907T212025.633228Z_0048aae06d78_202609201,202609201,2e-05,1e-05,True,0,True,0,813,0.84228515625,0,1.0,18046009,340,23,4900,True,19900,849,849,0.0,1.0,243.760906323976,243.760906323976,0.0,1.0,19000,0.01417386121446375,0.05,0.0958584893721337,0.05,0,344,4,0.05365449233594566,0.08480526393696484,0.002,0.0955987322978529,1.580580865549441,True,0.826171875,0.8291015625,0.0029296875,344,0,0,True,True
sweeps/stage3_regulated_lineage_persistence/runs/20260907T212025.635168Z_fb15d895a7dd_202609202,202609202,2e-05,1e-05,True,0,True,0,810,0.85568359375,0,1.0,11113301,351,36,4900,True,19900,873,873,0.0,1.0,245.92739593417306,245.927395934173,5.684341886080802e-14,1.0,19000,0.01602401414243957,0.05,0.14114009912367642,0.15,0,367,4,0.049697251646149444,0.09957793357029707,0.002,0.09975667457502421,2.003690954165921,True,0.8291015625,0.8525390625,0.0234375,367,0,0,True,True
sweeps/stage3_regulated_lineage_persistence/runs/20260907T225508.545973Z_f1bb400901eb_202609193,202609193,2e-05,1e-05,True,0,True,0,680,0.688984375,0,1.0,12147746,348,47,4900,True,19900,682,682,0.0,1.0,224.9148936170217,224.9148936170217,0.0,1.0,19000,0.005986036376884705,0.05,0.12055533985343025,0.15,10000,162,4,0.05098111520595042,0.03785834913956804,0.002,0.045470388534699716,0.74259554712819,True,0.81640625,0.666015625,-0.150390625,162,0,0,False,True
sweeps/stage3_regulated_lineage_persistence/runs/20260907T225508.545937Z_2b9bded1de87_202609194,202609194,2e-05,1e-05,True,0,True,0,701,0.71771484375,0,1.0,14331160,336,47,4900,True,19900,701,701,0.0,1.0,226.34776600644844,226.34776600644847,-2.842170943040401e-14,1.0,19000,0.009542246170706885,0.05,0.0690512509760719,0.2,10000,173,3,0.04840232090772776,0.03676753815164928,0.002,0.04470842165723543,0.7596234532170768,True,0.8310546875,0.6845703125,-0.146484375,173,0,0,False,True
sweeps/stage3_regulated_lineage_persistence/runs/20260907T225508.543436Z_b7f115272f46_202609195,202609195,2e-05,1e-05,True,0,True,0,720,0.7371875,0,1.0,14599307,344,54,4900,True,19900,720,720,0.0,1.0,229.17771883289083,229.1777188328908,2.842170943040401e-14,1.0,19000,0.005454484425349088,0.05,-0.061069004662948956,0.6,10000,191,3,0.05208445442891221,0.04810310616304072,0.002,0.057148730344675575,0.9235597586741462,True,0.84765625,0.703125,-0.14453125,191,0,0,False,True
sweeps/stage3_regulated_lineage_persistence/runs/20260907T225508.547710Z_2f0d545f12f2_202609196,202609196,2e-05,1e-05,True,0,True,0,708,0.71626953125,0,1.0,22462408,344,57,4900,True,19900,709,709,0.0,1.0,233.26264501160074,233.26264501160074,0.0,1.0,19000,0.007301237038981495,0.05,-0.0022923972575501494,0.55,10000,176,3,0.054303271286625154,0.03990198076275187,0.002,0.046617861920743214,0.7347988402418713,True,0.8212890625,0.6923828125,-0.12890625,176,0,0,False,True
