run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,placement_radius,reproductive_births,reproduction_blocked_pool,reproduction_blocked_no_space,reproduction_blocked_no_parent,reproduction_attempts_observed,max_lineage_depth,live_reproductive_descendant_fraction,neutral_family_q1,family_neighbor_observed,family_neighbor_null,family_neighbor_excess,family_neighbor_p,root_neighbor_excess,root_neighbor_p,opcode_js_excess,lineage_patch_feasible
sweeps/stage3_vacancy_lineage/runs/20260907T022002.775028Z_2703bed49949_202609130,202609130,1e-05,1e-05,True,0,True,0,819,0.8947890625,0,1.0,3125628,80,13,999,True,9900,923,923,0.0,1.0,249.02923121894128,249.02923121894128,0.0,1.0,9000,0.013425030266838996,0.05,0.16030498437687335,0.1,1,166,0,0,0,166,4,0.16901408450704225,15.9176369526664,0.11301472798316801,0.06199075540824864,0.05102397257491938,0.001,0.04942053217696538,0.005,0.008019728771459733,True
sweeps/stage3_vacancy_lineage/runs/20260907T022002.778303Z_49bd90d3d589_202609131,202609131,1e-05,1e-05,True,0,True,0,818,0.9100302734375,0,1.0,3465860,92,17,999,True,9900,935,935,0.0,1.0,249.5646588638315,249.56465886383157,-5.684341886080802e-14,1.0,9000,0.018108123826948253,0.05,0.17721295402001935,0.05,1,189,0,0,0,189,3,0.18502673796791444,15.921260231157609,0.11026615969581749,0.062156921472510826,0.04810923822330666,0.001,0.05103905017923781,0.005,0.009238734937410342,True
sweeps/stage3_vacancy_lineage/runs/20260907T022002.780974Z_1cd86055e961_202609132,202609132,1e-05,1e-05,True,0,True,0,819,0.8780830078125,0,1.0,1917541,86,17,999,True,9900,906,904,0.00031113876789047915,0.05,247.88652087947403,247.53492629835614,0.35159458111789377,0.05,9000,0.014954659457551926,0.05,0.10076675761544429,0.15,1,154,0,0,0,154,3,0.16445916114790288,15.948412183632517,0.11138767890479154,0.061987625459934116,0.04940005344485742,0.001,0.04994480804770586,0.005,0.007112632923327089,True
sweeps/stage3_vacancy_lineage/runs/20260907T022002.789453Z_8fb7da005bfd_202609133,202609133,1e-05,1e-05,True,0,True,0,819,0.926439453125,0,1.0,2749176,78,16,999,True,9900,948,948,0.0,1.0,250.7544642857153,250.75446428571536,-5.684341886080802e-14,1.0,9000,0.020601153672145982,0.05,0.16014100910345164,0.15,1,193,0,0,0,193,3,0.18459915611814345,15.986358732164371,0.10413694721825963,0.061650809154375485,0.04248613806388414,0.001,0.05001469544584549,0.005,0.024146292684474546,True
sweeps/stage3_vacancy_lineage/runs/20260907T022002.789396Z_a98d8456d3c2_202609134,202609134,1e-05,1e-05,True,0,True,0,816,0.8912900390625,0,1.0,3015440,98,14,999,True,9900,914,914,0.0,1.0,247.89198813056336,247.8919881305634,-2.842170943040401e-14,1.0,9000,0.01656011859498115,0.05,0.06157706065851798,0.35,1,177,0,0,0,177,3,0.18161925601750548,15.94002183436411,0.10920770877944326,0.061870068294051166,0.047337640485392095,0.001,0.05244484890035986,0.005,0.012050896609776096,True
sweeps/stage3_vacancy_lineage/runs/20260907T022002.789975Z_466d6a7ed037_202609135,202609135,1e-05,1e-05,True,0,True,0,819,0.87818359375,0,1.0,1991174,95,16,999,True,9900,897,897,0.0,1.0,247.64819944598375,247.64819944598375,0.0,1.0,9000,0.012379638031861262,0.05,0.015000546130700343,0.4,1,156,0,0,0,156,3,0.15942028985507245,15.966932374489692,0.10584869675778767,0.061885152794243704,0.04396354396354397,0.001,0.043804528043906756,0.005,0.009654795271098915,True
sweeps/stage3_vacancy_lineage/runs/20260907T022002.790062Z_5ce459cb8292_202609136,202609136,1e-05,1e-05,True,0,True,0,819,0.87441796875,0,1.0,1809406,88,12,999,True,9900,901,901,0.0,1.0,248.1812901253428,248.18129012534274,5.684341886080802e-14,1.0,9000,0.014771679360633902,0.05,0.18856393381662961,0.05,1,157,0,0,0,157,2,0.16204217536071033,15.963763159880044,0.10675931775110549,0.06186066040772295,0.04489865734338254,0.001,0.047605367329382225,0.005,0.01051064640048982,True
sweeps/stage3_vacancy_lineage/runs/20260907T022002.790216Z_2ffe7a1655cb_202609137,202609137,1e-05,1e-05,True,0,True,0,816,0.8896982421875,0,1.0,1631885,83,18,999,True,9900,914,914,0.0,1.0,248.481856038072,248.48185603807198,2.842170943040401e-14,1.0,9000,0.013726656995750246,0.05,0.04730734666139291,0.3,1,159,0,0,0,159,3,0.1652078774617068,15.943340629593289,0.09302325581395349,0.06180752355782955,0.031215732256123938,0.001,0.04644704550906306,0.005,0.006227305176189968,True
sweeps/stage3_vacancy_lineage/runs/20260907T022002.791982Z_bda0b5203503_202609138,202609138,1e-05,1e-05,True,0,True,0,820,0.9259091796875,0,1.0,2022950,79,18,999,True,9900,950,950,0.0,1.0,250.97330367074602,250.97330367074596,5.684341886080802e-14,1.0,9000,0.015134139956292113,0.05,0.0002926979636352911,0.55,1,195,0,0,0,195,2,0.19052631578947368,15.990651685769192,0.10679886685552407,0.061567232955334936,0.04523163390018914,0.001,0.053024328441072216,0.005,0.007209402112596686,True
sweeps/stage3_vacancy_lineage/runs/20260907T022002.792695Z_b64744d56461_202609139,202609139,1e-05,1e-05,True,0,True,0,819,0.9061484375,0,1.0,3363081,81,13,999,True,9900,932,932,0.0,1.0,249.74813110983325,249.7481311098333,-5.684341886080802e-14,1.0,9000,0.017870223747393693,0.05,0.0857446775561197,0.25,1,180,0,0,0,180,3,0.18669527896995708,15.968579857026405,0.11346890657235485,0.061416854520302794,0.05205205205205206,0.001,0.05436703114748514,0.005,0.006816418813012759,True
