run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,placement_radius,reproductive_births,reproduction_blocked_pool,reproduction_blocked_no_space,max_lineage_depth,live_reproductive_descendant_fraction,neutral_family_q1,family_neighbor_observed,family_neighbor_null,family_neighbor_excess,family_neighbor_p,root_neighbor_excess,root_neighbor_p,opcode_js_excess,lineage_patch_feasible
sweeps/stage3r_lineage_patch/runs/20260906T195656.569009Z_ae4bd4ff5485_202609100,202609100,1e-05,1e-05,True,0,True,0,819,0.873896484375,0,1.0,3018928,80,27,999,True,9900,897,897,0.0,1.0,245.38243366880184,245.38243366880187,-2.842170943040401e-14,1.0,9000,0.012046408307236422,0.05,0.1323283325405118,0.05,1,130,0,50,3,0.13600891861761427,15.951756576103824,0.1000947268708557,0.06163504837328645,0.038459678497569254,0.001,0.038779308604912785,0.005,0.01053431726734777,True
sweeps/stage3r_lineage_patch/runs/20260906T195656.573605Z_e2d4e3b9dbe3_202609101,202609101,1e-05,1e-05,True,0,True,0,818,0.8784833984375,0,1.0,3447068,73,21,999,True,9900,901,901,0.0,1.0,247.12359208523475,247.1235920852348,-5.684341886080802e-14,1.0,9000,0.013516765107517151,0.05,0.07685681547706835,0.25,1,130,0,53,2,0.13540510543840178,15.949612364765983,0.10096905282900906,0.06176949065351691,0.03919956217549215,0.001,0.038788817485363676,0.005,0.0055198279903702074,True
sweeps/stage3r_lineage_patch/runs/20260906T195656.574665Z_70c859ee71dd_202609102,202609102,1e-05,1e-05,True,0,True,0,818,0.8421845703125,0,1.0,4599976,96,12,999,True,9900,865,864,0.0003397893306150187,0.05,244.84654728630974,244.84654728630974,0.0,1.0,9000,0.01135192591177113,0.05,0.03784788157663321,0.45,1,129,0,39,3,0.14335260115606938,15.953405425899492,0.08936459395174992,0.061926010278032025,0.027438583673717896,0.001,0.04112987636107824,0.005,0.007234037422398476,True
sweeps/stage3r_lineage_patch/runs/20260906T195656.577207Z_752d76d71849_202609103,202609103,1e-05,1e-05,True,0,True,0,818,0.8495224609375,0,1.0,1741758,87,14,999,True,9900,870,870,0.0,1.0,244.16129032258132,244.16129032258132,0.0,1.0,9000,0.01568212058491479,0.05,0.11184780322052923,0.1,1,125,0,27,3,0.13218390804597702,15.969724640138224,0.09501347708894879,0.06177673630503819,0.033236740783910604,0.001,0.038091400398217505,0.005,0.01937330689788619,True
sweeps/stage3r_lineage_patch/runs/20260906T195656.579198Z_0fbf1e8732ce_202609104,202609104,1e-05,1e-05,True,0,True,0,818,0.8515888671875,0,1.0,3678987,70,13,999,True,9900,875,875,0.0,1.0,244.37440153207842,244.37440153207837,5.684341886080802e-14,1.0,9000,0.011402251836604323,0.05,-0.09321313660686847,0.85,1,114,0,51,2,0.12228571428571429,15.97815749313701,0.0957905203844879,0.06148442111319141,0.03430609927129649,0.001,0.03552232491592867,0.005,0.0067770307110355255,True
sweeps/stage3r_lineage_patch/runs/20260906T195656.584831Z_4c4da96a1fa8_202609105,202609105,1e-05,1e-05,True,0,True,0,815,0.8539970703125,0,1.0,2606682,90,12,999,True,9900,875,875,0.0,1.0,244.21850079744877,244.21850079744874,2.842170943040401e-14,1.0,9000,0.011717085286597059,0.05,0.09455542376208292,0.05,1,131,0,46,3,0.14285714285714285,15.983428078490231,0.10283806343906511,0.06128733073641254,0.04155073270265257,0.001,0.040695967315710437,0.005,0.0038219922520442706,True
sweeps/stage3r_lineage_patch/runs/20260906T195656.584625Z_50134055d6a7_202609106,202609106,1e-05,1e-05,True,0,True,0,817,0.8392705078125,0,1.0,3727821,89,12,999,True,9900,862,862,0.0,1.0,244.58327847267884,244.58327847267887,-2.842170943040401e-14,1.0,9000,0.0118969678443682,0.05,0.13363390706265932,0.15,1,119,0,42,2,0.12761020881670534,15.944364377058927,0.10578911095796002,0.061825781674162104,0.04396332928379792,0.001,0.03759493539371565,0.005,0.00414913980156939,True
sweeps/stage3r_lineage_patch/runs/20260906T195656.585235Z_ed70a8708cf8_202609107,202609107,1e-05,1e-05,True,0,True,0,818,0.8406162109375,0,1.0,3026865,91,18,999,True,9900,865,865,0.0,1.0,243.48356654734772,243.48356654734766,5.684341886080802e-14,1.0,9000,0.0101081134313761,0.05,0.024090977177024797,0.4,1,118,0,46,2,0.1283236994219653,15.95604190650611,0.09657743137919349,0.06166417179633039,0.0349132595828631,0.001,0.03692471166404711,0.005,0.008562074913369244,True
sweeps/stage3r_lineage_patch/runs/20260906T195656.585795Z_3f3a7a9c3f32_202609108,202609108,1e-05,1e-05,True,0,True,0,819,0.869802734375,0,1.0,2203921,68,26,999,True,9900,894,894,0.0,1.0,246.07019704433594,246.07019704433597,-2.842170943040401e-14,1.0,9000,0.01253861280848047,0.05,0.05038441451973519,0.25,1,117,0,60,2,0.12751677852348994,15.96749097798969,0.09446564885496184,0.061689233763025104,0.03277641509193673,0.001,0.036544043372076666,0.005,0.0082376693808498,True
sweeps/stage3r_lineage_patch/runs/20260906T195656.592615Z_046798674b70_202609109,202609109,1e-05,1e-05,True,0,True,0,816,0.8477861328125,0,1.0,7298897,92,12,999,True,9900,873,873,0.0,1.0,244.35043283103633,244.35043283103633,0.0,1.0,9000,0.014645287129948135,0.05,0.14246264954995347,0.1,1,131,0,34,3,0.145475372279496,15.95780846468038,0.09461718488799732,0.06149312133932662,0.0331240635486707,0.001,0.04209445757708637,0.005,0.010071957512084784,True
