run_dir,seed,dissolution_rate,reseed_rate,successful_exit,invariant_failures,conserved,max_conservation_residual,minimum_tapes,late_mean_occupied_fraction,longest_clogged_ticks,late_active_interaction_fraction,late_successful_writes,dissolutions,placements,late_pool_changes,mechanically_feasible,final_snapshot_tick,final_tapes,final_unique_hashes,neighbor_identity_excess,neighbor_identity_p,q1_beta,q1_beta_null_mean,q1_beta_excess,q1_beta_p,byte_snapshot_tick,neighbor_byte_identity_excess,neighbor_byte_identity_p,opcode_q1_beta_excess,opcode_q1_beta_p,reproduction_rate,reproductive_births,reproduction_blocked_no_space,reproduction_blocked_pool,reproduction_attempts_observed,max_lineage_depth,reproduction_feasible
sweeps/stage3r_reproduction_liveness/runs/20260906T191150.382874Z_fd7c4d7c97b4_202609090,202609090,1e-05,1e-05,True,0,True,0,803,0.78650390625,0,1.0,1382432,36,6,499,True,4900,805,805,0.0,1.0,240.09818451278312,240.09818451278315,-2.842170943040401e-14,1.0,4500,0.011005349482055036,0.05,0.037622031869590344,0.3,5e-06,17,4,0,21,1,False
sweeps/stage3r_reproduction_liveness/runs/20260906T191150.400169Z_1fa4bcf085ef_202609091,202609091,1e-05,1e-05,True,0,True,0,797,0.780404296875,0,1.0,1415825,42,4,499,True,4900,799,799,0.0,1.0,238.47627941725764,238.47627941725764,0.0,1.0,4500,0.00596861128725428,0.05,-0.09679638530825585,0.95,5e-06,18,4,0,22,1,False
sweeps/stage3r_reproduction_liveness/runs/20260906T191150.400267Z_e526f5792652_202609092,202609092,1e-05,1e-05,True,0,True,0,787,0.76934375,0,1.0,1271331,45,4,499,True,4900,788,788,0.0,1.0,238.27475057559482,238.27475057559485,-2.842170943040401e-14,1.0,4500,0.0054924283631774765,0.05,0.033125044283504934,0.3,5e-06,10,1,0,11,1,False
sweeps/stage3r_reproduction_liveness/runs/20260906T192152.767804Z_eb1e06dc1113_202609090,202609090,1e-05,1e-05,True,0,True,0,815,0.8062109375,0,1.0,2253866,38,13,499,True,4900,825,825,0.0,1.0,239.910116320056,239.91011632005598,2.842170943040401e-14,1.0,4500,0.007982117313947565,0.05,-0.0484112911856851,0.75,1e-05,31,6,0,37,2,True
sweeps/stage3r_reproduction_liveness/runs/20260906T192152.767902Z_bd8670beaa69_202609091,202609091,1e-05,1e-05,True,0,True,0,812,0.80214453125,0,1.0,1341320,42,9,499,True,4900,821,821,0.0,1.0,240.64298464833982,240.64298464833982,0.0,1.0,4500,0.00815458285190645,0.05,0.036995205031699285,0.35,1e-05,35,6,0,41,2,True
sweeps/stage3r_reproduction_liveness/runs/20260906T192152.768029Z_bd0f4f2f8b34_202609092,202609092,1e-05,1e-05,True,0,True,0,816,0.808044921875,0,1.0,3604331,41,12,499,True,4900,827,827,0.0,1.0,241.24479717813054,241.2447971781305,2.842170943040401e-14,1.0,4500,0.009184348822506717,0.05,-0.04565334475107363,0.8,1e-05,37,5,0,42,1,False
sweeps/stage3r_reproduction_liveness/runs/20260906T193258.374797Z_b0c4efb4231c_202609090,202609090,1e-05,1e-05,True,0,True,0,815,0.835208984375,0,1.0,2454730,36,4,499,True,4900,857,857,0.0,1.0,241.04003938299908,241.04003938299903,5.684341886080802e-14,1.0,4500,0.010610377582305278,0.05,0.022991081516810397,0.4,2e-05,69,25,0,94,2,True
sweeps/stage3r_reproduction_liveness/runs/20260906T193258.374805Z_fd3d696e1c65_202609091,202609091,1e-05,1e-05,True,0,True,0,817,0.8406484375,0,1.0,1370410,45,14,499,True,4900,862,862,0.0,1.0,242.66623122142332,242.6662312214233,2.842170943040401e-14,1.0,4500,0.009802597678497171,0.05,0.0035130869449631064,0.45,2e-05,73,17,0,90,2,True
sweeps/stage3r_reproduction_liveness/runs/20260906T193258.374922Z_c6a561b6c637_202609092,202609092,1e-05,1e-05,True,0,True,0,818,0.830212890625,0,1.0,915562,43,7,499,True,4900,852,851,0.0003502626970227671,0.05,242.05872998978094,242.0587299897809,5.684341886080802e-14,1.0,4500,0.010199871028420307,0.05,0.01914969838828995,0.3,2e-05,71,16,0,87,2,True
sweeps/stage3r_reproduction_liveness/runs/20260906T194252.885645Z_b8910fd9910a_202609090,202609090,1e-05,1e-05,True,0,True,0,819,0.8940390625,0,1.0,1816796,44,3,499,True,4900,917,917,0.0,1.0,247.10226270937326,247.10226270937326,0.0,1.0,4500,0.015083770326181082,0.05,-0.033850203654040456,0.6,5e-05,139,73,0,212,3,True
sweeps/stage3r_reproduction_liveness/runs/20260906T194252.885644Z_4204c6ca0c14_202609091,202609091,1e-05,1e-05,True,0,True,0,817,0.88285546875,0,1.0,1054180,46,7,499,True,4900,907,905,0.0006180469715698393,0.05,246.7089973015364,246.3617007328137,0.34729656872272585,0.05,4500,0.01363885879453505,0.05,0.13182987145510694,0.15,5e-05,127,54,0,181,2,True
sweeps/stage3r_reproduction_liveness/runs/20260906T194252.885779Z_55a6c700954f_202609092,202609092,1e-05,1e-05,True,0,True,0,819,0.9123515625,0,1.0,1147083,37,7,499,True,4900,938,938,0.0,1.0,249.95568181818194,249.95568181818194,0.0,1.0,4500,0.01768432328605201,0.05,0.14494202373899157,0.1,5e-05,152,88,0,240,2,False
