run_dir,seed,active_uptake_enabled,successful_exit,invariant_failures,uptake_executions,energy_absorbed,total_steps,final_tapes,final_field_energy,final_tape_energy,final_dissipated_energy,final_influx,max_relative_energy_error
sweeps/stage4_active_uptake/runs/disabled_seed_202609210,202609210,False,True,0,0,0.0,0,8,1004.2047714232032,0.0,595.7952285767952,1600.0,1.0048079091556972e-15
sweeps/stage4_active_uptake/runs/disabled_seed_202609211,202609211,False,True,0,0,0.0,0,8,1004.2047714232032,0.0,595.7952285767952,1600.0,1.0048079091556972e-15
sweeps/stage4_active_uptake/runs/disabled_seed_202609212,202609212,False,True,0,0,0.0,0,8,1004.2047714232032,0.0,595.7952285767952,1600.0,1.0048079091556972e-15
sweeps/stage4_active_uptake/runs/disabled_seed_202609213,202609213,False,True,0,0,0.0,0,8,1004.2047714232032,0.0,595.7952285767952,1600.0,1.0048079091556972e-15
sweeps/stage4_active_uptake/runs/disabled_seed_202609214,202609214,False,True,0,0,0.0,0,8,1004.2047714232032,0.0,595.7952285767952,1600.0,1.0048079091556972e-15
sweeps/stage4_active_uptake/runs/enabled_seed_202609210,202609210,True,True,0,1600,206.7200000000001,12800,8,892.5004089048102,78.72,628.7795910951918,1600.0,3.3912266934004783e-15
sweeps/stage4_active_uptake/runs/enabled_seed_202609211,202609211,True,True,0,1600,206.7200000000001,12800,8,892.4760596002703,78.72,628.8039403997316,1600.0,3.266863152920001e-15
sweeps/stage4_active_uptake/runs/enabled_seed_202609212,202609212,True,True,0,1600,206.7200000000001,12800,8,892.4070205293173,78.72,628.8729794706845,1600.0,3.552713678800501e-15
sweeps/stage4_active_uptake/runs/enabled_seed_202609213,202609213,True,True,0,1600,206.7200000000001,12800,8,892.4026034219619,78.72,628.8773965780401,1600.0,3.552713678800501e-15
sweeps/stage4_active_uptake/runs/enabled_seed_202609214,202609214,True,True,0,1600,206.7200000000001,12800,8,892.485019312828,78.72,628.794980687174,1600.0,3.3912266934004783e-15
