run_dir,seed,active_uptake_enabled,successful_exit,invariant_failures,final_tapes,uptake_type_final_energy,control_type_final_energy,final_energy_difference,uptake_type_energy_area,control_type_energy_area,energy_area_difference,uptake_type_active_interactions,control_type_active_interactions,uptake_type_steps,control_type_steps,uptake_executions,gross_uptake,final_field_energy,final_tape_energy,final_dissipated_energy,max_relative_energy_error
sweeps/stage4_mixed_energy_access/runs/disabled_seed_202609220,202609220,False,True,0,8,0.0,0.0,0.0,0.0,0.0,0.0,770,830,0,0,0,0.0,1371.7761950249862,0.0,1828.22380497501,1.5702601895250832e-15
sweeps/stage4_mixed_energy_access/runs/disabled_seed_202609221,202609221,False,True,0,8,0.0,0.0,0.0,0.0,0.0,0.0,773,827,0,0,0,0.0,1371.7761950249862,0.0,1828.22380497501,1.5702601895250832e-15
sweeps/stage4_mixed_energy_access/runs/disabled_seed_202609222,202609222,False,True,0,8,0.0,0.0,0.0,0.0,0.0,0.0,793,807,0,0,0,0.0,1371.7761950249862,0.0,1828.22380497501,1.5702601895250832e-15
sweeps/stage4_mixed_energy_access/runs/disabled_seed_202609223,202609223,False,True,0,8,0.0,0.0,0.0,0.0,0.0,0.0,795,805,0,0,0,0.0,1371.7761950249862,0.0,1828.22380497501,1.5702601895250832e-15
sweeps/stage4_mixed_energy_access/runs/disabled_seed_202609224,202609224,False,True,0,8,0.0,0.0,0.0,0.0,0.0,0.0,790,810,0,0,0,0.0,1371.7761950249862,0.0,1828.22380497501,1.5702601895250832e-15
sweeps/stage4_mixed_energy_access/runs/enabled_seed_202609220,202609220,True,True,0,8,9.84,0.0,9.84,1906.8850000000004,0.0,1906.8850000000004,770,830,12320,0,770,162.5600000000001,1311.9044275166502,39.36,1848.7355724833667,5.258016244624741e-15
sweeps/stage4_mixed_energy_access/runs/enabled_seed_202609221,202609221,True,True,0,8,9.84,0.0,9.84,1914.1015416402797,0.0,1914.1015416402797,773,827,12368,0,966,163.03999999999996,1313.927969959299,39.36,1846.712030040716,4.713147794991619e-15
sweeps/stage4_mixed_energy_access/runs/enabled_seed_202609222,202609222,True,True,0,8,9.84,0.0,9.84,1913.70861311124,0.0,1913.70861311124,793,807,12688,0,1066,166.24000000000007,1311.7633783188696,39.36,1848.8766216811464,4.973799150320701e-15
sweeps/stage4_mixed_energy_access/runs/enabled_seed_202609223,202609223,True,True,0,8,9.84,0.0,9.84,1916.2237960496727,0.0,1916.2237960496727,795,805,12720,0,1050,166.56,1310.824495552268,39.36,1849.8155044477505,5.71290641817166e-15
sweeps/stage4_mixed_energy_access/runs/enabled_seed_202609224,202609224,True,True,0,8,9.84,0.0,9.84,1897.7870265627369,0.0,1897.7870265627369,790,810,12640,0,1081,165.76,1310.9279340054272,39.36,1849.712065994589,5.141615776354494e-15
