run_dir,seed,active_uptake_enabled,initial_uptake_count,initial_frequency,final_uptake_count,final_control_count,final_frequency,frequency_change,final_occupancy,births,uptake_parent_births,control_parent_births,uptake_birth_fraction,energy_blocked_births,uptake_executions,unexpected_population_events,type_consistent,successful_exit,invariant_failures,max_relative_energy_error
sweeps/stage4_resource_birth/runs/disabled_uptake_8_seed_202609250,202609250,False,8,0.125,8,56,0.125,0.0,64,0,0,0,0.0,1449,0,0,True,True,0,2.5344199492080005e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_8_seed_202609251,202609251,False,8,0.125,8,56,0.125,0.0,64,0,0,0,0.0,1488,0,0,True,True,0,2.287461523573763e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_8_seed_202609252,202609252,False,8,0.125,8,56,0.125,0.0,64,0,0,0,0.0,1386,0,0,True,True,0,2.1818686027380853e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_8_seed_202609253,202609253,False,8,0.125,8,56,0.125,0.0,64,0,0,0,0.0,1511,0,0,True,True,0,2.221892593907805e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_8_seed_202609254,202609254,False,8,0.125,8,56,0.125,0.0,64,0,0,0,0.0,1428,0,0,True,True,0,2.2802517594593475e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_8_seed_202609255,202609255,False,8,0.125,8,56,0.125,0.0,64,0,0,0,0.0,1397,0,0,True,True,0,2.5344199492080005e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_8_seed_202609256,202609256,False,8,0.125,8,56,0.125,0.0,64,0,0,0,0.0,1425,0,0,True,True,0,2.8478666763931872e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_8_seed_202609257,202609257,False,8,0.125,8,56,0.125,0.0,64,0,0,0,0.0,1500,0,0,True,True,0,2.2802517594593475e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_8_seed_202609258,202609258,False,8,0.125,8,56,0.125,0.0,64,0,0,0,0.0,1359,0,0,True,True,0,2.1933151972015956e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_8_seed_202609259,202609259,False,8,0.125,8,56,0.125,0.0,64,0,0,0,0.0,1427,0,0,True,True,0,2.550666230933693e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_32_seed_202609250,202609250,False,32,0.5,32,32,0.5,0.0,64,0,0,0,0.0,1449,0,0,True,True,0,2.5344199492080005e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_32_seed_202609251,202609251,False,32,0.5,32,32,0.5,0.0,64,0,0,0,0.0,1488,0,0,True,True,0,2.287461523573763e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_32_seed_202609252,202609252,False,32,0.5,32,32,0.5,0.0,64,0,0,0,0.0,1386,0,0,True,True,0,2.1818686027380853e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_32_seed_202609253,202609253,False,32,0.5,32,32,0.5,0.0,64,0,0,0,0.0,1511,0,0,True,True,0,2.221892593907805e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_32_seed_202609254,202609254,False,32,0.5,32,32,0.5,0.0,64,0,0,0,0.0,1428,0,0,True,True,0,2.2802517594593475e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_32_seed_202609255,202609255,False,32,0.5,32,32,0.5,0.0,64,0,0,0,0.0,1397,0,0,True,True,0,2.5344199492080005e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_32_seed_202609256,202609256,False,32,0.5,32,32,0.5,0.0,64,0,0,0,0.0,1425,0,0,True,True,0,2.8478666763931872e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_32_seed_202609257,202609257,False,32,0.5,32,32,0.5,0.0,64,0,0,0,0.0,1500,0,0,True,True,0,2.2802517594593475e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_32_seed_202609258,202609258,False,32,0.5,32,32,0.5,0.0,64,0,0,0,0.0,1359,0,0,True,True,0,2.1933151972015956e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_32_seed_202609259,202609259,False,32,0.5,32,32,0.5,0.0,64,0,0,0,0.0,1427,0,0,True,True,0,2.550666230933693e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_56_seed_202609250,202609250,False,56,0.875,56,8,0.875,0.0,64,0,0,0,0.0,1449,0,0,True,True,0,2.5344199492080005e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_56_seed_202609251,202609251,False,56,0.875,56,8,0.875,0.0,64,0,0,0,0.0,1488,0,0,True,True,0,2.287461523573763e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_56_seed_202609252,202609252,False,56,0.875,56,8,0.875,0.0,64,0,0,0,0.0,1386,0,0,True,True,0,2.1818686027380853e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_56_seed_202609253,202609253,False,56,0.875,56,8,0.875,0.0,64,0,0,0,0.0,1511,0,0,True,True,0,2.221892593907805e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_56_seed_202609254,202609254,False,56,0.875,56,8,0.875,0.0,64,0,0,0,0.0,1428,0,0,True,True,0,2.2802517594593475e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_56_seed_202609255,202609255,False,56,0.875,56,8,0.875,0.0,64,0,0,0,0.0,1397,0,0,True,True,0,2.5344199492080005e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_56_seed_202609256,202609256,False,56,0.875,56,8,0.875,0.0,64,0,0,0,0.0,1425,0,0,True,True,0,2.8478666763931872e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_56_seed_202609257,202609257,False,56,0.875,56,8,0.875,0.0,64,0,0,0,0.0,1500,0,0,True,True,0,2.2802517594593475e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_56_seed_202609258,202609258,False,56,0.875,56,8,0.875,0.0,64,0,0,0,0.0,1359,0,0,True,True,0,2.1933151972015956e-15
sweeps/stage4_resource_birth/runs/disabled_uptake_56_seed_202609259,202609259,False,56,0.875,56,8,0.875,0.0,64,0,0,0,0.0,1427,0,0,True,True,0,2.550666230933693e-15
sweeps/stage4_resource_birth/runs/enabled_uptake_8_seed_202609250,202609250,True,8,0.125,67,56,0.5447154471544715,0.4197154471544715,123,59,59,0,1.0,2054,37510,0,False,True,0,2.489741746103391e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_8_seed_202609251,202609251,True,8,0.125,97,56,0.6339869281045751,0.5089869281045751,153,89,89,0,1.0,2280,37233,0,False,True,0,2.9376678867265583e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_8_seed_202609252,202609252,True,8,0.125,71,56,0.5590551181102362,0.4340551181102362,127,63,63,0,1.0,2128,38199,0,False,True,0,2.461320036672987e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_8_seed_202609253,202609253,True,8,0.125,83,56,0.5971223021582733,0.47212230215827333,139,75,75,0,1.0,1948,29827,0,False,True,0,2.370370566495694e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_8_seed_202609254,202609254,True,8,0.125,11,56,0.16417910447761194,0.03917910447761194,67,3,3,0,1.0,1440,8354,0,True,True,0,2.0691004465334117e-14
sweeps/stage4_resource_birth/runs/enabled_uptake_8_seed_202609255,202609255,True,8,0.125,93,56,0.6241610738255033,0.49916107382550334,149,85,85,0,1.0,2351,42387,0,False,True,0,3.0763658287469297e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_8_seed_202609256,202609256,True,8,0.125,75,56,0.5725190839694656,0.4475190839694656,131,67,67,0,1.0,1853,28781,0,False,True,0,2.0338575268397107e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_8_seed_202609257,202609257,True,8,0.125,88,56,0.6111111111111112,0.48611111111111116,144,80,80,0,1.0,2241,37253,0,False,True,0,2.6284396881237624e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_8_seed_202609258,202609258,True,8,0.125,64,56,0.5333333333333333,0.4083333333333333,120,56,56,0,1.0,1852,29502,0,False,True,0,2.320348357898183e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_8_seed_202609259,202609259,True,8,0.125,19,56,0.25333333333333335,0.12833333333333335,75,11,11,0,1.0,1525,14463,0,True,True,0,7.51469997339882e-14
sweeps/stage4_resource_birth/runs/enabled_uptake_32_seed_202609250,202609250,True,32,0.5,83,32,0.7217391304347827,0.22173913043478266,115,51,51,0,1.0,2005,62535,0,True,True,0,3.2207481126533823e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_32_seed_202609251,202609251,True,32,0.5,91,32,0.7398373983739838,0.23983739837398377,123,59,59,0,1.0,2050,64740,0,True,True,0,3.808509063674137e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_32_seed_202609252,202609252,True,32,0.5,101,32,0.7593984962406015,0.2593984962406015,133,69,69,0,1.0,2335,63971,0,True,True,0,3.341256160638295e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_32_seed_202609253,202609253,True,32,0.5,103,32,0.762962962962963,0.26296296296296295,135,71,71,0,1.0,2237,65589,0,False,True,0,3.697095962706953e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_32_seed_202609254,202609254,True,32,0.5,105,32,0.7664233576642335,0.26642335766423353,137,73,73,0,1.0,2283,66707,0,True,True,0,3.6743585951626303e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_32_seed_202609255,202609255,True,32,0.5,90,32,0.7377049180327869,0.23770491803278693,122,58,58,0,1.0,2060,62254,0,True,True,0,3.43447936757002e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_32_seed_202609256,202609256,True,32,0.5,106,32,0.7681159420289855,0.2681159420289855,138,74,74,0,1.0,2140,64929,0,False,True,0,3.3651303965598344e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_32_seed_202609257,202609257,True,32,0.5,110,32,0.7746478873239436,0.27464788732394363,142,78,78,0,1.0,2338,66570,0,False,True,0,3.340119292261079e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_32_seed_202609258,202609258,True,32,0.5,91,32,0.7398373983739838,0.23983739837398377,123,59,59,0,1.0,2109,61238,0,True,True,0,2.8899194148834793e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_32_seed_202609259,202609259,True,32,0.5,105,32,0.7664233576642335,0.26642335766423353,137,73,73,0,1.0,2244,60621,0,False,True,0,3.5572611523093656e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_56_seed_202609250,202609250,True,56,0.875,90,8,0.9183673469387755,0.04336734693877553,98,34,34,0,1.0,1935,87521,0,True,True,0,3.215063770767301e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_56_seed_202609251,202609251,True,56,0.875,98,8,0.9245283018867925,0.04952830188679247,106,42,42,0,1.0,1870,89382,0,True,True,0,3.499280865071341e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_56_seed_202609252,202609252,True,56,0.875,115,8,0.9349593495934959,0.059959349593495914,123,59,59,0,1.0,2231,89471,0,True,True,0,3.501554601825774e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_56_seed_202609253,202609253,True,56,0.875,103,8,0.9279279279279279,0.05292792792792789,111,47,47,0,1.0,2085,90021,0,True,True,0,3.490185918053612e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_56_seed_202609254,202609254,True,56,0.875,115,8,0.9349593495934959,0.059959349593495914,123,59,59,0,1.0,2103,91006,0,True,True,0,3.1013769330456855e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_56_seed_202609255,202609255,True,56,0.875,100,8,0.9259259259259259,0.05092592592592593,108,44,44,0,1.0,1955,88930,0,True,True,0,3.493762838599162e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_56_seed_202609256,202609256,True,56,0.875,118,8,0.9365079365079365,0.06150793650793651,126,62,62,0,1.0,2173,91368,0,False,True,0,3.6141045711701734e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_56_seed_202609257,202609257,True,56,0.875,105,8,0.9292035398230089,0.05420353982300885,113,49,49,0,1.0,2158,90441,0,False,True,0,3.253717295592651e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_56_seed_202609258,202609258,True,56,0.875,105,8,0.9292035398230089,0.05420353982300885,113,49,49,0,1.0,1950,85605,0,False,True,0,2.7385085960196887e-13
sweeps/stage4_resource_birth/runs/enabled_uptake_56_seed_202609259,202609259,True,56,0.875,107,8,0.9304347826086956,0.05543478260869561,115,51,51,0,1.0,2013,87827,0,False,True,0,3.526565706124529e-13
