run_dir,seed,task_enabled,correct_selections,total_selections,correct_selection_fraction,behavior_exact,correct_scores_one,incorrect_scores_zero,all_scores_zero,final_tapes,two_immutable_types,successful_exit,invariant_failures,max_relative_energy_error
sweeps/stage4_task_modulation/runs/task_disabled_seed_202609300,202609300,False,6433,12736,0.5051036432160804,True,False,True,True,16,True,True,0,1.6853073933606397e-14
sweeps/stage4_task_modulation/runs/task_disabled_seed_202609301,202609301,False,6467,12736,0.5077732412060302,True,False,True,True,16,True,True,0,1.6768808563938364e-14
sweeps/stage4_task_modulation/runs/task_disabled_seed_202609302,202609302,False,6406,12736,0.5029836683417085,True,False,True,True,16,True,True,0,1.7337242752546444e-14
sweeps/stage4_task_modulation/runs/task_disabled_seed_202609303,202609303,False,6361,12736,0.4994503768844221,True,False,True,True,16,True,True,0,1.6910917111090384e-14
sweeps/stage4_task_modulation/runs/task_disabled_seed_202609304,202609304,False,6338,12736,0.49764447236180903,True,False,True,True,16,True,True,0,1.6768808563938364e-14
sweeps/stage4_task_modulation/runs/task_disabled_seed_202609305,202609305,False,6267,12736,0.4920697236180904,True,False,True,True,16,True,True,0,1.7337242752546444e-14
sweeps/stage4_task_modulation/runs/task_disabled_seed_202609306,202609306,False,6446,12736,0.5061243718592965,True,False,True,True,16,True,True,0,1.7053025658242404e-14
sweeps/stage4_task_modulation/runs/task_disabled_seed_202609307,202609307,False,6249,12736,0.4906564070351759,True,False,True,True,16,True,True,0,1.7053025658242404e-14
sweeps/stage4_task_modulation/runs/task_disabled_seed_202609308,202609308,False,6406,12736,0.5029836683417085,True,False,True,True,16,True,True,0,1.7195134205394424e-14
sweeps/stage4_task_modulation/runs/task_disabled_seed_202609309,202609309,False,6384,12736,0.5012562814070352,True,False,True,True,16,True,True,0,1.6768808563938364e-14
sweeps/stage4_task_modulation/runs/task_enabled_seed_202609300,202609300,True,10180,12736,0.7993090452261307,True,True,True,False,16,True,True,0,1.7424364575423562e-14
sweeps/stage4_task_modulation/runs/task_enabled_seed_202609301,202609301,True,10236,12736,0.8037060301507538,True,True,True,False,16,True,True,0,1.7053025658242404e-14
sweeps/stage4_task_modulation/runs/task_enabled_seed_202609302,202609302,True,10117,12736,0.7943624371859297,True,True,True,False,16,True,True,0,1.7337242752546444e-14
sweeps/stage4_task_modulation/runs/task_enabled_seed_202609303,202609303,True,10121,12736,0.7946765075376885,True,True,True,False,16,True,True,0,1.7195134205394424e-14
sweeps/stage4_task_modulation/runs/task_enabled_seed_202609304,202609304,True,10217,12736,0.8022141959798995,True,True,True,False,16,True,True,0,1.6910917111090384e-14
sweeps/stage4_task_modulation/runs/task_enabled_seed_202609305,202609305,True,10114,12736,0.7941268844221105,True,True,True,False,16,True,True,0,1.6768808563938364e-14
sweeps/stage4_task_modulation/runs/task_enabled_seed_202609306,202609306,True,10148,12736,0.7967964824120602,True,True,True,False,16,True,True,0,1.7195134205394424e-14
sweeps/stage4_task_modulation/runs/task_enabled_seed_202609307,202609307,True,10168,12736,0.7983668341708543,True,True,True,False,16,True,True,0,1.6626700016786343e-14
sweeps/stage4_task_modulation/runs/task_enabled_seed_202609308,202609308,True,10138,12736,0.7960113065326633,True,True,True,False,16,True,True,0,1.7479351299698464e-14
sweeps/stage4_task_modulation/runs/task_enabled_seed_202609309,202609309,True,10239,12736,0.8039415829145728,True,True,True,False,16,True,True,0,1.6853073933606397e-14
