run_dir,seed,active_uptake_enabled,uptake_survivors,control_survivors,uptake_survival,control_survival,total_survivors,deaths,all_deaths_starvation,gross_uptake,post_100_active_ticks,type_consistent,successful_exit,invariant_failures,max_relative_energy_error
sweeps/stage4_uptake_survival/runs/disabled_seed_202609240,202609240,False,0,0,0.0,0.0,0,128,True,0.0,0,True,True,0,2.870879740444849e-15
sweeps/stage4_uptake_survival/runs/disabled_seed_202609241,202609241,False,0,0,0.0,0.0,0,128,True,0.0,0,True,True,0,2.200390407515149e-15
sweeps/stage4_uptake_survival/runs/disabled_seed_202609242,202609242,False,0,0,0.0,0.0,0,128,True,0.0,0,True,True,0,2.2949206372375907e-15
sweeps/stage4_uptake_survival/runs/disabled_seed_202609243,202609243,False,0,0,0.0,0.0,0,128,True,0.0,0,True,True,0,2.2608177956003187e-15
sweeps/stage4_uptake_survival/runs/disabled_seed_202609244,202609244,False,0,0,0.0,0.0,0,128,True,0.0,0,True,True,0,2.4714529939481745e-15
sweeps/stage4_uptake_survival/runs/disabled_seed_202609245,202609245,False,0,0,0.0,0.0,0,128,True,0.0,0,True,True,0,2.3533899528360005e-15
sweeps/stage4_uptake_survival/runs/disabled_seed_202609246,202609246,False,0,0,0.0,0.0,0,128,True,0.0,0,True,True,0,2.214678656914598e-15
sweeps/stage4_uptake_survival/runs/disabled_seed_202609247,202609247,False,0,0,0.0,0.0,0,128,True,0.0,0,True,True,0,2.2608177956003187e-15
sweeps/stage4_uptake_survival/runs/disabled_seed_202609248,202609248,False,0,0,0.0,0.0,0,128,True,0.0,0,True,True,0,2.1723599564640005e-15
sweeps/stage4_uptake_survival/runs/disabled_seed_202609249,202609249,False,0,0,0.0,0.0,0,128,True,0.0,0,True,True,0,2.5764722429827997e-15
sweeps/stage4_uptake_survival/runs/enabled_seed_202609240,202609240,True,64,0,1.0,0.0,64,64,True,5079.026454079169,400,True,True,0,2.2737367544323206e-13
sweeps/stage4_uptake_survival/runs/enabled_seed_202609241,202609241,True,64,0,1.0,0.0,64,64,True,4971.929450438064,400,True,True,0,2.0042989490320905e-13
sweeps/stage4_uptake_survival/runs/enabled_seed_202609242,202609242,True,64,0,1.0,0.0,64,64,True,4892.9330645836935,400,True,True,0,2.3089796741260217e-13
sweeps/stage4_uptake_survival/runs/enabled_seed_202609243,202609243,True,63,0,0.984375,0.0,63,65,True,4627.258537945717,400,True,True,0,2.0345159536152928e-13
sweeps/stage4_uptake_survival/runs/enabled_seed_202609244,202609244,True,62,0,0.96875,0.0,62,66,True,4670.771211219466,400,True,True,0,2.2316726244753228e-13
sweeps/stage4_uptake_survival/runs/enabled_seed_202609245,202609245,True,64,0,1.0,0.0,64,64,True,4588.887731992257,400,True,True,0,1.9088020053459332e-13
sweeps/stage4_uptake_survival/runs/enabled_seed_202609246,202609246,True,64,0,1.0,0.0,64,64,True,4837.555055720612,400,True,True,0,1.6120793588925152e-13
sweeps/stage4_uptake_survival/runs/enabled_seed_202609247,202609247,True,64,0,1.0,0.0,64,64,True,4382.592570066145,400,True,True,0,1.5549352053106803e-13
sweeps/stage4_uptake_survival/runs/enabled_seed_202609248,202609248,True,64,0,1.0,0.0,64,64,True,4303.52586254146,400,True,True,0,1.6267014455557886e-13
sweeps/stage4_uptake_survival/runs/enabled_seed_202609249,202609249,True,64,0,1.0,0.0,64,64,True,4481.681876797299,400,True,True,0,1.6564172256039456e-13
